,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.5013834510545412,0.48192124361231586,0.5180331181176124,0.5491424020040007,0.5320806047765794,0.5665548716814703,0.4768977400957638,0.48246579650888505,0.46915110851808633
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.2769842704755017,0.263653483992467,0.2852949809216319,0.0,#DIV/0!,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1.0,#DIV/0!,1.0,0.843400447427293,1.0,0.7165991902834008,1.0,1.0,1.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.36334120425029515,0.46130592503022977,0.2698961937716263,0.18771331058020477,0.37800687285223367,0.0,0.2356164383561644,0.2356164383561644,#DIV/0!
4,Madison & Cortland Counties PUMA,1.0,1.0,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.7493036211699164,1.0,0.45121951219512196,0.5514705882352942,#DIV/0!,0.5514705882352942,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,1.0,1.0,#DIV/0!,1.0,1.0,1.0,1.0,#DIV/0!,1.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.7054794520547946,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.3967620075553157,0.3632876712328767,0.41852181656277826,0.46332046332046334,1.0,0.2779220779220779,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.5588235294117647,1.0,0.40397350993377484,1.0,1.0,1.0,0.7818181818181819,0.7489539748953975,1.0
11,Erie County (Northwest) PUMA,0.0,0.0,#DIV/0!,0.14611260053619302,0.18568994889267462,0.0,0.0,#DIV/0!,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.7026431718061674,0.6757307953772943,0.7258347978910369,0.4332657200811359,0.4311064718162839,0.436284046692607,1.0,#DIV/0!,1.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,#DIV/0!,0.0,0.2608695652173913,0.0,0.39669421487603307,#DIV/0!,#DIV/0!,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.2494199535962877,0.2398190045248869,0.25952380952380955,0.6952789699570815,1.0,0.5359477124183006,#DIV/0!,#DIV/0!,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.12682926829268293,0.1760752688172043,0.09877488514548238,0.347682119205298,0.0,0.7241379310344828,0.0,0.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.30155337038620494,0.3477198697068404,0.27669370752028066,0.3408816829693153,0.2517911975435005,0.4388185654008439,0.25121163166397414,0.13701657458563535,0.5615615615615616
18,Tompkins County PUMA,0.43842364532019706,0.7524366471734892,0.11752988047808766,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,1.0,1.0,1.0,0.506079027355623,0.46273291925465837,0.5476190476190477,#DIV/0!,#DIV/0!,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.6049848942598187,0.7209653092006033,0.4886535552193646,0.5323054331864905,0.4037433155080214,0.5809716599190283,0.3140495867768595,1.0,0.0
21,Westchester County (Northwest) PUMA,0.5286713286713287,0.448685326547922,0.6262939958592133,0.8904569892473119,0.8019441069258809,1.0,0.4361904761904762,1.0,0.0
22,Albany County (Outside Albany City) PUMA,0.8127177700348432,0.8725490196078431,0.7797297297297298,0.7951807228915663,0.6504329004329005,1.0,1.0,#DIV/0!,1.0
23,Monroe County (South) PUMA,0.7816854678168547,0.7725225225225225,0.7948303715670436,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.3357142857142857,0.0,0.6619718309859155,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,1.0,1.0,1.0,0.8485958485958486,0.807153965785381,1.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.22744599745870395,0.23126338329764454,0.221875,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.10805008944543829,0.0,0.2002652519893899,0.4720496894409938,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.8492239467849224,1.0,0.6179775280898876,1.0,1.0,1.0,1.0,1.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.3166194904973716,0.4042259990813045,0.24774286746117732,0.4166081871345029,0.4791666666666667,0.3582089552238806,0.08932714617169374,0.0,0.23692307692307693
31,Cayuga & Onondaga (South) Counties PUMA,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.8242280285035629,0.6877637130801688,1.0,0.452991452991453,#DIV/0!,0.452991452991453,1.0,1.0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,0.0,#DIV/0!,0.0,0.6121212121212121,1.0,0.5362318840579711,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.6931918656056587,0.782051282051282,0.5838264299802761,0.9369627507163324,1.0,0.8630705394190872,1.0,1.0,1.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.9331751680506128,0.9337190952130457,0.9328476401647133,0.7068080172270995,0.6278011204481793,0.7777428481609556,1.0,1.0,1.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1.0,1.0,1.0,0.8498542274052479,0.683076923076923,1.0,1.0,1.0,1.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.40800646987464617,0.431413612565445,0.3932806324110672,0.0,0.0,0.0,0.0,#DIV/0!,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,0.2081513828238719,0.35572139303482586,0.0,0.3333333333333333,0.21465968586387435,0.4723926380368098,1.0,#DIV/0!,1.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.33746130030959753,0.27361963190184047,0.44654088050314467,0.36554307116104867,0.15620827770360482,0.6331058020477816,1.0,1.0,1.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.7772357723577236,0.6359060402684564,0.844675740592474,0.7645659928656362,0.7765547605943863,0.7337110481586402,0.8361774744027304,1.0,0.7159763313609467
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.7035211267605633,0.6215538847117794,0.8086816720257235,0.4597495527728086,0.13545816733067728,0.724025974025974,0.175,0.3116438356164384,0.0
45,Saratoga County (Outer) PUMA,0.4970414201183432,0.3511450381679389,1.0,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.5060240963855421,1.0,0.0,0.5256544502617801,0.4588235294117647,0.7947368421052632,0.0,0.0,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.5410232013467028,0.5529579472558802,0.5284296028880866,0.34105567987363433,0.32888377445339473,0.35731857318573185,0.7337662337662337,0.728882833787466,0.7392638036809815
48,Wayne & Seneca Counties PUMA,0.2641509433962264,0.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
49,Schenectady County--Schenectady City PUMA,0.8878718535469108,0.8366666666666667,1.0,0.8900445765230312,0.8254716981132075,1.0,1.0,1.0,#DIV/0!
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.43619987132747157,0.40498710232158214,0.4672657252888318,0.2577288031833486,0.2154126213592233,0.30080296479308216,0.5056759545923633,0.413953488372093,0.5318302387267905
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.5874799357945425,0.7223529411764706,0.4940217391304348,0.7257363592467407,0.7693236714975845,0.6967015285599356,0.45323741007194246,#DIV/0!,0.45323741007194246
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.6630727762803235,1.0,0.5860927152317881,1.0,1.0,1.0,1.0,1.0,#DIV/0!
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.21626716940479396,0.33416562630045776,0.0,0.5289256198347108,0.0,0.7140864714086471,0.0,0.0,0.0
54,Columbia & Greene Counties PUMA,1.0,1.0,1.0,0.6910994764397905,0.4778761061946903,1.0,#DIV/0!,#DIV/0!,#DIV/0!
55,Rensselaer County--Troy City PUMA,0.35555555555555557,0.31047619047619046,0.47692307692307695,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
56,Erie County (West Central)--Buffalo City (West) PUMA,0.5878693623639192,0.23410404624277456,1.0,0.46998722860791825,0.4228094575799722,1.0,#DIV/0!,#DIV/0!,#DIV/0!
57,Erie County (South) PUMA,1.0,1.0,1.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.7306930693069307,0.19047619047619047,1.0,0.7761578044596913,0.8733333333333333,0.7424942263279446,0.2948453608247423,0.2641509433962264,0.39473684210526316
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.275827482447342,0.20380434782608695,0.3651685393258427,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,0.4016009371339321,0.301665243381725,0.48579136690647484,0.25294969985510246,0.31533804238143287,0.20954720954720954,0.11732851985559567,0.0,0.17639077340569878
61,NYC-Manhattan Community District 10--Central Harlem PUMA,0.27958993476234856,0.17524235645041014,0.453416149068323,0.28957528957528955,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,0.5364806866952789,0.5740740740740741,0.4088050314465409,0.8686360779384035,0.7113259668508287,1.0,1.0,1.0,1.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
64,Albany County (East Central)--Albany City PUMA,0.22604422604422605,0.0,0.46464646464646464,0.29421487603305785,0.5,0.0,#DIV/0!,#DIV/0!,#DIV/0!
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,0.0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.2528500438468284,0.3525360050093926,0.16557017543859648,0.7131147540983607,0.6613995485327314,0.7688564476885644,1.0,1.0,1.0
70,Erie County (Northeast) PUMA,0.10364145658263306,0.1167192429022082,0.0,0.7391874180865007,1.0,0.5597345132743363,1.0,#DIV/0!,1.0
71,NYC-Manhattan Community District 11--East Harlem PUMA,0.39517625231910947,0.0,0.5392405063291139,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0
72,Orange County (Southeast) PUMA,0.918918918918919,0.8189655172413793,1.0,0.7807783955520254,0.9342629482071713,0.678996036988111,0.0,0.0,0.0
73,Westchester County (Southeast) PUMA,0.7838616714697406,0.7903381642512077,0.7790530846484935,0.5511520737327189,0.7384259259259259,0.42725880551301687,0.4260089686098655,0.4273255813953488,0.4246153846153846
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.20480955455132344,0.26277372262773724,0.14990571967316155,0.24220374220374222,0.13033832501386577,0.3408312958435208,0.3732283464566929,0.3594153052450559,0.5233644859813084
75,Livingston & Wyoming Counties PUMA,0.9090909090909091,0.85,1.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Westchester County (Southwest)--Yonkers City PUMA,0.8177570093457944,0.8605504587155963,0.7427652733118971,0.4455852156057495,0.37898936170212766,0.4874581939799331,0.1567717996289425,0.19336384439359267,0.0
78,Erie County (North Central) PUMA,0.26936776491540515,0.20968858131487889,0.37702871410736577,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
79,Saratoga County (South & Central) PUMA,1.0,1.0,1.0,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.9314285714285714,0.8339100346020761,1.0,1.0,1.0,1.0,0.8467065868263473,0.7393075356415478,1.0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.8995565410199556,0.9544787077826725,0.8540737738143495,1.0,1.0,1.0,1.0,1.0,1.0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.6609442060085837,1.0,0.49032258064516127,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
83,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.10133333333333333,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
84,Monroe County (Central)--Rochester City (East) PUMA,0.784,0.784,#DIV/0!,0.8873239436619719,1.0,0.7117117117117117,1.0,1.0,#DIV/0!
85,Warren & Washington Counties PUMA,0.7094474153297683,0.6369710467706013,1.0,0.92,#DIV/0!,0.92,#DIV/0!,#DIV/0!,#DIV/0!
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.7064825930372148,0.7759336099585062,0.6782094594594594,0.8089887640449438,0.8397790055248618,0.7807351077313055,#DIV/0!,#DIV/0!,#DIV/0!
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.1795275590551181,0.09649122807017543,0.3199152542372881,0.09268292682926829,0.0,0.24675324675324675,0.0,#DIV/0!,0.0
88,Onondaga County (Central)--Syracuse City PUMA,0.5706401766004415,0.532258064516129,0.7469135802469136,1.0,1.0,1.0,0.4797687861271676,0.5562913907284768,0.37327188940092165
89,Westchester County (Central)--White Plains City PUMA,0.7937668333974606,0.7597087378640777,0.8246515040352165,0.7403560830860534,0.5958429561200924,1.0,0.5476190476190477,1.0,0.0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.28195829555757024,0.4732142857142857,0.1981747066492829,0.6656346749226006,#DIV/0!,0.6656346749226006,0.0,0.0,#DIV/0!
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
92,Cattaraugus & Allegany Counties PUMA,0.6684210526315789,0.0,0.8639455782312925,1.0,1.0,1.0,1.0,1.0,1.0
93,Oswego County PUMA,1.0,1.0,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.6149766652524395,0.4996873045653533,0.6741573033707865,0.5539510269979371,0.592586085734364,0.5136521898479017,0.6196156394963552,0.621301775147929,0.6174698795180723
95,Monroe County (East) PUMA,0.9266187050359712,0.8864142538975501,1.0,1.0,#DIV/0!,1.0,0.0,0.0,#DIV/0!
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.710140093395597,0.621106166560712,0.8084210526315789,0.5947888589398024,0.5061162079510704,0.7211328976034859,1.0,1.0,1.0
