,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.11566326984472142,0.09630548987299788,0.1322796028764821,0.22432526098825933,0.20377503852080123,0.24529785378198748,0.29301336573511544,0.3294460641399417,0.24197782963827305
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.07738202856626288,0.05037664783427495,0.09421778690930438,0.47540983606557374,#DIV/0!,0.47540983606557374,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.680628272251309,1.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.049586776859504134,0.0,0.09688581314878893,0.15870307167235495,0.0,0.3152542372881356,0.7643835616438356,0.7643835616438356,#DIV/0!
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,#DIV/0!,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.3527397260273973,0.39444444444444443,0.2857142857142857,0.24778761061946902,0.0,1.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.03799244468429574,0.06383561643835617,0.021193232413178983,0.3223938223938224,0.0,0.43376623376623374,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.255050505050505,0.63125,0.0,0.7818181818181819,0.7489539748953975,1.0
11,Erie County (Northwest) PUMA,1.0,1.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.14833127317676142,0.197514715500327,0.10427650849443468,0.18803245436105476,0.16109951287404314,0.22568093385214008,0.0,#DIV/0!,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,0.3423913043478261,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.2980582524271845,0.3196286472148541,0.28560490045941805,0.347682119205298,0.0,0.7241379310344828,1.0,1.0,1.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.19295995439646574,0.13843648208469056,0.22231966673975007,0.30068337129840544,0.2517911975435005,0.35443037974683544,0.47334410339256866,0.4198895027624309,0.6186186186186187
18,Tompkins County PUMA,0.129064039408867,0.0,0.26095617529880477,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.0,0.0,0.0,0.0980243161094225,0.20031055900621117,0.0,#DIV/0!,#DIV/0!,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.08383685800604229,0.167420814479638,0.0,0.11160058737151249,0.0,0.15384615384615385,0.0,0.0,0.0
21,Westchester County (Northwest) PUMA,0.1456400742115028,0.2638655462184874,0.0,0.0,0.0,0.0,0.4076190476190476,0.0,0.722972972972973
22,Albany County (Outside Albany City) PUMA,0.05836236933797909,0.0,0.09054054054054055,0.13950538998097653,0.23809523809523808,0.0,0.0,#DIV/0!,0.0
23,Monroe County (South) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.35,0.0,0.6901408450704225,0.08917197452229299,0.0,0.1830065359477124,#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,0.0,0.0,0.0,0.15995115995115994,0.1150855365474339,0.32386363636363635,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.31639135959339265,0.0,0.778125,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.15134168157423972,0.028749028749028748,0.25596816976127323,0.0,0.0,0.0,1.0,1.0,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.2011173184357542,0.0,0.4472049689440994,1.0,1.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.08596738473927924,0.0,0.15420729505236547,0.128187134502924,0.10513565891472869,0.14970601537765718,0.5730858468677494,0.851024208566108,0.11384615384615385
31,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,1.0,#DIV/0!,1.0,0.3393939393939394,1.0,0.21014492753623187,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,0.12702960840496658,0.0,0.27593360995850624,1.0,1.0,1.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.05219454329774614,0.03156233561283535,0.06461830852074754,0.36210038098393243,0.47093837535014005,0.2643822697265011,0.09872611464968153,0.0,0.45925925925925926
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,0.27988338192419826,0.3169230769230769,0.24653739612188366,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.2682119205298013,0.2682119205298013,#DIV/0!,0.48556430446194226,0.48556430446194226,#DIV/0!,0.0,#DIV/0!,0.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.09866558835422563,0.0,0.16073781291172595,0.38278388278388276,0.5971428571428572,0.0,0.0,#DIV/0!,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,0.26346433770014555,0.0,0.6350877192982456,0.0,0.0,0.0,0.0,#DIV/0!,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.2825077399380805,0.44785276073619634,0.0,0.2786516853932584,0.2977303070761015,0.25426621160409557,0.0,0.0,0.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.12980769230769232,0.2391653290529695,0.07526020816653323,0.05747126436781609,0.07980187121629059,0.0,0.0,0.0,0.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.0,0.0,0.0,0.27906976744186046,0.6215139442231076,0.0,0.1,0.0,0.22807017543859648
45,Saratoga County (Outer) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.4939759036144578,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.029861670204201128,0.020242337847469708,0.04001203369434416,0.2462814268790312,0.1472957422324511,0.3785362853628536,0.25036075036075034,0.1989100817438692,0.30828220858895705
48,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
