,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,236008.0,126492.0,109516.0,94555.0,49959.0,44596.0,141453.0,76533.0,64920.0,58487.0,28583.0,29904.0,26121.0,12657.0,13464.0,32366.0,15926.0,16440.0,125678.0,65430.0,60248.0,50649.0,26314.0,24335.0,75029.0,39116.0,35913.0,51843.0,32479.0,19364.0,17785.0,10988.0,6797.0,34058.0,21491.0,12567.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2429.0,1643.0,786.0,388.0,203.0,185.0,2041.0,1440.0,601.0,1953.0,1352.0,601.0,203.0,203.0,0.0,1750.0,1149.0,601.0,476.0,291.0,185.0,185.0,0.0,185.0,291.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1402.0,496.0,906.0,873.0,496.0,377.0,529.0,0.0,529.0,400.0,119.0,281.0,303.0,119.0,184.0,97.0,0.0,97.0,679.0,54.0,625.0,247.0,54.0,193.0,432.0,0.0,432.0,323.0,323.0,0.0,323.0,323.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,388.0,257.0,131.0,121.0,42.0,79.0,267.0,215.0,52.0,133.0,133.0,0.0,0.0,0.0,0.0,133.0,133.0,0.0,255.0,124.0,131.0,121.0,42.0,79.0,134.0,82.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,534.0,51.0,483.0,493.0,51.0,442.0,41.0,0.0,41.0,295.0,51.0,244.0,295.0,51.0,244.0,0.0,0.0,0.0,239.0,0.0,239.0,198.0,0.0,198.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1379.0,469.0,910.0,152.0,0.0,152.0,1227.0,469.0,758.0,1140.0,230.0,910.0,152.0,0.0,152.0,988.0,230.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,239.0,0.0,0.0,0.0,0.0,239.0,239.0,0.0
