,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,236877,127199,109678,180779,100875,79904,56098,26324,29774,58492,28588,29904,52419,26043,26376,6073,2545,3528,126056,65808,60248,93859,51865,41994,32197,13943,18254,52329,32803,19526,34501,22967,11534,17828,9836,7992
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2429,1643,786,2429,1643,786,0,0,0,1953,1352,601,1953,1352,601,0,0,0,476,291,185,476,291,185,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1402,496,906,1402,496,906,0,0,0,400,119,281,400,119,281,0,0,0,679,54,625,679,54,625,0,0,0,323,323,0,323,323,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,388,257,131,306,175,131,82,82,0,133,133,0,133,133,0,0,0,0,255,124,131,173,42,131,82,82,0,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,534,51,483,534,51,483,0,0,0,295,51,244,295,51,244,0,0,0,239,0,239,239,0,239,0,0,0,0,0,0,0,0,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",199,199,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1379,469,910,1331,469,862,48,0,48,1140,230,910,1092,230,862,48,0,48,0,0,0,0,0,0,0,0,0,239,239,0,239,239,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,309,250,59,309,250,59,0,0,0,0,0,0,0,0,0,0,0,0,309,250,59,309,250,59,0,0,0,0,0,0,0,0,0,0,0,0
11,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2453,1233,1220,2332,1233,1099,121,0,121,722,623,99,722,623,99,0,0,0,1623,610,1013,1502,610,892,121,0,121,108,0,108,108,0,108,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,7481,3210,4271,5504,2737,2767,1977,473,1504,930,529,401,564,329,235,366,200,166,4868,2344,2524,4173,2071,2102,695,273,422,1683,337,1346,767,337,430,916,0,916
14,Rockland County (North)--New City & Congers PUMA,1389,545,844,1081,545,536,308,0,308,69,0,69,69,0,69,0,0,0,518,288,230,421,288,133,97,0,97,802,257,545,591,257,334,211,0,211
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",102,11,91,95,11,84,7,0,7,84,0,84,84,0,84,0,0,0,7,0,7,0,0,0,7,0,7,11,11,0,11,11,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,3031,1898,1133,2162,1569,593,869,329,540,925,581,344,925,581,344,0,0,0,1110,429,681,568,319,249,542,110,432,996,888,108,669,669,0,327,219,108
