,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,135640.0,73842.0,61798.0,105532.0,59386.0,46146.0,30108.0,14456.0,15652.0,30659.0,15379.0,15280.0,25985.0,13369.0,12616.0,4674.0,2010.0,2664.0,71979.0,37599.0,34380.0,54499.0,29623.0,24876.0,17480.0,7976.0,9504.0,33002.0,20864.0,12138.0,25048.0,16394.0,8654.0,7954.0,4470.0,3484.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2041.0,1440.0,601.0,1645.0,1218.0,427.0,396.0,222.0,174.0,1750.0,1149.0,601.0,1354.0,927.0,427.0,396.0,222.0,174.0,291.0,291.0,0.0,291.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,529.0,0.0,529.0,388.0,0.0,388.0,141.0,0.0,141.0,97.0,0.0,97.0,97.0,0.0,97.0,0.0,0.0,0.0,432.0,0.0,432.0,291.0,0.0,291.0,141.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,267.0,215.0,52.0,267.0,215.0,52.0,0.0,0.0,0.0,133.0,133.0,0.0,133.0,133.0,0.0,0.0,0.0,0.0,134.0,82.0,52.0,134.0,82.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,41.0,0.0,41.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1227.0,469.0,758.0,1005.0,469.0,536.0,222.0,0.0,222.0,988.0,230.0,758.0,766.0,230.0,536.0,222.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,239.0,0.0,239.0,239.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1776.0,896.0,880.0,1776.0,896.0,880.0,0.0,0.0,0.0,487.0,487.0,0.0,487.0,487.0,0.0,0.0,0.0,0.0,1181.0,409.0,772.0,1181.0,409.0,772.0,0.0,0.0,0.0,108.0,0.0,108.0,108.0,0.0,108.0,0.0,0.0,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,4775.0,2007.0,2768.0,3029.0,1500.0,1529.0,1746.0,507.0,1239.0,435.0,200.0,235.0,235.0,0.0,235.0,200.0,200.0,0.0,2800.0,1562.0,1238.0,2212.0,1396.0,816.0,588.0,166.0,422.0,1540.0,245.0,1295.0,582.0,104.0,478.0,958.0,141.0,817.0
14,Rockland County (North)--New City & Congers PUMA,389.0,81.0,308.0,0.0,0.0,0.0,389.0,81.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,97.0,0.0,0.0,0.0,97.0,0.0,97.0,292.0,81.0,211.0,0.0,0.0,0.0,292.0,81.0,211.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2731.0,1730.0,1001.0,1515.0,1196.0,319.0,1216.0,534.0,682.0,700.0,488.0,212.0,630.0,488.0,142.0,70.0,0.0,70.0,1035.0,354.0,681.0,423.0,354.0,69.0,612.0,0.0,612.0,996.0,888.0,108.0,462.0,354.0,108.0,534.0,534.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,904.0,604.0,300.0,702.0,493.0,209.0,202.0,111.0,91.0,67.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,250.0,97.0,153.0,250.0,97.0,153.0,0.0,0.0,0.0,587.0,440.0,147.0,385.0,329.0,56.0,202.0,111.0,91.0
18,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
