,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,193810,115756,78054,185830,111988,73842,7980,3768,4212,50657,26804,23853,49115,25787,23328,1542,1017,525,102407,59203,43204,97471,57391,40080,4936,1812,3124,40746,29749,10997,39244,28810,10434,1502,939,563
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2244,1643,601,2244,1643,601,0,0,0,1953,1352,601,1953,1352,601,0,0,0,291,291,0,291,291,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1315,496,819,1315,496,819,0,0,0,313,119,194,313,119,194,0,0,0,679,54,625,679,54,625,0,0,0,323,323,0,323,323,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,227,175,52,227,175,52,0,0,0,133,133,0,133,133,0,0,0,0,94,42,52,94,42,52,0,0,0,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,493,51,442,442,51,391,51,0,51,295,51,244,295,51,244,0,0,0,198,0,198,147,0,147,51,0,51,0,0,0,0,0,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",199,199,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1092,230,862,1092,230,862,0,0,0,1092,230,862,1092,230,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,309,250,59,309,250,59,0,0,0,0,0,0,0,0,0,0,0,0,309,250,59,309,250,59,0,0,0,0,0,0,0,0,0,0,0,0
11,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2191,1143,1048,1786,1143,643,405,0,405,568,533,35,568,533,35,0,0,0,1623,610,1013,1218,610,608,405,0,405,0,0,0,0,0,0,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5594,3103,2491,5594,3103,2491,0,0,0,764,529,235,764,529,235,0,0,0,3802,2237,1565,3802,2237,1565,0,0,0,1028,337,691,1028,337,691,0,0,0
14,Rockland County (North)--New City & Congers PUMA,916,545,371,916,545,371,0,0,0,69,0,69,69,0,69,0,0,0,518,288,230,518,288,230,0,0,0,329,257,72,329,257,72,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",33,11,22,33,11,22,0,0,0,15,0,15,15,0,15,0,0,0,7,0,7,7,0,7,0,0,0,11,11,0,11,11,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2504,1898,606,2435,1898,537,69,0,69,855,581,274,855,581,274,0,0,0,761,429,332,692,429,263,69,0,69,888,888,0,888,888,0,0,0,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,894,604,290,797,507,290,97,97,0,67,67,0,67,67,0,0,0,0,296,97,199,199,0,199,97,97,0,531,440,91,531,440,91,0,0,0
18,Tompkins County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Dutchess County (Southwest) PUMA,365,365,0,365,365,0,0,0,0,33,33,0,33,33,0,0,0,0,110,110,0,110,110,0,0,0,0,222,222,0,222,222,0,0,0,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3681,2554,1127,3492,2365,1127,189,189,0,851,476,375,851,476,375,0,0,0,2267,1515,752,2145,1393,752,122,122,0,563,563,0,496,496,0,67,67,0
21,Westchester County (Northwest) PUMA,1730,1072,658,1730,1072,658,0,0,0,25,25,0,25,25,0,0,0,0,1157,499,658,1157,499,658,0,0,0,548,548,0,548,548,0,0,0,0
22,Albany County (Outside Albany City) PUMA,623,304,319,623,304,319,0,0,0,219,219,0,219,219,0,0,0,0,220,85,135,220,85,135,0,0,0,184,0,184,184,0,184,0,0,0
23,Monroe County (South) PUMA,525,260,265,525,260,265,0,0,0,94,0,94,94,0,94,0,0,0,171,0,171,171,0,171,0,0,0,260,260,0,260,260,0,0,0,0
24,Jefferson & Lewis Counties PUMA,918,687,231,918,687,231,0,0,0,503,503,0,503,503,0,0,0,0,415,184,231,415,184,231,0,0,0,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",64,41,23,64,41,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,23,0,23,0,0,0,41,41,0,41,41,0,0,0,0
