,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.4466120676389625,0.4428156596578386,0.45024077046548955,0.4030060949410398,0.4021702582913037,0.4039138228654893,0.34305499295951236,0.33831090858708707,0.35101218756455277
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.1039426523297491,0.15014792899408283,0.0,0.38865546218487396,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.7575,1.0,0.6548042704626335,0.3637702503681885,1.0,0.3088,1.0,1.0,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,#DIV/0!,0.4745098039215686,0.3387096774193548,0.6030534351145038,#DIV/0!,#DIV/0!,#DIV/0!
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1.0,1.0,1.0,0.8284518828451883,#DIV/0!,0.8284518828451883,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.13333333333333333,0.0,0.16703296703296702,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.3254847645429363,0.21829855537720708,1.0,0.2723351817621688,0.3295081967213115,0.23790720631786771,0.0,#DIV/0!,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.35376344086021505,0.6219281663516069,0.0,0.4248151191454396,0.33361774744027306,0.5095087163232963,0.08496732026143791,0.27299703264094954,0.03789004457652303
14,Rockland County (North)--New City & Congers PUMA,1.0,#DIV/0!,1.0,0.8127413127413128,1.0,0.5782608695652174,0.6359102244389028,0.6848249027237354,0.6128440366972477
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.24324324324324326,0.16006884681583478,0.38372093023255816,0.06756756756756757,0.17482517482517482,0.0,0.0,0.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.0,0.0,#DIV/0!,0.33687002652519893,0.0,0.45357142857142857,0.0,0.0,0.0
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,1.0,1.0,#DIV/0!,1.0,1.0,1.0,1.0,1.0,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.1904382470119522,0.0,0.306803594351733,0.32895180316818334,0.29306930693069305,0.36639118457300274,0.6965034965034965,0.6722054380664653,1.0
21,Westchester County (Northwest) PUMA,0.0,0.0,#DIV/0!,0.5370226032735775,0.6092184368737475,0.49107142857142855,1.0,1.0,#DIV/0!
22,Albany County (Outside Albany City) PUMA,0.5068493150684932,0.5068493150684932,#DIV/0!,0.38636363636363635,1.0,0.0,1.0,#DIV/0!,1.0
23,Monroe County (South) PUMA,1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
24,Jefferson & Lewis Counties PUMA,0.0,0.0,#DIV/0!,0.5853314527503526,1.0,0.44,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0,0.0,0.0,#DIV/0!
26,Erie County (Central) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,1.0,1.0,#DIV/0!,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.2714078374455733,0.31412103746397696,0.22807017543859648,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.1626733921815889,0.0,0.19427710843373494,0.3556928508384819,0.3274725274725275,0.3746312684365782,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,0.7670157068062827,1.0,0.0,1.0,1.0,#DIV/0!,1.0,#DIV/0!,1.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1.0,1.0,#DIV/0!,0.21957671957671956,0.4670571010248902,0.07953603976801989,#DIV/0!,#DIV/0!,#DIV/0!
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,1.0,#DIV/0!,1.0,1.0,1.0,1.0,0.20095693779904306,0.20095693779904306,#DIV/0!
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1.0,1.0,1.0,0.17203389830508475,0.1288936627282492,0.3333333333333333,0.0,0.0,#DIV/0!
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1.0,1.0,1.0,0.8433644859813084,1.0,0.7228835978835979,0.2707823960880196,0.28043478260869564,0.25837988826815644
