,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,5891692,2996475,2895217,4920307,2670143,2250164,971385,326332,645053,2648527,1243979,1404548,2299882,1137266,1162616,348645,106713,241932,2975333,1589295,1386038,2423435,1397954,1025481,551898,191341,360557,267832,163201,104631,196990,134923,62067,70842,28278,42564
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,73185,35609,37576,58659,29760,28899,14526,5849,8677,62082,28227,33855,50805,24633,26172,11277,3594,7683,10404,7204,3200,7155,4949,2206,3249,2255,994,699,178,521,699,178,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,37475,19818,17657,32167,18654,13513,5308,1164,4144,19792,9852,9940,17759,9548,8211,2033,304,1729,16025,8891,7134,13074,8142,4932,2951,749,2202,1658,1075,583,1334,964,370,324,111,213
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,53606,26445,27161,47753,24808,22945,5853,1637,4216,42442,20176,22266,38275,19274,19001,4167,902,3265,9674,5671,4003,8127,5003,3124,1547,668,879,1490,598,892,1351,531,820,139,67,72
4,Madison & Cortland Counties PUMA,45350,24099,21251,38049,22003,16046,7301,2096,5205,14497,6587,7910,12252,6018,6234,2245,569,1676,29606,16631,12975,24564,15118,9446,5042,1513,3529,1247,881,366,1233,867,366,14,14,0
5,Ontario & Yates Counties PUMA,54723,28699,26024,45165,26186,18979,9558,2513,7045,20697,9526,11171,18131,9240,8891,2566,286,2280,30440,16592,13848,23813,14426,9387,6627,2166,4461,3586,2581,1005,3221,2520,701,365,61,304
6,Monroe County (Central)--Greece & Gates Towns PUMA,53599,27237,26362,44487,24356,20131,9112,2881,6231,17225,7546,9679,14629,6756,7873,2596,790,1806,34750,18644,16106,28410,16610,11800,6340,2034,4306,1624,1047,577,1448,990,458,176,57,119
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,29075,14349,14726,24508,13608,10900,4567,741,3826,16567,7766,8801,14105,7582,6523,2462,184,2278,11557,6018,5539,9452,5461,3991,2105,557,1548,951,565,386,951,565,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",62359,32155,30204,50666,27978,22688,11693,4177,7516,14345,6245,8100,12321,5583,6738,2024,662,1362,44476,23307,21169,35885,20376,15509,8591,2931,5660,3538,2603,935,2460,2019,441,1078,584,494
9,NYC-Manhattan Community District 8--Upper East Side PUMA,81676,38128,43548,71093,35140,35953,10583,2988,7595,67397,30789,36608,60265,29293,30972,7132,1496,5636,14279,7339,6940,10828,5847,4981,3451,1492,1959,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,39935,21209,18726,32712,18576,14136,7223,2633,4590,17764,8473,9291,15899,8068,7831,1865,405,1460,21154,12063,9091,16280,9975,6305,4874,2088,2786,1017,673,344,533,533,0,484,140,344
