,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,4908757,2659157,2249600,4603830,2507666,2096164,304927,151491,153436,2299072,1136671,1162401,2249785,1112328,1137457,49287,24343,24944,2416023,1390657,1025366,2207458,1291674,915784,208565,98983,109582,193662,131829,61833,146587,103664,42923,47075,28165,18910
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,84119,38699,45420,74373,34210,40163,9746,4489,5257,68535,29341,39194,64714,27577,37137,3821,1764,2057,13835,8671,5164,9156,6455,2701,4679,2216,2463,1749,687,1062,503,178,325,1246,509,737
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,45508,23027,22481,42763,22028,20735,2745,999,1746,23479,11139,12340,22605,10701,11904,874,438,436,19425,10529,8896,18025,9988,8037,1400,541,859,2604,1359,1245,2133,1339,794,471,20,451
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,66492,33337,33155,54909,26635,28274,11583,6702,4881,46300,21827,24473,43593,20288,23305,2707,1539,1168,15971,9501,6470,9891,5816,4075,6080,3685,2395,4221,2009,2212,1425,531,894,2796,1478,1318
4,Madison & Cortland Counties PUMA,57927,29304,28623,47347,24778,22569,10580,4526,6054,15546,7285,8261,14748,6701,8047,798,584,214,39148,19886,19262,30631,16952,13679,8517,2934,5583,3233,2133,1100,1968,1125,843,1265,1008,257
5,Ontario & Yates Counties PUMA,65910,32476,33434,55535,28139,27396,10375,4337,6038,22697,10116,12581,21824,9872,11952,873,244,629,38403,19360,19043,30759,16044,14715,7644,3316,4328,4810,3000,1810,2952,2223,729,1858,777,1081
6,Monroe County (Central)--Greece & Gates Towns PUMA,62760,30870,31890,55098,27729,27369,7662,3141,4521,18559,7855,10704,17072,7504,9568,1487,351,1136,41511,21532,19979,36199,19171,17028,5312,2361,2951,2690,1483,1207,1827,1054,773,863,429,434
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35588,17338,18250,33743,16520,17223,1845,818,1027,18877,8340,10537,18149,8110,10039,728,230,498,15317,8433,6884,14200,7845,6355,1117,588,529,1394,565,829,1394,565,829,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",81281,41079,40202,63353,32901,30452,17928,8178,9750,15343,6501,8842,14591,6413,8178,752,88,664,58209,29875,28334,44719,23767,20952,13490,6108,7382,7729,4703,3026,4043,2721,1322,3686,1982,1704
9,NYC-Manhattan Community District 8--Upper East Side PUMA,90747,40810,49937,85732,38992,46740,5015,1818,3197,75304,32849,42455,72228,31911,40317,3076,938,2138,15367,7961,7406,13504,7081,6423,1863,880,983,76,0,76,0,0,0,76,0,76
10,Suffolk County (Southwest)--Islip Town (South) PUMA,49559,24987,24572,45106,22638,22468,4453,2349,2104,19704,8797,10907,19560,8653,10907,144,144,0,27974,14749,13225,24876,13491,11385,3098,1258,1840,1881,1441,440,670,494,176,1211,947,264
11,Erie County (Northwest) PUMA,51652,24282,27370,44709,22014,22695,6943,2268,4675,19331,8637,10694,18968,8539,10429,363,98,265,30441,14446,15995,24581,12704,11877,5860,1742,4118,1880,1199,681,1160,771,389,720,428,292
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",31199,14275,16924,26948,12492,14456,4251,1783,2468,17082,8450,8632,15830,7656,8174,1252,794,458,12296,5257,7039,10088,4439,5649,2208,818,1390,1821,568,1253,1030,397,633,791,171,620
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,39190,17016,22174,24486,11658,12828,14704,5358,9346,7388,3159,4229,6393,2633,3760,995,526,469,26082,12171,13911,16458,8601,7857,9624,3570,6054,5720,1686,4034,1635,424,1211,4085,1262,2823
14,Rockland County (North)--New City & Congers PUMA,37559,17877,19682,35035,17019,18016,2524,858,1666,16778,7718,9060,16333,7431,8902,445,287,158,18179,8851,9328,16403,8391,8012,1776,460,1316,2602,1308,1294,2299,1197,1102,303,111,192
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",53885,26620,27265,44701,22178,22523,9184,4442,4742,12582,5131,7451,11059,4418,6641,1523,713,810,37493,19769,17724,31471,16605,14866,6022,3164,2858,3810,1720,2090,2171,1155,1016,1639,565,1074
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,28604,14437,14167,22865,11681,11184,5739,2756,2983,16256,7140,9116,15399,6670,8729,857,470,387,8434,4681,3753,5826,4049,1777,2608,632,1976,3914,2616,1298,1640,962,678,2274,1654,620
