,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.6508881726776075,0.6477343304297636,0.653520789212098,0.6210200784699679,0.6386329863227992,0.6029438805048033,0.37288115539639843,0.4154996955727581,0.32201498347665103
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.3581821631324703,0.2964844682374604,0.4043476042251365,0.21215008060970247,0.1348738505069559,0.3390782339271882,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.8729286474973376,0.8740461441781129,0.8719195849546044,0.9102259828707048,0.8988174709135991,0.9236735611510791,0.8154024767801857,0.8230022404779687,0.8072289156626506
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.3351187249268134,0.3353420120520723,0.3349195930423367,0.21959242045048266,0.22856082168048508,0.2073170731707317,0.12624584717607973,0.0,0.20955882352941177
4,Madison & Cortland Counties PUMA,0.8817959288843081,0.8632807137954701,0.8981672533074402,0.7082830977605623,0.6877947365752244,0.7292596822759838,0.7410540013012362,0.6779063915450427,0.8564857405703772
5,Ontario & Yates Counties PUMA,0.8327102803738318,0.8386968217594899,0.8278774229872115,0.7731772942190643,0.7923783811847775,0.753732912723449,0.7756756756756756,0.8716666666666667,0.6165745856353592
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.8518777951398243,0.9535327816677276,0.7772795216741405,0.7797860210097285,0.7713724205699312,0.7888452237001209,0.5411271896420411,0.6088794926004228,0.4614747307373654
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.9566138687291413,0.9747002398081535,0.9422985669545412,0.9047837784631537,0.912722069870037,0.895067133683596,0.44261119081779055,0.5893805309734513,0.3425814234016888
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.8010041077133729,0.8318720196892786,0.7782933454051607,0.6992280846528101,0.7103351300679634,0.6875044172733056,0.49336099585062243,0.4741318214032601,0.5205205205205206
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.37395091894188887,0.40984504855551157,0.34617830644211517,0.25155625450494723,0.16806933802286145,0.3426027397260274,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.9709196102314251,0.9836307832215528,0.9606674612634089,0.8963593448251198,0.9286150505530298,0.8604158790170132,0.5725677830940988,0.44205412907702984,1.0
11,Erie County (Northwest) PUMA,0.8230820961150483,0.7665856200069469,0.8687114269683935,0.7386708459768582,0.7943591574437701,0.6898773773773774,0.7426836002208724,0.7145299145299145,0.7940717628705148
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.5012889617998594,0.4919526627218935,0.5104432582965885,0.45649484536082474,0.4187365538822609,0.4840273816314889,0.5865787896944278,0.7948717948717948,0.4853072128227961
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.3519220357336221,0.4960430515986072,0.2442657838732561,0.2646761133603239,0.33769721383014434,0.20149578855649145,0.08919667590027701,0.0,0.11997019374068554
14,Rockland County (North)--New City & Congers PUMA,0.9238972370334464,0.9233018742522929,0.9243959469992206,0.7801383125864454,0.7480395499488578,0.8105864596808969,0.8391850888599913,0.9295774647887324,0.7514944491887275
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.8208895632037052,0.797910094637224,0.8365320091262918,0.7789032016676466,0.7794229501546575,0.7783240097191615,0.7429264349232013,0.7368421052631579,0.7479156449239823
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.34319635826771655,0.34285714285714286,0.34346204475647213,0.32549253731343286,0.328212894850714,0.32214228617106316,0.1064541013113911,0.08838286375916635,0.14252696456086286
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.5440314822912112,0.6299701789264414,0.4973687761435704,0.3293436544591166,0.30787791048377366,0.3544607566346697,0.4449685534591195,0.40997830802603036,0.4776876267748479
18,Tompkins County PUMA,0.6681574239713775,0.6045089448703906,0.7293055068397054,0.6892324992971606,0.6667870905587668,0.708891467144816,0.6303837118245889,0.6308316430020284,0.6288659793814433
19,Dutchess County (Southwest) PUMA,0.8057071640379905,0.8057792992347966,0.8056534453025418,0.6635735164478263,0.6884293052176264,0.6371939556235654,0.4503856041131105,0.7327380952380952,0.23574660633484162
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.4817011182649949,0.48403830806065445,0.4799764428739694,0.456554961248772,0.47072495849474266,0.4427694626897814,0.46794338051623646,0.571256764882742,0.2354533152909337
21,Westchester County (Northwest) PUMA,0.8657358437345745,0.8895304080061586,0.8456284153005464,0.6107571560480147,0.6439092011783053,0.5729393160703696,0.5059230009871668,0.39456342668863265,0.6724137931034483
22,Albany County (Outside Albany City) PUMA,0.7888918701368393,0.8197977647684939,0.7574675324675325,0.6900272161741835,0.6434085635941784,0.7298720028844421,0.4857284686026309,0.531175468483816,0.36380255941499084
23,Monroe County (South) PUMA,0.8535810025383721,0.8568486614094128,0.850656356770365,0.757559940146849,0.7263122701437646,0.7914671310404876,0.6686437327006722,0.7952488687782805,0.3745072273324573
24,Jefferson & Lewis Counties PUMA,0.7021524990879241,0.7175236806495264,0.6904914667008855,0.6790370465986834,0.7161984015819395,0.6384185878962536,0.5026032627559875,0.46426666666666666,0.5740556660039762
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.8439736084007062,0.766800282952134,0.8941717791411042,0.6950788291282269,0.7121482918858193,0.6765391014975042,0.6797371767698177,0.7008517887563884,0.6449803701626472
26,Erie County (Central) PUMA,0.84159200039602,0.8908302354399009,0.8088368642321325,0.7323871157523165,0.7525037880187738,0.7124721033183331,0.5978593272171254,0.7356475300400535,0.41323792486583183
27,St. Lawrence County PUMA,0.8272734569387591,0.7494869771112865,0.9077400391900718,0.7714073854367492,0.7909703017915114,0.7523564194133833,0.703288490284006,0.7237619263970922,0.6784335355763927
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.15892703862660945,0.15853658536585366,0.15932822833275323,0.08470995005762581,0.14730741366819608,0.043374262478073675,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.966593622825455,0.9632771084337349,0.9694643751042883,0.839518425822042,0.8074678180219077,0.8770975907002906,0.40930979133226325,0.7062600321027287,0.11235955056179775
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.1628344973711057,0.15593168803527085,0.17019896193771628,0.22053399615137909,0.20880260818020155,0.23436408106219428,0.030945844771649612,0.04965959150981177,0.0
31,Cayuga & Onondaga (South) Counties PUMA,0.8566152763936925,0.8369659982563208,0.8699027218237202,0.7476039244598196,0.7698442038552944,0.7218174024860694,0.6611570247933884,0.6550408719346049,0.6689944134078212
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.9530136641797301,0.9615886630617192,0.9460097471824551,0.9298201975694691,0.919531639262581,0.9434883336091345,1.0,1.0,1.0
