,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.061980771530352974,0.05812047828240731,0.0652102164512907,0.20679636027303863,0.17136927885406253,0.24333645175975308,0.5078179294428824,0.45104568569441983,0.5770937568883843
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.055752535200992194,0.06012065028458471,0.052482522835127825,0.33820021684134444,0.2555645254295929,0.47695584817970565,0.7124070897655803,0.7409024745269287,0.6939736346516008
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.037224754035521106,0.03932130352814436,0.0353322528363047,0.07207207207207207,0.05138189761610789,0.09656025179856115,0.18087557603686635,0.014716703458425313,0.36224899598393573
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.058466522678185744,0.07050900261144454,0.04772606545989458,0.3806900006261349,0.38785391011472475,0.3701700154559505,0.6624022743425728,0.7356893977103036,0.5958408679927667
4,Madison & Cortland Counties PUMA,0.051331532226939404,0.08016472203157173,0.025904854133882098,0.2175590068458159,0.14754098360655737,0.28984529124701486,0.3912774512836375,0.47257383966244726,0.23363636363636364
5,Ontario & Yates Counties PUMA,0.03846323302639115,0.024120205614867538,0.04999602575311978,0.19904694945707366,0.17128099173553718,0.2272751142151972,0.3862785862785863,0.259,0.5972375690607735
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.08012285144673743,0.04468491406747295,0.10612855007473841,0.1279660812796608,0.10965075236856771,0.1477050903448621,0.320817843866171,0.28927848954821306,0.3595691797845899
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.03856545001854108,0.027577937649880094,0.047262029040523866,0.07292550760592806,0.06972607612949129,0.07684485764090646,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.04901257902626605,0.01353637901861252,0.07509613209681068,0.23175110378120223,0.20445188284518828,0.26053504623420626,0.47690516237546904,0.42143312779077186,0.5631196298744217
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0408477637310103,0.028554902736765198,0.050359203862913676,0.12123381271555932,0.1105388770254993,0.1327302187415609,1.0,#DIV/0!,1.0
