,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,844345.0,410323.0,434022.0,295819.0,150550.0,145269.0,548526.0,259773.0,288753.0,215024.0,92061.0,122963.0,101564.0,44326.0,57238.0,113460.0,47735.0,65725.0,490193.0,245345.0,244848.0,169005.0,90870.0,78135.0,321188.0,154475.0,166713.0,139128.0,72917.0,66211.0,25250.0,15354.0,9896.0,113878.0,57563.0,56315.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7169.0,4036.0,3133.0,2353.0,1319.0,1034.0,4816.0,2717.0,2099.0,2187.0,1265.0,922.0,1298.0,866.0,432.0,889.0,399.0,490.0,3797.0,2432.0,1365.0,1055.0,453.0,602.0,2742.0,1979.0,763.0,1185.0,339.0,846.0,0.0,0.0,0.0,1185.0,339.0,846.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,6447.0,3044.0,3403.0,5153.0,2259.0,2894.0,1294.0,785.0,509.0,3098.0,1680.0,1418.0,2233.0,1244.0,989.0,865.0,436.0,429.0,2915.0,1331.0,1584.0,2486.0,982.0,1504.0,429.0,349.0,80.0,434.0,33.0,401.0,434.0,33.0,401.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6457.0,3843.0,2614.0,1941.0,1093.0,848.0,4516.0,2750.0,1766.0,2410.0,1364.0,1046.0,1170.0,728.0,442.0,1240.0,636.0,604.0,2741.0,1796.0,945.0,620.0,365.0,255.0,2121.0,1431.0,690.0,1306.0,683.0,623.0,151.0,0.0,151.0,1155.0,683.0,472.0
4,Madison & Cortland Counties PUMA,1138.0,715.0,423.0,946.0,523.0,423.0,192.0,192.0,0.0,444.0,152.0,292.0,444.0,152.0,292.0,0.0,0.0,0.0,552.0,421.0,131.0,360.0,229.0,131.0,192.0,192.0,0.0,142.0,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,2172.0,1391.0,781.0,964.0,578.0,386.0,1208.0,813.0,395.0,439.0,253.0,186.0,416.0,230.0,186.0,23.0,23.0,0.0,1529.0,1068.0,461.0,478.0,278.0,200.0,1051.0,790.0,261.0,204.0,70.0,134.0,70.0,70.0,0.0,134.0,0.0,134.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,3303.0,1956.0,1347.0,2194.0,1797.0,397.0,1109.0,159.0,950.0,603.0,0.0,603.0,0.0,0.0,0.0,603.0,0.0,603.0,2368.0,1811.0,557.0,2049.0,1652.0,397.0,319.0,159.0,160.0,332.0,145.0,187.0,145.0,145.0,0.0,187.0,0.0,187.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,2055.0,1200.0,855.0,1437.0,968.0,469.0,618.0,232.0,386.0,564.0,235.0,329.0,564.0,235.0,329.0,0.0,0.0,0.0,809.0,669.0,140.0,809.0,669.0,140.0,0.0,0.0,0.0,682.0,296.0,386.0,64.0,64.0,0.0,618.0,232.0,386.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",854.0,337.0,517.0,177.0,103.0,74.0,677.0,234.0,443.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,779.0,262.0,517.0,102.0,28.0,74.0,677.0,234.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,5619.0,2917.0,2702.0,1466.0,488.0,978.0,4153.0,2429.0,1724.0,3758.0,2013.0,1745.0,1350.0,488.0,862.0,2408.0,1525.0,883.0,1861.0,904.0,957.0,116.0,0.0,116.0,1745.0,904.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4760.0,2547.0,2213.0,3662.0,1836.0,1826.0,1098.0,711.0,387.0,1054.0,457.0,597.0,1054.0,457.0,597.0,0.0,0.0,0.0,2651.0,1035.0,1616.0,2264.0,1035.0,1229.0,387.0,0.0,387.0,1055.0,1055.0,0.0,344.0,344.0,0.0,711.0,711.0,0.0
11,Erie County (Northwest) PUMA,1624.0,576.0,1048.0,786.0,296.0,490.0,838.0,280.0,558.0,323.0,0.0,323.0,323.0,0.0,323.0,0.0,0.0,0.0,1054.0,399.0,655.0,463.0,296.0,167.0,591.0,103.0,488.0,247.0,177.0,70.0,0.0,0.0,0.0,247.0,177.0,70.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5395.0,2396.0,2999.0,1913.0,343.0,1570.0,3482.0,2053.0,1429.0,1845.0,1180.0,665.0,235.0,114.0,121.0,1610.0,1066.0,544.0,2792.0,1216.0,1576.0,1401.0,229.0,1172.0,1391.0,987.0,404.0,758.0,0.0,758.0,277.0,0.0,277.0,481.0,0.0,481.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,11917.0,4965.0,6952.0,3374.0,1492.0,1882.0,8543.0,3473.0,5070.0,2131.0,813.0,1318.0,944.0,516.0,428.0,1187.0,297.0,890.0,7567.0,3166.0,4401.0,2295.0,976.0,1319.0,5272.0,2190.0,3082.0,2219.0,986.0,1233.0,135.0,0.0,135.0,2084.0,986.0,1098.0
14,Rockland County (North)--New City & Congers PUMA,5185.0,2812.0,2373.0,3262.0,1688.0,1574.0,1923.0,1124.0,799.0,1065.0,497.0,568.0,1065.0,497.0,568.0,0.0,0.0,0.0,3782.0,2161.0,1621.0,1939.0,1117.0,822.0,1843.0,1044.0,799.0,338.0,154.0,184.0,258.0,74.0,184.0,80.0,80.0,0.0
