,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,0.11497071243699769,0.11258406205014718,0.11671805197256654,0.2346784857566233,0.18290874405586616,0.28193297871664347,0.33297816165654587,0.30684785406936116,0.36047996903425583
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,0.0,0.20583657587548637,0.11571500757958565,0.5076142131979695,0.560337552742616,1.0,0.38416075650118203
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.06290322580645161,0.0,0.1291390728476821,0.1254125412541254,0.14116002795248078,0.0927536231884058,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.515625,0.515625,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,#DIV/0!,0.22645099904852523,0.2569620253164557,0.13409961685823754,1.0,#DIV/0!,1.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,#DIV/0!,0.0,0.26332288401253917,0.0,0.525,1.0,#DIV/0!,1.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0701827242524917,0.11081967213114755,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.544839255499154,0.0,0.6598360655737705,0.2834008097165992,0.0,1.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.12951601908657123,0.12134344528710726,0.14338235294117646,0.19213313161875945,0.19250253292806485,0.191044776119403,0.7401247401247402,#DIV/0!,0.7401247401247402
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.3333333333333333,1.0,0.07652399481193256,0.3335459183673469,0.2909967845659164,0.36152219873150104,0.3581395348837209,0.18795888399412627,0.46968238691049086
14,Rockland County (North)--New City & Congers PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.1515323496027242,0.0,0.37186629526462395,1.0,1.0,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.0,0.0,0.0,0.40771349862258954,0.37018181818181817,0.44146500981033354,0.49017341040462425,0.5233644859813084,0.4258210645526614
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.04062229904926534,0.0,0.044131455399061034,0.24493471409275103,0.24821002386634844,0.24066390041493776,0.7052154195011338,1.0,0.0
18,Tompkins County PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.0,0.0,0.0,0.03898305084745763,0.0,0.08394160583941605,0.0,#DIV/0!,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.40929312901631243,0.40860215053763443,0.40988106129917656,0.43052533416226296,0.4746753246753247,0.38998211091234347,0.19636363636363635,0.0,0.5023255813953489
21,Westchester County (Northwest) PUMA,0.0,#DIV/0!,0.0,0.34813278008298754,0.0683321087435709,0.7111534795042898,0.2936241610738255,0.43640897755610975,0.0
22,Albany County (Outside Albany City) PUMA,0.36363636363636365,1.0,0.0,0.5542938254080908,0.42,0.68688293370945,1.0,1.0,#DIV/0!
23,Monroe County (South) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,1.0,1.0,1.0,0.391812865497076,0.484629294755877,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,1.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.10892923304927751,0.16225165562913907,0.0,0.5661740558292282,1.0,0.391804788213628,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.20157068062827224,0.30434782608695654,0.0,#DIV/0!,#DIV/0!,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.12002697235333783,0.0,0.31928251121076234,0.18150879183210436,0.16787859626936452,0.20178739416745062,0.0825593395252838,0.10899182561307902,0.0
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.40765027322404374,0.4175531914893617,0.4007421150278293,0.45229244114002476,0.07724425887265135,1.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.6398305084745762,#DIV/0!,0.6398305084745762,0.22947475777664456,0.514018691588785,0.09097801364670205,0.0,0.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,#DIV/0!,0.24234904880066171,0.0,0.3564476885644769,#DIV/0!,#DIV/0!,#DIV/0!
