,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,5714961,2905969,2808992,4776041,2592037,2184004,938920,313932,624988,2581729,1213530,1368199,2245090,1111737,1133353,336639,101793,234846,2889870,1543441,1346429,2352612,1358124,994488,537258,185317,351941,243362,148998,94364,178339,122176,56163,65023,26822,38201
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,69349,33442,35907,55379,27758,27621,13970,5684,8286,59925,27049,32876,49032,23620,25412,10893,3429,7464,8725,6215,2510,5648,3960,1688,3077,2255,822,699,178,521,699,178,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,37082,19529,17553,31793,18384,13409,5289,1145,4144,19475,9639,9836,17461,9354,8107,2014,285,1729,15949,8815,7134,12998,8066,4932,2951,749,2202,1658,1075,583,1334,964,370,324,111,213
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,51291,25331,25960,45673,23694,21979,5618,1637,3981,40452,19287,21165,36520,18385,18135,3932,902,3030,9349,5446,3903,7802,4778,3024,1547,668,879,1490,598,892,1351,531,820,139,67,72
4,Madison & Cortland Counties PUMA,44697,23768,20929,37396,21672,15724,7301,2096,5205,14110,6500,7610,11865,5931,5934,2245,569,1676,29384,16431,12953,24342,14918,9424,5042,1513,3529,1203,837,366,1189,823,366,14,14,0
5,Ontario & Yates Counties PUMA,53982,28420,25562,44492,25907,18585,9490,2513,6977,20336,9466,10870,17770,9180,8590,2566,286,2280,30128,16373,13755,23501,14207,9294,6627,2166,4461,3518,2581,937,3221,2520,701,297,61,236
6,Monroe County (Central)--Greece & Gates Towns PUMA,52761,26615,26146,43649,23734,19915,9112,2881,6231,17225,7546,9679,14629,6756,7873,2596,790,1806,34128,18022,16106,27788,15988,11800,6340,2034,4306,1408,1047,361,1232,990,242,176,57,119
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,28960,14312,14648,24393,13571,10822,4567,741,3826,16452,7729,8723,13990,7545,6445,2462,184,2278,11557,6018,5539,9452,5461,3991,2105,557,1548,951,565,386,951,565,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",60866,31338,29528,49361,27230,22131,11505,4108,7397,13786,6081,7705,11822,5419,6403,1964,662,1302,43542,22654,20888,35079,19792,15287,8463,2862,5601,3538,2603,935,2460,2019,441,1078,584,494
9,NYC-Manhattan Community District 8--Upper East Side PUMA,79676,36678,42998,69577,34174,35403,10099,2504,7595,66033,29975,36058,58901,28479,30422,7132,1496,5636,13643,6703,6940,10676,5695,4981,2967,1008,1959,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,39873,21147,18726,32650,18514,14136,7223,2633,4590,17764,8473,9291,15899,8068,7831,1865,405,1460,21092,12001,9091,16218,9913,6305,4874,2088,2786,1017,673,344,533,533,0,484,140,344
11,Erie County (Northwest) PUMA,43350,20610,22740,36359,19054,17305,6991,1556,5435,17553,8052,9501,15408,7738,7670,2145,314,1831,24404,11610,12794,19916,10525,9391,4488,1085,3403,1393,948,445,1035,791,244,358,157,201
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",22476,10096,12380,19702,9605,10097,2774,491,2283,12890,5993,6897,11701,5937,5764,1189,56,1133,8666,3809,4857,7178,3374,3804,1488,435,1053,920,294,626,823,294,529,97,0,97
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,24577,11279,13298,20535,9032,11503,4042,2247,1795,5955,2671,3284,4863,2085,2778,1092,586,506,16024,8012,8012,13288,6388,6900,2736,1624,1112,2598,596,2002,2384,559,1825,214,37,177
14,Rockland County (North)--New City & Congers PUMA,30807,14959,15848,25827,13105,12722,4980,1854,3126,15457,7562,7895,13543,6874,6669,1914,688,1226,13619,6501,7118,10897,5556,5341,2722,945,1777,1731,896,835,1387,675,712,344,221,123
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",43967,22831,21136,36635,20562,16073,7332,2269,5063,11069,4460,6609,9873,4138,5735,1196,322,874,30451,16933,13518,24955,15282,9673,5496,1651,3845,2447,1438,1009,1807,1142,665,640,296,344
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,21413,10926,10487,16702,8503,8199,4711,2423,2288,14470,6526,7944,11793,5150,6643,2677,1376,1301,5183,3322,1861,3707,2452,1255,1476,870,606,1760,1078,682,1202,901,301,558,177,381
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,21187,10213,10974,17016,8227,8789,4171,1986,2185,9121,3270,5851,7217,2463,4754,1904,807,1097,11189,6421,4768,9348,5487,3861,1841,934,907,877,522,355,451,277,174,426,245,181
18,Tompkins County PUMA,34089,17024,17065,28504,14196,14308,5585,2828,2757,19701,10272,9429,16347,8662,7685,3354,1610,1744,13488,5903,7585,11308,4685,6623,2180,1218,962,900,849,51,849,849,0,51,0,51
19,Dutchess County (Southwest) PUMA,57206,30116,27090,47796,27334,20462,9410,2782,6628,20478,8810,11668,17466,8249,9217,3012,561,2451,33723,19636,14087,27856,17658,10198,5867,1978,3889,3005,1670,1335,2474,1427,1047,531,243,288
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,24139,12832,11307,19869,10769,9100,4270,2063,2207,10026,4579,5447,8172,3851,4321,1854,728,1126,13152,7451,5701,10736,6116,4620,2416,1335,1081,961,802,159,961,802,159,0,0,0
21,Westchester County (Northwest) PUMA,43227,22728,20499,37188,20410,16778,6039,2318,3721,25653,12830,12823,22993,11930,11063,2660,900,1760,16395,9052,7343,13102,7720,5382,3293,1332,1961,1179,846,333,1093,760,333,86,86,0
22,Albany County (Outside Albany City) PUMA,78497,39607,38890,67446,36122,31324,11051,3485,7566,33173,16794,16379,28953,15418,13535,4220,1376,2844,42504,20407,22097,36110,18577,17533,6394,1830,4564,2820,2406,414,2383,2127,256,437,279,158
23,Monroe County (South) PUMA,63399,32759,30640,53377,30194,23183,10022,2565,7457,37637,18649,18988,32601,17377,15224,5036,1272,3764,24349,13141,11208,19723,11990,7733,4626,1151,3475,1413,969,444,1053,827,226,360,142,218
24,Jefferson & Lewis Counties PUMA,51691,28168,23523,42839,25698,17141,8852,2470,6382,11790,5334,6456,10644,4982,5662,1146,352,794,36094,20043,16051,29292,18235,11057,6802,1808,4994,3807,2791,1016,2903,2481,422,904,310,594
25,"Chenango, Delaware & Broome (East) Counties PUMA",39274,19920,19354,30795,17090,13705,8479,2830,5649,8970,3513,5457,7172,3042,4130,1798,471,1327,28432,15260,13172,22372,13162,9210,6060,2098,3962,1872,1147,725,1251,886,365,621,261,360
26,Erie County (Central) PUMA,63498,30941,32557,52753,28000,24753,10745,2941,7804,17853,7442,10411,15259,6878,8381,2594,564,2030,44309,22621,21688,36523,20517,16006,7786,2104,5682,1336,878,458,971,605,366,365,273,92
27,St. Lawrence County PUMA,38053,19607,18446,30704,17013,13691,7349,2594,4755,10729,5610,5119,9748,5409,4339,981,201,780,25334,12464,12870,19400,10268,9132,5934,2196,3738,1990,1533,457,1556,1336,220,434,197,237
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",27698,13265,14433,21018,10493,10525,6680,2772,3908,21316,10429,10887,15787,8055,7732,5529,2374,3155,5512,2149,3363,4792,1999,2793,720,150,570,870,687,183,439,439,0,431,248,183
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,38630,20726,17904,31329,19404,11925,7301,1322,5979,19479,9806,9673,16830,9199,7631,2649,607,2042,18550,10416,8134,13898,9701,4197,4652,715,3937,601,504,97,601,504,97,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,52930,29394,23536,44830,26412,18418,8100,2982,5118,35655,18919,16736,32071,17475,14596,3584,1444,2140,15150,8931,6219,11320,7867,3453,3830,1064,2766,2125,1544,581,1439,1070,369,686,474,212
31,Cayuga & Onondaga (South) Counties PUMA,46604,24009,22595,38900,22088,16812,7704,1921,5783,14963,6253,8710,12880,5787,7093,2083,466,1617,29483,16404,13079,24474,15057,9417,5009,1347,3662,2158,1352,806,1546,1244,302,612,108,504
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,42150,22714,19436,33472,20609,12863,8678,2105,6573,20674,9566,11108,17317,9051,8266,3357,515,2842,21273,13041,8232,16059,11558,4501,5214,1483,3731,203,107,96,96,0,96,107,107,0
33,Fulton & Montgomery Counties PUMA,40089,20538,19551,33160,18172,14988,6929,2366,4563,7997,3228,4769,7063,2951,4112,934,277,657,28235,15172,13063,22944,13342,9602,5291,1830,3461,3857,2138,1719,3153,1879,1274,704,259,445
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,66541,33516,33025,55802,30500,25302,10739,3016,7723,30122,15066,15056,25610,14059,11551,4512,1007,3505,35170,17780,17390,29173,15904,13269,5997,1876,4121,1249,670,579,1019,537,482,230,133,97
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,33830,17388,16442,27280,14509,12771,6550,2879,3671,12743,5549,7194,10496,4878,5618,2247,671,1576,19906,11000,8906,15940,9072,6868,3966,1928,2038,1181,839,342,844,559,285,337,280,57
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,39552,19447,20105,32362,17002,15360,7190,2445,4745,7644,3091,4553,6239,2804,3435,1405,287,1118,29499,14912,14587,24774,13409,11365,4725,1503,3222,2409,1444,965,1349,789,560,1060,655,405
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,42353,23813,18540,35369,21799,13570,6984,2014,4970,16669,8529,8140,13261,7222,6039,3408,1307,2101,24465,14281,10184,20979,13664,7315,3486,617,2869,1219,1003,216,1129,913,216,90,90,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",16970,8227,8743,14209,7503,6706,2761,724,2037,4266,1567,2699,3789,1567,2222,477,0,477,10813,5377,5436,8721,4845,3876,2092,532,1560,1891,1283,608,1699,1091,608,192,192,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,8588,4594,3994,7522,4036,3486,1066,558,508,3807,2020,1787,3574,1938,1636,233,82,151,3895,1999,1896,3144,1605,1539,751,394,357,886,575,311,804,493,311,82,82,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",53295,27389,25906,46332,24136,22196,6963,3253,3710,45704,22366,23338,40012,20155,19857,5692,2211,3481,6648,4419,2229,5377,3377,2000,1271,1042,229,943,604,339,943,604,339,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,40444,19396,21048,35491,17946,17545,4953,1450,3503,18359,8273,10086,15954,7361,8593,2405,912,1493,21497,10535,10962,19082,10130,8952,2415,405,2010,588,588,0,455,455,0,133,133,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",22178,10301,11877,18468,8626,9842,3710,1675,2035,10690,5155,5535,9804,4805,4999,886,350,536,10627,4667,5960,8096,3511,4585,2531,1156,1375,861,479,382,568,310,258,293,169,124
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",30164,16300,13864,25126,14449,10677,5038,1851,3187,14555,6807,7748,11580,5896,5684,2975,911,2064,15034,9138,5896,13195,8359,4836,1839,779,1060,575,355,220,351,194,157,224,161,63
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,17022,9493,7529,15294,9271,6023,1728,222,1506,8330,5254,3076,7637,5048,2589,693,206,487,7184,3232,3952,6149,3216,2933,1035,16,1019,1508,1007,501,1508,1007,501,0,0,0
45,Saratoga County (Outer) PUMA,50205,26451,23754,42263,24446,17817,7942,2005,5937,18266,8942,9324,16168,8348,7820,2098,594,1504,30961,16711,14250,25237,15300,9937,5724,1411,4313,978,798,180,858,798,60,120,0,120
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",21715,10048,11667,17224,7268,9956,4491,2780,1711,6423,2637,3786,5361,1788,3573,1062,849,213,13605,6481,7124,10258,4550,5708,3347,1931,1416,1687,930,757,1605,930,675,82,0,82
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",17901,9664,8237,14941,8882,6059,2960,782,2178,8809,4012,4797,7455,3771,3684,1354,241,1113,8567,5390,3177,7216,4931,2285,1351,459,892,525,262,263,270,180,90,255,82,173
48,Wayne & Seneca Counties PUMA,49273,25698,23575,41352,22592,18760,7921,3106,4815,11531,5228,6303,9483,4386,5097,2048,842,1206,34714,18242,16472,29829,16620,13209,4885,1622,3263,3028,2228,800,2040,1586,454,988,642,346
49,Schenectady County--Schenectady City PUMA,53836,27742,26094,44411,23816,20595,9425,3926,5499,22181,10661,11520,19763,10372,9391,2418,289,2129,29185,15587,13598,23530,12617,10913,5655,2970,2685,2470,1494,976,1118,827,291,1352,667,685
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,27072,14568,12504,23936,13142,10794,3136,1426,1710,17453,8192,9261,16179,7816,8363,1274,376,898,8927,6113,2814,7223,5115,2108,1704,998,706,692,263,429,534,211,323,158,52,106
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,27951,15290,12661,24427,14578,9849,3524,712,2812,20546,10951,9595,17519,10568,6951,3027,383,2644,7056,4088,2968,6711,3827,2884,345,261,84,349,251,98,197,183,14,152,68,84
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,34200,18565,15635,26829,14928,11901,7371,3637,3734,12711,5209,7502,10426,4310,6116,2285,899,1386,20183,12294,7889,15421,9636,5785,4762,2658,2104,1306,1062,244,982,982,0,324,80,244
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",67787,39606,28181,60340,35537,24803,7447,4069,3378,58926,33871,25055,53798,31279,22519,5128,2592,2536,8303,5314,2989,6303,4156,2147,2000,1158,842,558,421,137,239,102,137,319,319,0
54,Columbia & Greene Counties PUMA,38808,20166,18642,31741,17804,13937,7067,2362,4705,13251,6199,7052,10988,5819,5169,2263,380,1883,23983,12980,11003,19896,11385,8511,4087,1595,2492,1574,987,587,857,600,257,717,387,330
55,Rensselaer County--Troy City PUMA,68659,35471,33188,58521,31623,26898,10138,3848,6290,23201,9922,13279,19679,8975,10704,3522,947,2575,42297,23062,19235,36409,20508,15901,5888,2554,3334,3161,2487,674,2433,2140,293,728,347,381
56,Erie County (West Central)--Buffalo City (West) PUMA,36426,19419,17007,31186,17133,14053,5240,2286,2954,19087,9474,9613,16642,8573,8069,2445,901,1544,16164,9196,6968,13474,7820,5654,2690,1376,1314,1175,749,426,1070,740,330,105,9,96
57,Erie County (South) PUMA,75475,39151,36324,64021,36487,27534,11454,2664,8790,28436,12948,15488,24639,11970,12669,3797,978,2819,44710,24552,20158,37245,22940,14305,7465,1612,5853,2329,1651,678,2137,1577,560,192,74,118
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,50079,25628,24451,41205,21753,19452,8874,3875,4999,15570,7785,7785,13493,6874,6619,2077,911,1166,31850,15962,15888,26143,13624,12519,5707,2338,3369,2659,1881,778,1569,1255,314,1090,626,464
