,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,2512048.0,1196078.0,1315970.0,2023146.0,993618.0,1029528.0,488902.0,202460.0,286442.0,956623.0,439623.0,517000.0,852007.0,395628.0,456379.0,104616.0,43995.0,60621.0,1299877.0,626845.0,673032.0,1008371.0,511726.0,496645.0,291506.0,115119.0,176387.0,255548.0,129610.0,125938.0,162768.0,86264.0,76504.0,92780.0,43346.0,49434.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,51136.0,24824.0,26312.0,43648.0,21946.0,21702.0,7488.0,2878.0,4610.0,40174.0,17949.0,22225.0,36100.0,16621.0,19479.0,4074.0,1328.0,2746.0,9599.0,6358.0,3241.0,6849.0,5147.0,1702.0,2750.0,1211.0,1539.0,1363.0,517.0,846.0,699.0,178.0,521.0,664.0,339.0,325.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3860.0,1967.0,1893.0,3219.0,1504.0,1715.0,641.0,463.0,178.0,2062.0,745.0,1317.0,1948.0,631.0,1317.0,114.0,114.0,0.0,1561.0,985.0,576.0,1034.0,636.0,398.0,527.0,349.0,178.0,237.0,237.0,0.0,237.0,237.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,40829.0,19882.0,20947.0,35408.0,17302.0,18106.0,5421.0,2580.0,2841.0,28804.0,13526.0,15278.0,25913.0,12383.0,13530.0,2891.0,1143.0,1748.0,9611.0,5195.0,4416.0,7995.0,4148.0,3847.0,1616.0,1047.0,569.0,2414.0,1161.0,1253.0,1500.0,771.0,729.0,914.0,390.0,524.0
4,Madison & Cortland Counties PUMA,12430.0,6940.0,5490.0,10167.0,5886.0,4281.0,2263.0,1054.0,1209.0,1702.0,921.0,781.0,1617.0,836.0,781.0,85.0,85.0,0.0,10054.0,5379.0,4675.0,8200.0,4734.0,3466.0,1854.0,645.0,1209.0,674.0,640.0,34.0,350.0,316.0,34.0,324.0,324.0,0.0
5,Ontario & Yates Counties PUMA,12482.0,5595.0,6887.0,10619.0,4999.0,5620.0,1863.0,596.0,1267.0,3759.0,1619.0,2140.0,3667.0,1619.0,2048.0,92.0,0.0,92.0,7712.0,3591.0,4121.0,6064.0,3011.0,3053.0,1648.0,580.0,1068.0,1011.0,385.0,626.0,888.0,369.0,519.0,123.0,16.0,107.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,11464.0,5084.0,6380.0,8830.0,4418.0,4412.0,2634.0,666.0,1968.0,2120.0,365.0,1755.0,1625.0,365.0,1260.0,495.0,0.0,495.0,8355.0,4164.0,4191.0,6581.0,3498.0,3083.0,1774.0,666.0,1108.0,989.0,555.0,434.0,624.0,555.0,69.0,365.0,0.0,365.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3047.0,1175.0,1872.0,2578.0,1175.0,1403.0,469.0,0.0,469.0,819.0,211.0,608.0,604.0,211.0,393.0,215.0,0.0,215.0,1451.0,732.0,719.0,1197.0,732.0,465.0,254.0,0.0,254.0,777.0,232.0,545.0,777.0,232.0,545.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",22038.0,10818.0,11220.0,17157.0,8292.0,8865.0,4881.0,2526.0,2355.0,2655.0,1029.0,1626.0,2383.0,999.0,1384.0,272.0,30.0,242.0,16176.0,7948.0,8228.0,13090.0,6144.0,6946.0,3086.0,1804.0,1282.0,3207.0,1841.0,1366.0,1684.0,1149.0,535.0,1523.0,692.0,831.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,56294.0,24186.0,32108.0,51968.0,22102.0,29866.0,4326.0,2084.0,2242.0,45928.0,18619.0,27309.0,41602.0,16535.0,25067.0,4326.0,2084.0,2242.0,10366.0,5567.0,4799.0,10366.0,5567.0,4799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,3631.0,1659.0,1972.0,3136.0,1526.0,1610.0,495.0,133.0,362.0,573.0,144.0,429.0,573.0,144.0,429.0,0.0,0.0,0.0,2254.0,711.0,1543.0,1759.0,578.0,1181.0,495.0,133.0,362.0,804.0,804.0,0.0,804.0,804.0,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,10181.0,4553.0,5628.0,8592.0,3815.0,4777.0,1589.0,738.0,851.0,2834.0,1511.0,1323.0,2569.0,1511.0,1058.0,265.0,0.0,265.0,6881.0,2708.0,4173.0,5846.0,2127.0,3719.0,1035.0,581.0,454.0,466.0,334.0,132.0,177.0,177.0,0.0,289.0,157.0,132.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",13586.0,6327.0,7259.0,11205.0,5263.0,5942.0,2381.0,1064.0,1317.0,6870.0,3612.0,3258.0,5728.0,3020.0,2708.0,1142.0,592.0,550.0,6138.0,2715.0,3423.0,5255.0,2243.0,3012.0,883.0,472.0,411.0,578.0,0.0,578.0,222.0,0.0,222.0,356.0,0.0,356.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,22774.0,8663.0,14111.0,15921.0,6406.0,9515.0,6853.0,2257.0,4596.0,3995.0,1422.0,2573.0,3474.0,984.0,2490.0,521.0,438.0,83.0,15633.0,6643.0,8990.0,10950.0,5094.0,5856.0,4683.0,1549.0,3134.0,3146.0,598.0,2548.0,1497.0,328.0,1169.0,1649.0,270.0,1379.0
14,Rockland County (North)--New City & Congers PUMA,5095.0,2529.0,2566.0,3792.0,2202.0,1590.0,1303.0,327.0,976.0,1176.0,577.0,599.0,1097.0,577.0,520.0,79.0,0.0,79.0,3548.0,1872.0,1676.0,2695.0,1625.0,1070.0,853.0,247.0,606.0,371.0,80.0,291.0,0.0,0.0,0.0,371.0,80.0,291.0
