,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,5672967,2901926,2771041,5373057,2730691,2642366,299910,171235,128675,2550029,1205408,1344621,2470868,1163967,1306901,79161,41441,37720,2870955,1540394,1330561,2693162,1438524,1254638,177793,101870,75923,251983,156124,95859,209027,128200,80827,42956,27924,15032
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,68394,33507,34887,66848,32136,34712,1546,1371,175,59677,27400,32277,58321,26219,32102,1356,1181,175,8018,5929,2089,7828,5739,2089,190,190,0,699,178,521,699,178,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,37413,19746,17667,36294,19110,17184,1119,636,483,19583,9754,9829,19109,9519,9590,474,235,239,16123,8868,7255,15560,8549,7011,563,319,244,1707,1124,583,1625,1042,583,82,82,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,51630,25902,25728,48905,24689,24216,2725,1213,1512,40084,19395,20689,38453,18906,19547,1631,489,1142,10268,6121,4147,9223,5446,3777,1045,675,370,1278,386,892,1229,337,892,49,49,0
4,Madison & Cortland Counties PUMA,44747,23946,20801,42489,22623,19866,2258,1323,935,13969,6759,7210,13603,6479,7124,366,280,86,29284,16091,13193,27873,15307,12566,1411,784,627,1494,1096,398,1013,837,176,481,259,222
5,Ontario & Yates Counties PUMA,52343,28037,24306,50371,27058,23313,1972,979,993,19865,9223,10642,19618,9178,10440,247,45,202,29243,16254,12989,27591,15377,12214,1652,877,775,3235,2560,675,3162,2503,659,73,57,16
6,Monroe County (Central)--Greece & Gates Towns PUMA,51316,26274,25042,50023,25528,24495,1293,746,547,16823,7499,9324,16582,7413,9169,241,86,155,33085,17728,15357,32113,17148,14965,972,580,392,1408,1047,361,1328,967,361,80,80,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,28986,14573,14413,27839,13957,13882,1147,616,531,16411,7729,8682,16010,7553,8457,401,176,225,11624,6279,5345,10878,5839,5039,746,440,306,951,565,386,951,565,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",57914,29613,28301,54471,27606,26865,3443,2007,1436,13334,5955,7379,12794,5843,6951,540,112,428,41456,21241,20215,38881,19631,19250,2575,1610,965,3124,2417,707,2796,2132,664,328,285,43
9,NYC-Manhattan Community District 8--Upper East Side PUMA,78773,36298,42475,76501,34736,41765,2272,1562,710,65570,29719,35851,63501,28360,35141,2069,1359,710,13203,6579,6624,13000,6376,6624,203,203,0,0,0,0,0,0,0,0,0,0
