,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,4765155,2581715,2183440,4479245,2440155,2039090,285910,141560,144350,2244280,1111142,1133138,2196841,1087762,1109079,47439,23380,24059,2345689,1351316,994373,2148802,1257092,891710,196887,94224,102663,175186,119257,55929,133602,95301,38301,41584,23956,17628
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,80046,36520,43526,70724,32236,38488,9322,4284,5038,66153,28163,37990,62551,26399,36152,3602,1764,1838,12144,7670,4474,7670,5659,2011,4474,2011,2463,1749,687,1062,503,178,325,1246,509,737
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,44324,22302,22022,41764,21303,20461,2560,999,1561,22626,10490,12136,21752,10052,11700,874,438,436,19094,10453,8641,17879,9912,7967,1215,541,674,2604,1359,1245,2133,1339,794,471,20,451
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,62750,31501,31249,52083,25322,26761,10667,6179,4488,43955,20739,23216,41440,19200,22240,2515,1539,976,15558,9276,6282,9478,5591,3887,6080,3685,2395,3237,1486,1751,1165,531,634,2072,955,1117
4,Madison & Cortland Counties PUMA,57025,28737,28288,46681,24447,22234,10344,4290,6054,15159,7198,7961,14361,6614,7747,798,584,214,38677,19450,19227,30396,16752,13644,8281,2698,5583,3189,2089,1100,1924,1081,843,1265,1008,257
5,Ontario & Yates Counties PUMA,64916,32039,32877,54883,27919,26964,10033,4120,5913,22316,10056,12260,21443,9812,11631,873,244,629,37858,18983,18875,30488,15884,14604,7370,3099,4271,4742,3000,1742,2952,2223,729,1790,777,1013
6,Monroe County (Central)--Greece & Gates Towns PUMA,61922,30248,31674,54335,27182,27153,7587,3066,4521,18559,7855,10704,17072,7504,9568,1487,351,1136,40889,20910,19979,35652,18624,17028,5237,2286,2951,2474,1483,991,1611,1054,557,863,429,434
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35407,17301,18106,33562,16483,17079,1845,818,1027,18696,8303,10393,17968,8073,9895,728,230,498,15317,8433,6884,14200,7845,6355,1117,588,529,1394,565,829,1394,565,829,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",79698,40262,39436,61776,32084,29692,17922,8178,9744,14728,6337,8391,13982,6249,7733,746,88,658,57241,29222,28019,43751,23114,20637,13490,6108,7382,7729,4703,3026,4043,2721,1322,3686,1982,1704
9,NYC-Manhattan Community District 8--Upper East Side PUMA,87976,39360,48616,83037,37542,45495,4939,1818,3121,73169,32035,41134,70169,31097,39072,3000,938,2062,14731,7325,7406,12868,6445,6423,1863,880,983,76,0,76,0,0,0,76,0,76
10,Suffolk County (Southwest)--Islip Town (South) PUMA,49077,24611,24466,44624,22262,22362,4453,2349,2104,19704,8797,10907,19560,8653,10907,144,144,0,27492,14373,13119,24394,13115,11279,3098,1258,1840,1881,1441,440,670,494,176,1211,947,264
11,Erie County (Northwest) PUMA,50514,23757,26757,44013,21609,22404,6501,2148,4353,19113,8637,10476,18750,8539,10211,363,98,265,29521,13921,15600,24103,12299,11804,5418,1622,3796,1880,1199,681,1160,771,389,720,428,292
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",29428,13512,15916,25294,11729,13565,4134,1783,2351,15787,7938,7849,14652,7144,7508,1135,794,341,11820,5006,6814,9612,4188,5424,2208,818,1390,1821,568,1253,1030,397,633,791,171,620
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,34124,15126,18998,21256,10672,10584,12868,4454,8414,6521,2902,3619,5817,2546,3271,704,356,348,23396,11116,12280,14028,7802,6226,9368,3314,6054,4207,1108,3099,1411,324,1087,2796,784,2012
14,Rockland County (North)--New City & Congers PUMA,36546,17245,19301,34372,16611,17761,2174,634,1540,16778,7718,9060,16333,7431,8902,445,287,158,17350,8219,9131,15924,7983,7941,1426,236,1190,2418,1308,1110,2115,1197,918,303,111,192
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",53681,26538,27143,44629,22126,22503,9052,4412,4640,12532,5101,7431,11039,4418,6621,1493,683,810,37441,19717,17724,31419,16553,14866,6022,3164,2858,3708,1720,1988,2171,1155,1016,1537,565,972
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,25259,12896,12363,20589,10685,9904,4670,2211,2459,15341,6799,8542,14484,6329,8155,857,470,387,7106,4150,2956,4891,3518,1373,2215,632,1583,2812,1947,865,1214,838,376,1598,1109,489
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,27386,12766,14620,22863,10333,12530,4523,2433,2090,10517,3619,6898,9372,2917,6455,1145,702,443,15135,8195,6940,12648,7090,5558,2487,1105,1382,1734,952,782,843,326,517,891,626,265
18,Tompkins County PUMA,41126,20041,21085,34620,17586,17034,6506,2455,4051,22104,10790,11314,20311,10435,9876,1793,355,1438,17667,8224,9443,13303,6379,6924,4364,1845,2519,1355,1027,328,1006,772,234,349,255,94
19,Dutchess County (Southwest) PUMA,69641,33245,36396,61526,30716,30810,8115,2529,5586,23023,9768,13255,22348,9512,12836,675,256,419,42629,21782,20847,36325,19816,16509,6304,1966,4338,3989,1695,2294,2853,1388,1465,1136,307,829
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,29670,15010,14660,23706,12558,11148,5964,2452,3512,11159,4844,6315,9517,4207,5310,1642,637,1005,16461,8812,7649,12919,7385,5534,3542,1427,2115,2050,1354,696,1270,966,304,780,388,392
21,Westchester County (Northwest) PUMA,51170,25274,25896,46189,23523,22666,4981,1751,3230,28608,13349,15259,27834,13003,14831,774,346,428,20634,10856,9778,17366,9700,7666,3268,1156,2112,1928,1069,859,989,820,169,939,249,690
22,Albany County (Outside Albany City) PUMA,92352,45284,47068,83528,40545,42983,8824,4739,4085,37036,18669,18367,35090,17734,17356,1946,935,1011,51102,23573,27529,45965,20835,25130,5137,2738,2399,4214,3042,1172,2473,1976,497,1741,1066,675
23,Monroe County (South) PUMA,72806,36204,36602,67451,33351,34100,5355,2853,2502,41269,19257,22012,40250,18714,21536,1019,543,476,28945,15116,13829,25658,13731,11927,3287,1385,1902,2592,1831,761,1543,906,637,1049,925,124
24,Jefferson & Lewis Counties PUMA,64525,32879,31646,51930,27522,24408,12595,5357,7238,13604,5912,7692,12492,5404,7088,1112,508,604,45156,23240,21916,36355,19950,16405,8801,3290,5511,5765,3727,2038,3083,2168,915,2682,1559,1123
25,"Chenango, Delaware & Broome (East) Counties PUMA",52751,26543,26208,39368,20455,18913,13383,6088,7295,10611,4154,6457,9276,3771,5505,1335,383,952,37378,19410,17968,27598,15103,12495,9780,4307,5473,4762,2979,1783,2494,1581,913,2268,1398,870
26,Erie County (Central) PUMA,77540,36829,40711,65567,32079,33488,11973,4750,7223,20046,7897,12149,18699,7421,11278,1347,476,871,54708,27286,27422,44860,23422,21438,9848,3864,5984,2786,1646,1140,2008,1236,772,778,410,368
27,St. Lawrence County PUMA,49714,25048,24666,38285,20055,18230,11429,4993,6436,12188,6273,5915,11377,6050,5327,811,223,588,33453,16515,16938,24876,12795,12081,8577,3720,4857,4073,2260,1813,2032,1210,822,2041,1050,991
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",34239,16225,18014,26465,12966,13499,7774,3259,4515,22543,11051,11492,19287,9389,9898,3256,1662,1594,9063,3790,5273,5950,2589,3361,3113,1201,1912,2633,1384,1249,1228,988,240,1405,396,1009
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,46496,23803,22693,43090,22230,20860,3406,1573,1833,21993,10375,11618,21624,10213,11411,369,162,207,23156,12731,10425,20850,11498,9352,2306,1233,1073,1347,697,650,616,519,97,731,178,553
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,64795,34340,30455,49764,27191,22573,15031,7149,7882,37231,19255,17976,35116,18729,16387,2115,526,1589,23514,12556,10958,13195,7494,5701,10319,5062,5257,4050,2529,1521,1453,968,485,2597,1561,1036
