,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.6556098747415785,0.6522349394465515,0.6584329945850472,0.6284879137868096,0.6450795995760615,0.6114318537109139,0.39019784549146286,0.4348197588185981,0.3363826819036879
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.36228246571614325,0.30303030303030304,0.4061858383785207,0.1613604077880839,0.09315361003603363,0.275592311130979,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.8874104853682256,0.9078169685414681,0.869765908341576,0.9086662117474148,0.8980787704130644,0.9214211318134475,0.8154024767801857,0.8230022404779687,0.8072289156626506
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.3323509252912954,0.3369328361822672,0.32825814265322895,0.21433834364868848,0.22568737270875763,0.198740377886634,0.10187040748162993,0.0,0.17660683265778807
4,Madison & Cortland Counties PUMA,0.8787738653630178,0.8616282300639067,0.8943191837762943,0.7108433734939759,0.6929738138449573,0.7287668383003069,0.7372937293729372,0.6706124549665465,0.8564857405703772
5,Ontario & Yates Counties PUMA,0.8298247996740459,0.8377267715746216,0.8233157199471598,0.7814023743905024,0.8081974158017369,0.7545618502015701,0.7867988190636862,0.8716666666666667,0.6406429391504018
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.8518777951398243,0.9535327816677276,0.7772795216741405,0.7884080104441215,0.7879897826401272,0.7888452237001209,0.5896265560165975,0.6088794926004228,0.562058526740666
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.956193838254172,0.9745874984945201,0.9414990859232175,0.9047837784631537,0.912722069870037,0.895067133683596,0.44261119081779055,0.5893805309734513,0.3425814234016888
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.8045219989136339,0.8290989427173742,0.7859611488499583,0.7025297645063725,0.7182708105147865,0.6860951291855769,0.49336099585062243,0.4741318214032601,0.5205205205205206
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.36854405554264785,0.41020758545341035,0.3360966596975738,0.2624957264957265,0.18266211604095564,0.3426027397260274,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.9709196102314251,0.9836307832215528,0.9606674612634089,0.8945414847161572,0.9267460483253256,0.8592880554920345,0.5725677830940988,0.44205412907702984,1.0
11,Erie County (Northwest) PUMA,0.8210641971433056,0.7665856200069469,0.865979381443299,0.7450409400801672,0.788235294117647,0.7073577522612098,0.7426836002208724,0.7145299145299145,0.7940717628705148
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.5277372725543651,0.5109599395313681,0.5447351627313337,0.4614129968237617,0.42780748663101603,0.48548696036540445,0.5865787896944278,0.7948717948717948,0.4853072128227961
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.3691151663855237,0.5099931082012406,0.256148107211937,0.240610634053257,0.32261610332508933,0.16687258051231366,0.0909321175278622,0.0,0.11614364283403429
14,Rockland County (North)--New City & Congers PUMA,0.9238972370334464,0.9233018742522929,0.9243959469992206,0.785515481850864,0.7622137871923595,0.8064764841942945,0.825247291568535,0.9295774647887324,0.7051671732522796
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.8208931291589834,0.7967076556921856,0.8373031893419459,0.7785955146389766,0.7788397986679546,0.7783240097191615,0.7356608478802993,0.7368421052631579,0.734641197728446
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.34626165178280427,0.3378438005589057,0.3529618356356825,0.34057045551298426,0.32241505744316795,0.36569688768606223,0.10620739146035163,0.09521331945889698,0.130635838150289
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.5625951293759512,0.6444382955174323,0.5197158596694694,0.3331782224290368,0.3053724053724054,0.3664088720268496,0.43041079092581236,0.40997830802603036,0.45698166431593795
18,Tompkins County PUMA,0.6636750974526335,0.5982382939267501,0.7262569832402235,0.6888888888888889,0.6611975021427697,0.7128765379719983,0.6303837118245889,0.6308316430020284,0.6288659793814433
19,Dutchess County (Southwest) PUMA,0.8036311514572384,0.8025184275184275,0.8044511505092418,0.6635566731686682,0.6845101459921036,0.6415812027541047,0.4503856041131105,0.7327380952380952,0.23574660633484162
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.4685025197984161,0.46091307066916826,0.4742676167854315,0.4770139438592218,0.4702530202872122,0.4847692508824683,0.4927391086629945,0.6593155893536121,0.17155425219941348
21,Westchester County (Northwest) PUMA,0.8651987680979858,0.8895304080061586,0.8444852218362934,0.6230036702708065,0.664017617770969,0.5789257048775468,0.5537547271745002,0.46102021174205965,0.6724137931034483
22,Albany County (Outside Albany City) PUMA,0.7875580516254456,0.8186298141303766,0.7559753906462677,0.6938427459667144,0.6452052461250213,0.735333648152857,0.473978167047474,0.5163444639718805,0.36380255941499084
23,Monroe County (South) PUMA,0.8558239841042914,0.8635301448823804,0.8490823187352353,0.7561257350882106,0.7231840930610036,0.7914671310404876,0.6686437327006722,0.7952488687782805,0.3745072273324573
24,Jefferson & Lewis Counties PUMA,0.7073654807409585,0.7175236806495264,0.6995579823192928,0.687853170189099,0.728681835844739,0.6444536233879481,0.49577762139338494,0.45288671023965144,0.5740556660039762
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.8494186596086587,0.7809315866084425,0.8931392287439988,0.6986330742428304,0.7201943956157585,0.6754229741763135,0.6797371767698177,0.7008517887563884,0.6449803701626472
26,Erie County (Central) PUMA,0.8402236868384262,0.8884386475876915,0.8088368642321325,0.7323798099104918,0.7525037880187738,0.7123055371230553,0.5978593272171254,0.7356475300400535,0.41323792486583183
27,St. Lawrence County PUMA,0.8305710534952412,0.74701099952176,0.9191885038038884,0.7693688841009068,0.7890041871472784,0.7502656748140276,0.6981753674607197,0.7149554617909049,0.6784335355763927
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.15840837510535422,0.15745181431544655,0.15932822833275323,0.10245092345220118,0.17158931082981715,0.05381875741986545,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.9660346473878052,0.9632771084337349,0.9684971595799621,0.8433545684614714,0.8074678180219077,0.8864662376332725,0.40930979133226325,0.7062600321027287,0.11235955056179775
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.15887298219225915,0.15544014541677487,0.16255006675567424,0.21759890859481582,0.19347878206665067,0.2451795668463858,0.03232533889468196,0.05331040412725709,0.0
31,Cayuga & Onondaga (South) Counties PUMA,0.8566152763936925,0.8369659982563208,0.8699027218237202,0.7474320413143408,0.7698442038552944,0.7214079843012203,0.6611570247933884,0.6550408719346049,0.6689944134078212
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.9528912422255841,0.9613653413353338,0.9460097471824551,0.9426594704241678,0.9252189252189252,0.9662519175046872,1.0,1.0,1.0
33,Fulton & Montgomery Counties PUMA,0.845920745920746,0.7861319966583125,0.8889557025456003,0.7282182861557137,0.7605826365883157,0.6924952115619014,0.6236895346698547,0.6541109761036857,0.5983827493261455
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.8395353004420022,0.824105250031176,0.8537200504413619,0.7505004766444232,0.7910840027769513,0.7129485179407177,0.5680393912264996,0.5446153846153846,0.5861795075456712
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.7477986594821922,0.7259430331023865,0.7640719935801903,0.6949033521824297,0.7362706640515551,0.64869728503247,0.45857307249712315,0.5136911281489595,0.3975757575757576
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.799862369537791,0.7965526985024018,0.8021235521235521,0.6843974310540234,0.7186015766537727,0.6481692770459496,0.36112934996717005,0.43728135932033985,0.30179127725856697
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.8955165033231948,0.8979862801504758,0.8929554841670491,0.763993381824993,0.7485601151907847,0.7807354376830459,0.5223815732290309,0.5641873278236914,0.3662551440329218
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.16803524934908873,0.14006024096385541,0.18660446517827392,0.014761520808782484,0.018214433558713952,0.011942316358720144,0.038717246773562766,0.0215625,0.06739811912225706
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.4784804039432556,0.535230352303523,0.4138817480719794,0.2963543708349667,0.3304535637149028,0.2680301399354144,0.2642526964560863,0.1426086956521739,0.36099585062240663
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.3907506981784836,0.4057605290636965,0.376950156012481,0.21835115557088652,0.24311451646303583,0.187435367114788,0.340251572327044,0.2002820874471086,0.452894438138479
41,Suffolk County (Central)--Islip Town (East) PUMA,0.864891764120428,0.8608950512907225,0.8680506058446187,0.8091044721807794,0.8374698001317813,0.7810736507017798,1.0,1.0,1.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.176386434402087,0.15004277159965781,0.2018880423981451,0.10103075916230367,0.12439166828888457,0.08409764357273881,0.31090100111234703,0.457807953443259,0.11342894393741851
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.6298663567693201,0.7119305310848225,0.5594775474956822,0.539172171758877,0.5589087171820984,0.5148160959298974,0.459748427672956,0.3234323432343234,0.6417033773861968
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.4886965927528394,0.4400209533787323,0.5679363274587834,0.4847989539065054,0.5817274994332351,0.3950902224087285,0.2226397369657116,0.20764667106130522,0.25980392156862747
45,Saratoga County (Outer) PUMA,0.909637704995066,0.9384519090340079,0.8860196665241556,0.7796449125855142,0.7931890549948729,0.7659365270115256,0.7457994579945799,0.7949070887818307,0.5637755102040817
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.6071085494716618,0.7178314826910516,0.5268639053254438,0.40025689712945384,0.42892062266821046,0.3782690220073029,0.3338622659473183,0.45742574257425744,0.21943765281173594
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.5964615843355531,0.5741819811743613,0.6142168244329345,0.5097022546940058,0.5140770050220667,0.5050341019811627,0.21604938271604937,0.3684210526315789,0.0984375
48,Wayne & Seneca Counties PUMA,0.8789093195033789,0.9068094068094068,0.8562891291974958,0.7219132618737947,0.737603305785124,0.7069343385640396,0.6693565512847738,0.7428800641797032,0.5866425992779783
49,Schenectady County--Schenectady City PUMA,0.8508726178535607,0.8499395613883612,0.8516825301656299,0.6953368683718029,0.7473143885272795,0.6451596424010217,0.21472248353715898,0.224070796460177,0.19621583742116327
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.4555984555984556,0.46778933092224234,0.445144407830975,0.4128095644748079,0.3937354032147273,0.44414353419092756,0.34279918864097364,0.39609483960948394,0.2926509186351706
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.8518400636562562,0.8490166158019667,0.8543369068146038,0.6626147357975688,0.7574836295603368,0.5554675118858954,0.41260744985673353,0.5737051792828686,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.8718173245318604,0.8994716981132076,0.8495316871426833,0.7294569731785895,0.728657699698051,0.7304977213832544,0.8891269416175683,0.8223175965665236,1.0
