,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,4776041,2592037,2184004,74498.69825405603,83905.00392085452,63335.03173986861,2245090,1111737,1133353,101781.9025005679,121262.76725250666,82672.58868860806,2352612,1358124,994488,51328.80913214759,57267.38697644692,43218.781563980665,178339,122176,56163,36685.938089817704,40076.25802940021,29310.695867386003
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,55379,27758,27621,173429.827172755,199519.74021903594,147210.5083088954,49032,23620,25412,185644.23027818569,216824.26541066892,156662.9446718086,5648,3960,1688,85321.4412181303,103519.64646464646,42628.9691943128,699,178,521,28565.092989985693,39000.0,25000.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,31793,18384,13409,105579.7620545403,118323.38441035683,88108.00775598479,17461,9354,8107,133569.65460168375,153432.49187513362,110651.5616134205,12998,8066,4932,69008.34251423297,80404.48425489709,50370.61354420114,1334,964,370,95552.62368815592,94924.27385892117,97189.72972972973
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,45673,23694,21979,114247.52851794277,129129.58850341859,98204.23586150416,36520,18385,18135,128209.2691675794,147033.726951319,109125.30686517783,7802,4778,3024,63746.53422199436,71730.95437421516,51130.939153439154,1351,531,820,28478.460399703923,25707.909604519773,30272.560975609755
4,Madison & Cortland Counties PUMA,37396,21672,15724,55695.236549363566,60805.81949058693,48651.44657847876,11865,5931,5934,71380.90459334177,79120.81824312932,63644.90394337715,24342,14918,9424,49336.25967463643,54988.051146266254,40389.58892190153,1189,823,366,29353.574432296045,34272.660996354796,18292.349726775956
5,Ontario & Yates Counties PUMA,44492,25907,18585,63055.4600377596,73720.3095688424,48188.940973903686,17770,9180,8590,94558.60945413618,123835.45751633987,63270.89522700815,23501,14207,9294,42957.047359686825,47298.422749348916,36320.731439638475,3221,2520,701,35896.76125426886,40116.614285714284,20726.961483594863
6,Monroe County (Central)--Greece & Gates Towns PUMA,43649,23734,19915,54706.67644161378,60260.238307912696,48088.13577705247,14629,6756,7873,74744.80135347597,93846.74748371818,58352.98780642703,27788,15988,11800,45149.79203253203,47550.77995996998,41896.65686440678,1232,990,242,32327.597402597403,36309.09090909091,16039.669421487602
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,24393,13571,10822,95522.65486000082,116432.4080760445,69301.41471077435,13990,7545,6445,115747.55110793424,146527.46322067594,79714.27928626843,9452,5461,3991,71446.49597968684,81818.51309284013,57254.166875469804,951,565,386,37290.85173501577,49103.71681415929,20000.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",49361,27230,22131,47024.3189157432,50826.01865589424,42346.70453210429,11822,5419,6403,67548.86990356962,76457.66931168112,60009.1566453225,35079,19792,15287,40667.36241055902,45101.03668148747,34927.10721528096,2460,2019,441,39038.31707317073,38151.88707280832,43096.598639455784
9,NYC-Manhattan Community District 8--Upper East Side PUMA,69577,34174,35403,166132.16682236947,199753.2905132557,133678.18605767871,58901,28479,30422,185289.68542130015,229046.85382211453,144327.21093287753,10676,5695,4981,60437.430685650055,53264.89903424056,68638.10680586228,0,0,0,#DIV/0!,0.0,0.0
