,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,0.10935969551223418,0.10007438191359415,0.11725531914893617,0.22425660274010542,0.18364827030605652,0.2620781775606509,0.36306290794684365,0.33443407144510456,0.39252648128444156
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.10140887140936924,0.07398740876929077,0.12355455568053993,0.2864881758516512,0.19046870084932369,0.47485344029620485,0.4871606749816581,0.655705996131528,0.38416075650118203
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.055286129970902036,0.15302013422818792,0.0,0.3376040999359385,0.35431472081218274,0.3090277777777778,0.0,0.0,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.10036800444382725,0.08450391837941741,0.11441288126718156,0.1681406721464988,0.20153994225216554,0.12884963768115942,0.37862468931234466,0.3359173126614987,0.41819632881085395
4,Madison & Cortland Counties PUMA,0.0499412455934195,0.09229098805646037,0.0,0.18440421722697434,0.11991076408254323,0.2586096256684492,0.4807121661721068,0.50625,0.0
5,Ontario & Yates Counties PUMA,0.02447459430699654,0.0,0.04299065420560748,0.21369294605809128,0.1615148983570036,0.2591603979616598,0.12166172106824925,0.04155844155844156,0.17092651757188498
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.23349056603773585,0.0,0.28205128205128205,0.212327947336924,0.15994236311239193,0.264376043903603,0.3690596562184024,0.0,0.8410138248847926
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.2625152625152625,0.0,0.3536184210526316,0.17505168849069608,0.0,0.3532684283727399,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.10244821092278719,0.029154518950437316,0.14883148831488316,0.19077645895153314,0.22697533970810266,0.15580943121050073,0.4748986591830371,0.37588267246061924,0.6083455344070278
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.09419090750740289,0.111928675009399,0.08209747702222711,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.21960958296362024,0.18706047819971872,0.23460790667530784,0.0,0.0,#DIV/0!
11,Erie County (Northwest) PUMA,0.0935074100211715,0.0,0.20030234315948603,0.15041418398488593,0.21454948301329393,0.10879463215911814,0.6201716738197425,0.47005988023952094,1.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.16622998544395926,0.1638981173864895,0.16881522406384286,0.14385793418051482,0.17384898710865562,0.1200701139351446,0.615916955017301,#DIV/0!,0.615916955017301
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.1304130162703379,0.3080168776371308,0.03225806451612903,0.2995586259834965,0.2331777811229866,0.3486095661846496,0.5241576605212969,0.451505016722408,0.5412087912087912
14,Rockland County (North)--New City & Congers PUMA,0.06717687074829932,0.0,0.1318864774624374,0.24041713641488163,0.13194444444444445,0.3615751789976134,1.0,1.0,1.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.1589873417721519,0.2098259979529171,0.1092184368737475,0.10726823560005201,0.07202762703502713,0.14654935386307397,0.18102508178844057,0.4119106699751861,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.05623691295243793,0.07774322523322967,0.03871901574090827,0.40487264673311185,0.3105340160936357,0.5496911847276811,0.4997992773986351,0.4997124784358827,0.5
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.08540372670807453,0.027615062761506277,0.10624811349230305,0.1659188145674632,0.15008337965536409,0.18633540372670807,0.6038751345532831,0.7352941176470589,0.41818181818181815
18,Tompkins County PUMA,0.0522911051212938,0.05100392337872144,0.05409782960803369,0.3499210110584518,0.38499587798845836,0.31766489764973466,0.24364406779661016,0.3159340659340659,0.0
19,Dutchess County (Southwest) PUMA,0.032288475135517324,0.047489082969432314,0.02073828287017835,0.26385652757184214,0.10686346863468635,0.4078234975636167,0.16495901639344263,0.23385300668151449,0.14437791084497673
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.21565124173664463,0.22065727699530516,0.21144360407760604,0.31650036505232415,0.3302462163993675,0.3004484304932735,0.31835686777920413,0.39215686274509803,0.2559241706161137
21,Westchester County (Northwest) PUMA,0.1918412348401323,0.16382505559673832,0.20842474769635805,0.425403777716945,0.22962041070317363,0.5791788856304986,0.18765133171912832,0.15,0.2669172932330827
22,Albany County (Outside Albany City) PUMA,0.13553259141494436,0.1975780752071383,0.09138321995464853,0.16343346525660157,0.17673514039139418,0.14820484274979126,0.2876984126984127,0.35101744186046513,0.1515625
23,Monroe County (South) PUMA,0.05949579831932773,0.0471841704718417,0.06923540036122817,0.23204979733642153,0.17200097727827998,0.31936056838365895,0.5465393794749404,0.6657458563535912,0.45588235294117646
24,Jefferson & Lewis Counties PUMA,0.016374269005847954,0.014481707317073171,0.017552182163187855,0.2347631737299063,0.17237589302069975,0.28992549400712664,0.046384222059897735,0.04719454640797063,0.044524669073405534
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.052821997105643996,0.06947890818858561,0.029513888888888888,0.23509296858303055,0.3324277599407261,0.16085891881710304,0.42433019551049966,0.18315508021390375,0.7093206951026856
26,Erie County (Central) PUMA,0.027126099706744868,0.0,0.03731719616742309,0.22987852525396035,0.18637212196639702,0.26644005752385935,0.17015209125475286,0.29545454545454547,0.09451219512195122
