,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,0.021137736824282174,0.02104141504866165,0.02123218884195923,0.08393567945281749,0.06972758407359937,0.10324395372762535,0.23737056614113,0.2008770973611612,0.31518532425038887
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.054449533656825845,0.06263537265206122,0.04838115293498289,0.36841238471673254,0.2621903520208605,0.5505140813589628,0.7124070897655803,0.7409024745269287,0.6939736346516008
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0386281269336162,0.04175405147759771,0.03592617007251154,0.06363255472923432,0.05175547689658471,0.07800023145469274,0.18087557603686635,0.014716703458425313,0.36224899598393573
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.05721760891821181,0.0742080138868798,0.04203997243280496,0.39079573209924157,0.3972617507546356,0.38124801018783827,0.6400988569663268,0.642664872139973,0.6379211878926327
4,Madison & Cortland Counties PUMA,0.05264199485454186,0.08113364823562101,0.02688104509483733,0.21410657496703467,0.1387146529562982,0.29037291309096586,0.3966760740043901,0.48252752513164193,0.23363636363636364
5,Ontario & Yates Counties PUMA,0.03911991396307582,0.02426412092283214,0.05130505709624796,0.1946748375508479,0.16325133013749143,0.22627814569536425,0.3774778574441164,0.259,0.5815154994259472
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.08012285144673743,0.04468491406747295,0.10612855007473841,0.12807845630854264,0.10932568149210904,0.1477050903448621,0.3488278092158448,0.28927848954821306,0.437941473259334
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.03893881044073599,0.027700831024930747,0.047916867122101414,0.07292550760592806,0.06972607612949129,0.07684485764090646,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.05065181966322651,0.013886697175319552,0.0784173519246812,0.23567023636903617,0.20902060091711724,0.2634640779471073,0.47690516237546904,0.42143312779077186,0.5631196298744217
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.04100097035629843,0.029280474481036368,0.05012884718237954,0.12646799266852216,0.12013651877133105,0.1327302187415609,1.0,#DIV/0!,1.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.007308160779537149,0.016369216778447198,0.0,0.11268732722246472,0.08752522090029917,0.14025459257565362,0.643806485911749,0.6571825121443442,0.6
11,Erie County (Northwest) PUMA,0.018992308899701774,0.011346532360773418,0.025295914471172205,0.18353036821245894,0.11651461820271532,0.24333333333333335,0.3829787234042553,0.35696413678065053,0.4287812041116006
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0718945968201685,0.1000251952632905,0.04344502484392916,0.18680203045685279,0.16340391530163803,0.203991781626064,0.4343767160900604,0.301056338028169,0.4948124501197127
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.10795890200889434,0.12267401791867677,0.09615915998894722,0.4004103265515473,0.2981288233177402,0.4929967426710098,0.6646066080342287,0.7075812274368231,0.649241690868022
14,Rockland County (North)--New City & Congers PUMA,0.02652282751221838,0.03718579942990412,0.017439293598233995,0.08219020172910663,0.02871395546903516,0.1303252655787975,0.12531017369727046,0.08486238532110092,0.17297297297297298
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.11913501436323012,0.1338953146441874,0.10900282599919257,0.16083972116129377,0.16047065983668915,0.16125028210336267,0.4145091693635383,0.32848837209302323,0.48893360160965793
