,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,382265.0,185171.0,197094.0,137975.0,71770.0,66205.0,244290.0,113401.0,130889.0,77606.0,30150.0,47456.0,40009.0,16286.0,23723.0,37597.0,13864.0,23733.0,245323.0,123850.0,121473.0,87449.0,49428.0,38021.0,157874.0,74422.0,83452.0,59336.0,31171.0,28165.0,10517.0,6056.0,4461.0,48819.0,25115.0,23704.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2728.0,1432.0,1296.0,1219.0,561.0,658.0,1509.0,871.0,638.0,657.0,108.0,549.0,540.0,108.0,432.0,117.0,0.0,117.0,1211.0,985.0,226.0,679.0,453.0,226.0,532.0,532.0,0.0,860.0,339.0,521.0,0.0,0.0,0.0,860.0,339.0,521.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1834.0,610.0,1224.0,1834.0,610.0,1224.0,0.0,0.0,0.0,829.0,518.0,311.0,829.0,518.0,311.0,0.0,0.0,0.0,762.0,92.0,670.0,762.0,92.0,670.0,0.0,0.0,0.0,243.0,0.0,243.0,243.0,0.0,243.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3797.0,2561.0,1236.0,1155.0,813.0,342.0,2642.0,1748.0,894.0,1260.0,717.0,543.0,697.0,522.0,175.0,563.0,195.0,368.0,1849.0,1330.0,519.0,458.0,291.0,167.0,1391.0,1039.0,352.0,688.0,514.0,174.0,0.0,0.0,0.0,688.0,514.0,174.0
4,Madison & Cortland Counties PUMA,593.0,271.0,322.0,401.0,79.0,322.0,192.0,192.0,0.0,292.0,0.0,292.0,292.0,0.0,292.0,0.0,0.0,0.0,222.0,192.0,30.0,30.0,0.0,30.0,192.0,192.0,0.0,79.0,79.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,1296.0,929.0,367.0,533.0,493.0,40.0,763.0,436.0,327.0,208.0,168.0,40.0,185.0,145.0,40.0,23.0,23.0,0.0,952.0,691.0,261.0,278.0,278.0,0.0,674.0,413.0,261.0,136.0,70.0,66.0,70.0,70.0,0.0,66.0,0.0,66.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2264.0,1821.0,443.0,1842.0,1662.0,180.0,422.0,159.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,1676.0,256.0,1697.0,1517.0,180.0,235.0,159.0,76.0,332.0,145.0,187.0,145.0,145.0,0.0,187.0,0.0,187.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,804.0,615.0,189.0,804.0,615.0,189.0,0.0,0.0,0.0,285.0,162.0,123.0,285.0,162.0,123.0,0.0,0.0,0.0,519.0,453.0,66.0,519.0,453.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",698.0,234.0,464.0,74.0,0.0,74.0,624.0,234.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,234.0,464.0,74.0,0.0,74.0,624.0,234.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1807.0,700.0,1107.0,157.0,157.0,0.0,1650.0,543.0,1107.0,698.0,280.0,418.0,157.0,157.0,0.0,541.0,123.0,418.0,1109.0,420.0,689.0,0.0,0.0,0.0,1109.0,420.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,2014.0,1134.0,880.0,916.0,423.0,493.0,1098.0,711.0,387.0,265.0,101.0,164.0,265.0,101.0,164.0,0.0,0.0,0.0,1038.0,322.0,716.0,651.0,322.0,329.0,387.0,0.0,387.0,711.0,711.0,0.0,0.0,0.0,0.0,711.0,711.0,0.0
11,Erie County (Northwest) PUMA,738.0,280.0,458.0,295.0,0.0,295.0,443.0,280.0,163.0,128.0,0.0,128.0,128.0,0.0,128.0,0.0,0.0,0.0,363.0,103.0,260.0,167.0,0.0,167.0,196.0,103.0,93.0,247.0,177.0,70.0,0.0,0.0,0.0,247.0,177.0,70.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2846.0,1422.0,1424.0,439.0,229.0,210.0,2407.0,1193.0,1214.0,1096.0,630.0,466.0,0.0,0.0,0.0,1096.0,630.0,466.0,1269.0,792.0,477.0,439.0,229.0,210.0,830.0,563.0,267.0,481.0,0.0,481.0,0.0,0.0,0.0,481.0,0.0,481.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5093.0,2324.0,2769.0,1331.0,766.0,565.0,3762.0,1558.0,2204.0,603.0,115.0,488.0,263.0,115.0,148.0,340.0,0.0,340.0,3898.0,1946.0,1952.0,995.0,651.0,344.0,2903.0,1295.0,1608.0,592.0,263.0,329.0,73.0,0.0,73.0,519.0,263.0,256.0
14,Rockland County (North)--New City & Congers PUMA,2556.0,1496.0,1060.0,1766.0,888.0,878.0,790.0,608.0,182.0,813.0,245.0,568.0,813.0,245.0,568.0,0.0,0.0,0.0,1743.0,1251.0,492.0,953.0,643.0,310.0,790.0,608.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",237.0,120.0,117.0,138.0,120.0,18.0,99.0,0.0,99.0,117.0,0.0,117.0,18.0,0.0,18.0,99.0,0.0,99.0,120.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,3326.0,1931.0,1395.0,547.0,385.0,162.0,2779.0,1546.0,1233.0,489.0,0.0,489.0,110.0,0.0,110.0,379.0,0.0,379.0,1469.0,868.0,601.0,437.0,385.0,52.0,1032.0,483.0,549.0,1368.0,1063.0,305.0,0.0,0.0,0.0,1368.0,1063.0,305.0
