,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,230048.0,105290.0,124758.0,176415.0,83448.0,92967.0,53633.0,21842.0,31791.0,36836.0,13458.0,23378.0,34495.0,12739.0,21756.0,2341.0,719.0,1622.0,148652.0,69015.0,79637.0,113158.0,55749.0,57409.0,35494.0,13266.0,22228.0,44560.0,22817.0,21743.0,28762.0,14960.0,13802.0,15798.0,7857.0,7941.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,1509.0,871.0,638.0,941.0,303.0,638.0,568.0,568.0,0.0,117.0,0.0,117.0,117.0,0.0,117.0,0.0,0.0,0.0,532.0,532.0,0.0,303.0,303.0,0.0,229.0,229.0,0.0,860.0,339.0,521.0,521.0,0.0,521.0,339.0,339.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2642.0,1748.0,894.0,2440.0,1546.0,894.0,202.0,202.0,0.0,563.0,195.0,368.0,563.0,195.0,368.0,0.0,0.0,0.0,1391.0,1039.0,352.0,1189.0,837.0,352.0,202.0,202.0,0.0,688.0,514.0,174.0,688.0,514.0,174.0,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,192.0,192.0,0.0,93.0,93.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,192.0,0.0,93.0,93.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,763.0,436.0,327.0,617.0,391.0,226.0,146.0,45.0,101.0,23.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,674.0,413.0,261.0,594.0,368.0,226.0,80.0,45.0,35.0,66.0,0.0,66.0,0.0,0.0,0.0,66.0,0.0,66.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,422.0,159.0,263.0,235.0,159.0,76.0,187.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,159.0,76.0,235.0,159.0,76.0,0.0,0.0,0.0,187.0,0.0,187.0,0.0,0.0,0.0,187.0,0.0,187.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",624.0,234.0,390.0,624.0,234.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,234.0,390.0,624.0,234.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1650.0,543.0,1107.0,1650.0,543.0,1107.0,0.0,0.0,0.0,541.0,123.0,418.0,541.0,123.0,418.0,0.0,0.0,0.0,1109.0,420.0,689.0,1109.0,420.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
