,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,288698,142757,145941,266299,130975,135324,22399,11782,10617,67958,26220,41738,65338,25213,40125,2620,1007,1613,192296,101256,91040,177691,93248,84443,14605,8008,6597,28444,15281,13163,23270,12514,10756,5174,2767,2407
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2195,899,1296,2195,899,1296,0,0,0,657,108,549,657,108,549,0,0,0,1017,791,226,1017,791,226,0,0,0,521,0,521,521,0,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1414,555,859,1414,555,859,0,0,0,713,518,195,713,518,195,0,0,0,458,37,421,458,37,421,0,0,0,243,0,243,243,0,243,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2762,1780,982,2688,1706,982,74,74,0,1260,717,543,1260,717,543,0,0,0,1328,1063,265,1254,989,265,74,74,0,174,0,174,174,0,174,0,0,0
4,Madison & Cortland Counties PUMA,514,192,322,415,93,322,99,99,0,292,0,292,292,0,292,0,0,0,222,192,30,123,93,30,99,99,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,798,532,266,534,494,40,264,38,226,185,145,40,185,145,40,0,0,0,613,387,226,349,349,0,264,38,226,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2077,1821,256,2077,1821,256,0,0,0,0,0,0,0,0,0,0,0,0,1932,1676,256,1932,1676,256,0,0,0,145,145,0,145,145,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,738,615,123,738,615,123,0,0,0,285,162,123,285,162,123,0,0,0,453,453,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",698,234,464,624,234,390,74,0,74,0,0,0,0,0,0,0,0,0,698,234,464,624,234,390,74,0,74,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1807,700,1107,1807,700,1107,0,0,0,698,280,418,698,280,418,0,0,0,1109,420,689,1109,420,689,0,0,0,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,587,423,164,522,423,99,65,0,65,265,101,164,200,101,99,65,0,65,322,322,0,322,322,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Erie County (Northwest) PUMA,738,280,458,738,280,458,0,0,0,128,0,128,128,0,128,0,0,0,363,103,260,363,103,260,0,0,0,247,177,70,247,177,70,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2782,1422,1360,2357,1353,1004,425,69,356,1096,630,466,1096,630,466,0,0,0,1205,792,413,1136,723,413,69,69,0,481,0,481,125,0,125,356,0,356
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3349,1660,1689,2876,1409,1467,473,251,222,439,115,324,399,115,284,40,0,40,2780,1545,1235,2404,1294,1110,376,251,125,130,0,130,73,0,73,57,0,57
14,Rockland County (North)--New City & Congers PUMA,1937,1233,704,1828,1233,595,109,0,109,712,245,467,603,245,358,109,0,109,1225,988,237,1225,988,237,0,0,0,0,0,0,0,0,0,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",237,120,117,237,120,117,0,0,0,117,0,117,117,0,117,0,0,0,120,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,1993,756,1237,1844,756,1088,149,0,149,489,0,489,489,0,489,0,0,0,1050,537,513,901,537,364,149,0,149,454,219,235,454,219,235,0,0,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2024,609,1415,2024,609,1415,0,0,0,646,0,646,646,0,646,0,0,0,1378,609,769,1378,609,769,0,0,0,0,0,0,0,0,0,0,0,0
18,Tompkins County PUMA,947,457,490,947,457,490,0,0,0,587,329,258,587,329,258,0,0,0,360,128,232,360,128,232,0,0,0,0,0,0,0,0,0,0,0,0
