,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,236025,118790,117235,211781,109601,102180,24244,9189,15055,58753,22908,35845,57689,22493,35196,1064,415,649,156573,83929,72644,139876,78357,61519,16697,5572,11125,20699,11953,8746,14216,8751,5465,6483,3202,3281
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2728,1432,1296,1674,899,775,1054,533,521,657,108,549,657,108,549,0,0,0,1211,985,226,1017,791,226,194,194,0,860,339,521,0,0,0,860,339,521
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1834,610,1224,1710,555,1155,124,55,69,829,518,311,760,518,242,69,0,69,762,92,670,707,37,670,55,55,0,243,0,243,243,0,243,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3996,2760,1236,2927,1887,1040,1069,873,196,1260,717,543,1260,717,543,0,0,0,2048,1529,519,1232,909,323,816,620,196,688,514,174,435,261,174,253,253,0
4,Madison & Cortland Counties PUMA,593,271,322,494,172,322,99,99,0,292,0,292,292,0,292,0,0,0,222,192,30,123,93,30,99,99,0,79,79,0,79,79,0,0,0,0
5,Ontario & Yates Counties PUMA,1296,929,367,776,510,266,520,419,101,208,168,40,208,168,40,0,0,0,952,691,261,568,342,226,384,349,35,136,70,66,0,0,0,136,70,66
6,Monroe County (Central)--Greece & Gates Towns PUMA,2264,1821,443,2077,1821,256,187,0,187,0,0,0,0,0,0,0,0,0,1932,1676,256,1932,1676,256,0,0,0,332,145,187,145,145,0,187,0,187
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,804,615,189,804,615,189,0,0,0,285,162,123,285,162,123,0,0,0,519,453,66,519,453,66,0,0,0,0,0,0,0,0,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",698,234,464,538,234,304,160,0,160,0,0,0,0,0,0,0,0,0,698,234,464,538,234,304,160,0,160,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1849,700,1149,1246,700,546,603,0,603,698,280,418,698,280,418,0,0,0,1109,420,689,548,420,128,561,0,561,42,0,42,0,0,0,42,0,42
10,Suffolk County (Southwest)--Islip Town (South) PUMA,2014,1134,880,916,423,493,1098,711,387,265,101,164,265,101,164,0,0,0,1038,322,716,651,322,329,387,0,387,711,711,0,0,0,0,711,711,0
11,Erie County (Northwest) PUMA,738,280,458,388,0,388,350,280,70,128,0,128,128,0,128,0,0,0,363,103,260,260,0,260,103,103,0,247,177,70,0,0,0,247,177,70
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2971,1422,1549,2280,1422,858,691,0,691,1096,630,466,1096,630,466,0,0,0,1269,792,477,1059,792,267,210,0,210,606,0,606,125,0,125,481,0,481
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5093,2324,2769,2340,1174,1166,2753,1150,1603,603,115,488,444,115,329,159,0,159,3898,1946,1952,1779,1059,720,2119,887,1232,592,263,329,117,0,117,475,263,212
14,Rockland County (North)--New City & Congers PUMA,2556,1496,1060,2475,1496,979,81,0,81,813,245,568,813,245,568,0,0,0,1743,1251,492,1662,1251,411,81,0,81,0,0,0,0,0,0,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",237,120,117,219,120,99,18,0,18,117,0,117,99,0,99,18,0,18,120,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,3326,1931,1395,1876,997,879,1450,934,516,489,0,489,489,0,489,0,0,0,1469,868,601,1187,868,319,282,0,282,1368,1063,305,200,129,71,1168,934,234
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2188,715,1473,1956,715,1241,232,0,232,646,0,646,646,0,646,0,0,0,1542,715,827,1310,715,595,232,0,232,0,0,0,0,0,0,0,0,0
18,Tompkins County PUMA,947,457,490,858,457,401,89,0,89,587,329,258,498,329,169,89,0,89,360,128,232,360,128,232,0,0,0,0,0,0,0,0,0,0,0,0
19,Dutchess County (Southwest) PUMA,5778,2287,3491,5555,2190,3365,223,97,126,1194,176,1018,1194,176,1018,0,0,0,3104,1532,1572,2959,1435,1524,145,97,48,1480,579,901,1402,579,823,78,0,78
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,6860,3677,3183,4573,2701,1872,2287,976,1311,1195,382,813,858,228,630,337,154,183,5309,3097,2212,3359,2275,1084,1950,822,1128,356,198,158,356,198,158,0,0,0
21,Westchester County (Northwest) PUMA,3260,1168,2092,2576,1075,1501,684,93,591,913,133,780,913,133,780,0,0,0,1926,809,1117,1437,716,721,489,93,396,421,226,195,226,226,0,195,0,195
