,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8569307795307679,0.8717890170110744,0.8477292545544531,0.8396080839362469,0.8572615874238569,0.8199544131254091,0.7466099908662966,0.8208308722189407,0.661123289742233
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,1.0,1.0,1.0,0.4473942969518191,0.2895069532237674,1.0,1.0,#DIV/0!,1.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1.0,1.0,1.0,0.4191033138401559,0.40217391304347827,0.42280285035629456,1.0,#DIV/0!,1.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.9452380952380952,1.0,0.8729281767955801,0.9370015948963317,0.9201213346814965,1.0,1.0,1.0,1.0
4,Madison & Cortland Counties PUMA,0.0958904109589041,#DIV/0!,0.0958904109589041,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,1.0,1.0,1.0,0.9380097879282219,0.9018087855297158,1.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,1.0,1.0,1.0,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.5684210526315789,1.0,0.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.8547945205479452,0.6882352941176471,1.0,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1.0,1.0,1.0,0.2290351668169522,0.3,0.18577648766328012,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11,Erie County (Northwest) PUMA,0.5390625,#DIV/0!,0.5390625,0.7162534435261708,0.0,1.0,0.7165991902834008,1.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1.0,1.0,1.0,0.8257261410788381,1.0,0.4915254237288136,1.0,#DIV/0!,1.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.765375854214123,1.0,0.6820987654320988,0.9070729872084274,0.8805340829234013,0.9376518218623482,1.0,#DIV/0!,1.0
14,Rockland County (North)--New City & Congers PUMA,0.8469101123595506,1.0,0.7665952890792291,0.9004081632653061,1.0,0.48523206751054854,1.0,1.0,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.8461538461538461,#DIV/0!,0.8461538461538461,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,1.0,#DIV/0!,1.0,0.6875631951466128,0.6852886405959032,0.6902654867256637,0.6387665198237885,1.0,0.3021276595744681
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.8436532507739938,#DIV/0!,0.8436532507739938,0.9004178272980501,1.0,0.8270858524788391,#DIV/0!,#DIV/0!,#DIV/0!
18,Tompkins County PUMA,0.848381601362862,1.0,0.6550387596899225,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.7231040564373897,0.7155172413793104,0.7239685658153242,0.8726038338658147,0.9371900826446281,0.8122102009273571,0.80623973727422,0.6927083333333334,1.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.6844569288389513,0.5968586387434555,0.7332361516034985,0.8304812834224599,0.8423013245033113,0.8089123867069486,1.0,1.0,1.0
21,Westchester County (Northwest) PUMA,1.0,1.0,1.0,0.7266775777414075,1.0,0.5514771709937332,1.0,1.0,#DIV/0!
22,Albany County (Outside Albany City) PUMA,1.0,#DIV/0!,1.0,0.4479166666666667,0.4222222222222222,0.5,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (South) PUMA,1.0,1.0,1.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",1.0,#DIV/0!,1.0,0.22167487684729065,0.14594594594594595,1.0,1.0,1.0,#DIV/0!
26,Erie County (Central) PUMA,0.6577540106951871,0.518796992481203,1.0,0.7667785234899329,0.5472312703583062,1.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,#DIV/0!,0.5616,1.0,0.40948275862068967,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.8358098068350669,1.0,0.7488636363636364,0.7935554341889678,1.0,0.7114503816793893,1.0,1.0,#DIV/0!
