,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.5155400355642605,0.5401658374792703,0.4998946392447741,0.3564647424008348,0.39909568025837705,0.3129995966181785,0.17724484292840773,0.19428314779763242,0.15838807030001775
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.821917808219178,1.0,0.7868852459016393,0.5606936416184971,0.45989847715736043,1.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,1.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.5531746031746032,0.7280334728033473,0.32228360957642727,0.24770146024878312,0.21879699248120302,0.3217726396917148,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,1.0,#DIV/0!,1.0,0.13513513513513514,0.0,1.0,1.0,1.0,#DIV/0!
5,Ontario & Yates Counties PUMA,0.8894230769230769,0.8630952380952381,1.0,0.2920168067226891,0.402315484804631,0.0,0.5147058823529411,1.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.8783643892339544,0.9051312649164678,0.703125,0.4367469879518072,1.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.10601719197707736,0.0,0.15948275862068967,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.22492836676217765,0.5607142857142857,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1.0,1.0,1.0,0.6271676300578035,1.0,0.4594972067039106,0.0,0.0,#DIV/0!
11,Erie County (Northwest) PUMA,1.0,#DIV/0!,1.0,0.46005509641873277,0.0,0.6423076923076924,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,0.3459416863672183,0.28914141414141414,0.44025157232704404,0.0,#DIV/0!,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.4361525704809287,1.0,0.30327868852459017,0.2552591072344792,0.3345323741007194,0.1762295081967213,0.12331081081081081,0.0,0.22188449848024316
14,Rockland County (North)--New City & Congers PUMA,1.0,1.0,1.0,0.546758462421113,0.5139888089528377,0.6300813008130082,#DIV/0!,#DIV/0!,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.15384615384615385,#DIV/0!,0.15384615384615385,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.2249488752556237,#DIV/0!,0.2249488752556237,0.29748127978216476,0.4435483870967742,0.08652246256239601,0.0,0.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.10371517027863777,#DIV/0!,0.10371517027863777,0.04734111543450065,0.0,0.08827085852478839,#DIV/0!,#DIV/0!,#DIV/0!
18,Tompkins County PUMA,0.4395229982964225,0.0,1.0,0.6444444444444445,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.5703517587939698,0.3409090909090909,0.6100196463654224,0.5918170103092784,0.5633159268929504,0.6195928753180662,0.5432432432432432,1.0,0.24972253052164262
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.501255230125523,0.5968586387434555,0.45633456334563344,0.4530043322659635,0.4578624475298676,0.4462025316455696,0.5028089887640449,0.6464646464646465,0.3227848101265823
21,Westchester County (Northwest) PUMA,0.8444687842278203,1.0,0.8179487179487179,0.5192107995846313,0.34487021013597036,0.6454789615040286,0.0,0.0,0.0
22,Albany County (Outside Albany City) PUMA,1.0,#DIV/0!,1.0,0.20506329113924052,0.2852112676056338,0.0,0.0,0.0,#DIV/0!
23,Monroe County (South) PUMA,0.5560165975103735,1.0,0.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,1.0,1.0,#DIV/0!,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",1.0,#DIV/0!,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!
26,Erie County (Central) PUMA,1.0,1.0,1.0,0.4446308724832215,0.4527687296416938,0.4359861591695502,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.46775203506574825,0.19742489270386265,0.579133510167993,0.16697303921568626,0.0,0.24638336347197107,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,1.0
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.15638963360142985,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.6084656084656085,0.4896551724137931,1.0,0.0,#DIV/0!,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.8232848232848233,1.0,0.8018648018648019,0.6350574712643678,0.7333333333333333,0.5251141552511416,0.5855379188712522,0.2610062893081761,1.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1.0,#DIV/0!,1.0,0.4819277108433735,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
