,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,5271441.0,2608177.0,2663264.0,3759029.0,1854728.0,1904301.0,1512412.0,753449.0,758963.0,2339969.0,1086583.0,1253386.0,1638997.0,748857.0,890140.0,700972.0,337726.0,363246.0,2691047.0,1381124.0,1309923.0,1984309.0,1022627.0,961682.0,706738.0,358497.0,348241.0,240425.0,140470.0,99955.0,135723.0,83244.0,52479.0,104702.0,57226.0,47476.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,65346.0,29593.0,35753.0,24091.0,8421.0,15670.0,41255.0,21172.0,20083.0,58681.0,25744.0,32937.0,22251.0,7730.0,14521.0,36430.0,18014.0,18416.0,6487.0,3671.0,2816.0,1840.0,691.0,1149.0,4647.0,2980.0,1667.0,178.0,178.0,0.0,0.0,0.0,0.0,178.0,178.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,35189.0,17381.0,17808.0,31883.0,16040.0,15843.0,3306.0,1341.0,1965.0,19182.0,9071.0,10111.0,17157.0,8197.0,8960.0,2025.0,874.0,1151.0,14180.0,7327.0,6853.0,13139.0,6860.0,6279.0,1041.0,467.0,574.0,1827.0,983.0,844.0,1587.0,983.0,604.0,240.0,0.0,240.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,36537.0,18465.0,18072.0,11498.0,5682.0,5816.0,25039.0,12783.0,12256.0,32506.0,15592.0,16914.0,10417.0,5080.0,5337.0,22089.0,10512.0,11577.0,3762.0,2736.0,1026.0,1021.0,602.0,419.0,2741.0,2134.0,607.0,269.0,137.0,132.0,60.0,0.0,60.0,209.0,137.0,72.0
4,Madison & Cortland Counties PUMA,55268.0,27501.0,27767.0,41941.0,20206.0,21735.0,13327.0,7295.0,6032.0,14899.0,7112.0,7787.0,13064.0,6116.0,6948.0,1835.0,996.0,839.0,37437.0,18544.0,18893.0,26741.0,12885.0,13856.0,10696.0,5659.0,5037.0,2932.0,1845.0,1087.0,2136.0,1205.0,931.0,796.0,640.0,156.0
5,Ontario & Yates Counties PUMA,61803.0,30365.0,31438.0,50792.0,25641.0,25151.0,11011.0,4724.0,6287.0,21771.0,9732.0,12039.0,18035.0,8136.0,9899.0,3736.0,1596.0,2140.0,35483.0,17760.0,17723.0,29096.0,14960.0,14136.0,6387.0,2800.0,3587.0,4549.0,2873.0,1676.0,3661.0,2545.0,1116.0,888.0,328.0,560.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,53269.0,26011.0,27258.0,44353.0,21863.0,22490.0,8916.0,4148.0,4768.0,16872.0,7529.0,9343.0,15199.0,7282.0,7917.0,1673.0,247.0,1426.0,34319.0,17208.0,17111.0,27878.0,13862.0,14016.0,6441.0,3346.0,3095.0,2078.0,1274.0,804.0,1276.0,719.0,557.0,802.0,555.0,247.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,31354.0,14761.0,16593.0,29493.0,14115.0,15378.0,1861.0,646.0,1215.0,17168.0,7370.0,9798.0,16479.0,7289.0,9190.0,689.0,81.0,608.0,13474.0,7122.0,6352.0,12461.0,6557.0,5904.0,1013.0,565.0,448.0,712.0,269.0,443.0,553.0,269.0,284.0,159.0,0.0,159.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",77051.0,38429.0,38622.0,55823.0,28330.0,27493.0,21228.0,10099.0,11129.0,15047.0,6426.0,8621.0,12210.0,5333.0,6877.0,2837.0,1093.0,1744.0,55630.0,28294.0,27336.0,40046.0,20990.0,19056.0,15584.0,7304.0,8280.0,6374.0,3709.0,2665.0,3567.0,2007.0,1560.0,2807.0,1702.0,1105.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,75005.0,33772.0,41233.0,29967.0,14055.0,15912.0,45038.0,19717.0,25321.0,64719.0,27917.0,36802.0,26244.0,12717.0,13527.0,38475.0,15200.0,23275.0,10286.0,5855.0,4431.0,3723.0,1338.0,2385.0,6563.0,4517.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,40754.0,20245.0,20509.0,38088.0,19049.0,19039.0,2666.0,1196.0,1470.0,16762.0,7511.0,9251.0,16495.0,7367.0,9128.0,267.0,144.0,123.0,23259.0,12441.0,10818.0,20860.0,11389.0,9471.0,2399.0,1052.0,1347.0,733.0,293.0,440.0,733.0,293.0,440.0,0.0,0.0,0.0
