,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,4294811,2230542,2064269,4122786,2130051,1992735,172025,100491,71534,2071435,1002001,1069434,2016314,972195,1044119,55121,29806,25315,2083038,1133078,949960,1985005,1075441,909564,98033,57637,40396,140338,95463,44875,121467,82415,39052,18871,13048,5823
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,58530,28699,29831,57174,27518,29656,1356,1181,175,54024,25094,28930,52668,23913,28755,1356,1181,175,4328,3427,901,4328,3427,901,0,0,0,178,178,0,178,178,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,30156,15817,14339,29172,15181,13991,984,636,348,16940,8637,8303,16466,8402,8064,474,235,239,12075,6379,5696,11647,6060,5587,428,319,109,1141,801,340,1059,719,340,82,82,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,33246,17120,16126,32016,16705,15311,1230,415,815,29825,14451,15374,28634,14075,14559,1191,376,815,3139,2519,620,3100,2480,620,39,39,0,282,150,132,282,150,132,0,0,0
4,Madison & Cortland Counties PUMA,43465,23119,20346,41067,21619,19448,2398,1500,898,13731,6673,7058,13386,6414,6972,345,259,86,28240,15350,12890,26668,14368,12300,1572,982,590,1494,1096,398,1013,837,176,481,259,222
5,Ontario & Yates Counties PUMA,50145,27101,23044,48494,26217,22277,1651,884,767,19471,8922,10549,19224,8877,10347,247,45,202,27496,15676,11820,26108,14837,11271,1388,839,549,3178,2503,675,3162,2503,659,16,0,16
6,Monroe County (Central)--Greece & Gates Towns PUMA,44318,22336,21982,43404,21890,21514,914,446,468,15627,7173,8454,15465,7087,8378,162,86,76,27428,14261,13167,26756,13981,12775,672,280,392,1263,902,361,1183,822,361,80,80,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,25513,12079,13434,24436,11463,12973,1077,616,461,14959,6796,8163,14628,6620,8008,331,176,155,10285,5014,5271,9539,4574,4965,746,440,306,269,269,0,269,269,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",56399,28499,27900,52982,26444,26538,3417,2055,1362,13603,6044,7559,13015,5884,7131,588,160,428,40332,20562,19770,37831,18952,18879,2501,1610,891,2464,1893,571,2136,1608,528,328,285,43
9,NYC-Manhattan Community District 8--Upper East Side PUMA,66154,31030,35124,64326,29912,34414,1828,1118,710,57396,25921,31475,55771,25006,30765,1625,915,710,8758,5109,3649,8555,4906,3649,203,203,0,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,33981,17826,16155,32630,17283,15347,1351,543,808,15182,7166,8016,14474,6921,7553,708,245,463,18219,10424,7795,17679,10126,7553,540,298,242,580,236,344,477,236,241,103,0,103
11,Erie County (Northwest) PUMA,41189,19945,21244,40264,19490,20774,925,455,470,17249,8150,9099,16800,8052,8748,449,98,351,22951,11181,11770,22475,10824,11651,476,357,119,989,614,375,989,614,375,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",11446,4885,6561,10187,3812,6375,1259,1073,186,7556,3056,4500,6682,2368,4314,874,688,186,3631,1572,2059,3246,1187,2059,385,385,0,259,257,2,259,257,2,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,642,517,125,642,517,125,0,0,0,262,262,0,262,262,0,0,0,0,291,166,125,291,166,125,0,0,0,89,89,0,89,89,0,0,0,0
14,Rockland County (North)--New City & Congers PUMA,24415,11991,12424,23083,11303,11780,1332,688,644,13199,6694,6505,12522,6278,6244,677,416,261,9817,4653,5164,9162,4381,4781,655,272,383,1399,644,755,1399,644,755,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",41288,21851,19437,39147,20621,18526,2141,1230,911,10974,4559,6415,10700,4348,6352,274,211,63,28111,15969,12142,26321,14981,11340,1790,988,802,2203,1323,880,2126,1292,834,77,31,46
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,13791,6797,6994,13540,6622,6918,251,175,76,11053,5006,6047,10802,4831,5971,251,175,76,2404,1614,790,2404,1614,790,0,0,0,334,177,157,334,177,157,0,0,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,13884,6891,6993,13470,6687,6783,414,204,210,5510,2161,3349,5423,2161,3262,87,0,87,7770,4385,3385,7528,4181,3347,242,204,38,604,345,259,519,345,174,85,0,85
18,Tompkins County PUMA,28583,13722,14861,27840,13250,14590,743,472,271,16158,7965,8193,15808,7675,8133,350,290,60,11829,5212,6617,11536,5130,6406,293,82,211,596,545,51,496,445,51,100,100,0
19,Dutchess County (Southwest) PUMA,43134,23309,19825,41379,22348,19031,1755,961,794,16827,8368,8459,16051,7992,8059,776,376,400,25138,14391,10747,24223,13806,10417,915,585,330,1169,550,619,1105,550,555,64,0,64
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,7203,4022,3181,6723,3785,2938,480,237,243,3499,1700,1799,3370,1660,1710,129,40,89,3521,2139,1382,3261,2033,1228,260,106,154,183,183,0,92,92,0,91,91,0
21,Westchester County (Northwest) PUMA,32704,18138,14566,31297,17263,14034,1407,875,532,20963,10854,10109,20518,10610,9908,445,244,201,10912,6854,4058,10016,6223,3793,896,631,265,829,430,399,763,430,333,66,0,66
22,Albany County (Outside Albany City) PUMA,72126,37379,34747,69807,35761,34046,2319,1618,701,30699,16147,14552,30237,15777,14460,462,370,92,39164,19321,19843,37771,18494,19277,1393,827,566,2263,1911,352,1799,1490,309,464,421,43
23,Monroe County (South) PUMA,60780,32217,28563,58966,31539,27427,1814,678,1136,37056,18718,18338,36251,18598,17653,805,120,685,22208,12427,9781,21422,11972,9450,786,455,331,1516,1072,444,1293,969,324,223,103,120
24,Jefferson & Lewis Counties PUMA,47180,25477,21703,45456,24747,20709,1724,730,994,10511,4595,5916,10471,4580,5891,40,15,25,33563,18551,15012,32308,18202,14106,1255,349,906,3106,2331,775,2677,1965,712,429,366,63
25,"Chenango, Delaware & Broome (East) Counties PUMA",36821,18444,18377,35381,17630,17751,1440,814,626,8180,3010,5170,8018,2966,5052,162,44,118,26861,14394,12467,25815,13832,11983,1046,562,484,1780,1040,740,1548,832,716,232,208,24
26,Erie County (Central) PUMA,56130,27583,28547,53759,26337,27422,2371,1246,1125,16287,7167,9120,15823,7092,8731,464,75,389,38725,19587,19138,37050,18565,18485,1675,1022,653,1118,829,289,886,680,206,232,149,83
27,St. Lawrence County PUMA,35427,18086,17341,33514,17218,16296,1913,868,1045,9776,5322,4454,9690,5236,4454,86,86,0,23630,11368,12262,22284,10885,11399,1346,483,863,2021,1396,625,1540,1097,443,481,299,182
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",16294,8181,8113,15551,7768,7783,743,413,330,14011,7041,6970,13401,6628,6773,610,413,197,2283,1140,1143,2150,1140,1010,133,0,133,0,0,0,0,0,0,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,35295,19229,16066,34066,18599,15467,1229,630,599,18123,9359,8764,17470,8964,8506,653,395,258,16668,9366,7302,16092,9131,6961,576,235,341,504,504,0,504,504,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,41876,23868,18008,39720,22234,17486,2156,1634,522,28515,15228,13287,27212,14447,12765,1303,781,522,11764,7543,4221,10911,6690,4221,853,853,0,1597,1097,500,1597,1097,500,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,43748,22515,21233,42460,21571,20889,1288,944,344,14203,6128,8075,13999,6004,7995,204,124,80,27422,15017,12405,26399,14258,12141,1023,759,264,2123,1370,753,2062,1309,753,61,61,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,38883,21016,17867,37425,20225,17200,1458,791,667,18558,8655,9903,18319,8568,9751,239,87,152,20218,12254,7964,18999,11550,7449,1219,704,515,107,107,0,107,107,0,0,0,0
33,Fulton & Montgomery Counties PUMA,36140,18681,17459,33933,17334,16599,2207,1347,860,7586,3053,4533,7409,2912,4497,177,141,36,24903,13600,11303,23284,12466,10818,1619,1134,485,3651,2028,1623,3240,1956,1284,411,72,339
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,61750,30357,31393,59166,28987,30179,2584,1370,1214,28785,14266,14519,27984,13910,14074,801,356,445,31985,15441,16544,30539,14537,16002,1446,904,542,980,650,330,643,540,103,337,110,227
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,26996,13598,13398,26261,13265,12996,735,333,402,11236,4687,6549,10905,4520,6385,331,167,164,14801,8237,6564,14494,8168,6326,307,69,238,959,674,285,862,577,285,97,97,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,34128,16879,17249,32459,15801,16658,1669,1078,591,7270,3024,4246,7194,2948,4246,76,76,0,25373,12653,12720,24419,12183,12236,954,470,484,1485,1202,283,846,670,176,639,532,107
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,33590,17946,15644,32134,17134,15000,1456,812,644,14484,7222,7262,13985,6998,6987,499,224,275,18401,10019,8382,17444,9431,8013,957,588,369,705,705,0,705,705,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2042,1128,914,1672,1024,648,370,104,266,1046,701,345,942,597,345,104,104,0,634,234,400,368,234,134,266,0,266,362,193,169,362,193,169,0,0,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2433,1312,1121,2357,1312,1045,76,0,76,878,449,429,802,449,353,76,0,76,980,288,692,980,288,692,0,0,0,575,575,0,575,575,0,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",44122,22458,21664,43033,21860,21173,1089,598,491,39870,19683,20187,39028,19243,19785,842,440,402,3816,2587,1229,3658,2429,1229,158,158,0,436,188,248,347,188,159,89,0,89
41,Suffolk County (Central)--Islip Town (East) PUMA,37229,17911,19318,34908,16496,18412,2321,1415,906,17090,7395,9695,16464,7152,9312,626,243,383,19683,10060,9623,18164,9064,9100,1519,996,523,456,456,0,280,280,0,176,176,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",7875,3904,3971,7641,3786,3855,234,118,116,6255,3074,3181,6021,2956,3065,234,118,116,1403,700,703,1403,700,703,0,0,0,217,130,87,217,130,87,0,0,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",16589,9025,7564,16036,8898,7138,553,127,426,8410,4223,4187,8320,4133,4187,90,90,0,7843,4575,3268,7380,4538,2842,463,37,426,336,227,109,336,227,109,0,0,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,6132,4298,1834,6052,4218,1834,80,80,0,4237,3166,1071,4237,3166,1071,0,0,0,1067,620,447,987,540,447,80,80,0,828,512,316,828,512,316,0,0,0
45,Saratoga County (Outer) PUMA,48062,25228,22834,46363,24680,21683,1699,548,1151,17396,8237,9159,16976,8099,8877,420,138,282,29756,16213,13543,28477,15803,12674,1279,410,869,910,778,132,910,778,132,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2471,1107,1364,2327,1107,1220,144,0,144,1100,469,631,1100,469,631,0,0,0,1227,638,589,1227,638,589,0,0,0,144,0,144,0,0,0,144,0,144
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",13662,7666,5996,12739,7267,5472,923,399,524,6925,3152,3773,6293,2928,3365,632,224,408,6402,4352,2050,6158,4224,1934,244,128,116,335,162,173,288,115,173,47,47,0
48,Wayne & Seneca Counties PUMA,46556,24765,21791,44385,22991,21394,2171,1774,397,11009,4962,6047,10777,4730,6047,232,232,0,32840,17896,14944,31095,16548,14547,1745,1348,397,2707,1907,800,2513,1713,800,194,194,0
49,Schenectady County--Schenectady City PUMA,45279,23673,21606,44039,23175,20864,1240,498,742,20056,9932,10124,19692,9902,9790,364,30,334,23962,13008,10954,23164,12618,10546,798,390,408,1261,733,528,1183,655,528,78,78,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,20252,10912,9340,19023,10051,8972,1229,861,368,13666,6515,7151,13341,6190,7151,325,325,0,6276,4345,1931,5425,3809,1616,851,536,315,310,52,258,257,52,205,53,0,53
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,23367,13029,10338,22577,12446,10131,790,583,207,18137,10055,8082,17530,9570,7960,607,485,122,5072,2830,2242,4889,2732,2157,183,98,85,158,144,14,158,144,14,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,20581,11801,8780,19005,10631,8374,1576,1170,406,9136,4876,4260,7938,3915,4023,1198,961,237,11207,6740,4467,10829,6531,4298,378,209,169,238,185,53,238,185,53,0,0,0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",51956,30209,21747,50592,29441,21151,1364,768,596,47197,27332,19865,46460,26985,19475,737,347,390,4566,2821,1745,3939,2400,1539,627,421,206,193,56,137,193,56,137,0,0,0
54,Columbia & Greene Counties PUMA,36467,19202,17265,35638,18670,16968,829,532,297,12332,5686,6646,12178,5686,6492,154,0,154,22445,12253,10192,22184,12135,10049,261,118,143,1690,1263,427,1276,849,427,414,414,0
