,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,3650183,2028953,1621230,3485367,1938407,1546960,164816,90546,74270,1822631,928665,893966,1789848,911361,878487,32783,17304,15479,1724980,1024421,700559,1612933,963655,649278,112047,60766,51281,102572,75867,26705,82586,63391,19195,19986,12476,7510
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,65457,29618,35839,61213,27701,33512,4244,1917,2327,58695,25758,32937,56349,24225,32124,2346,1533,813,6498,3682,2816,4686,3298,1388,1812,384,1428,264,178,86,178,178,0,86,0,86
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,35256,17444,17812,33397,17024,16373,1859,420,1439,19186,9071,10115,18462,8714,9748,724,357,367,14223,7370,6853,13401,7327,6074,822,43,779,1847,1003,844,1534,983,551,313,20,293
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,37538,19269,18269,33497,16751,16746,4041,2518,1523,32594,15680,16914,30570,14586,15984,2024,1094,930,4592,3369,1223,2784,2082,702,1808,1287,521,352,220,132,143,83,60,209,137,72
4,Madison & Cortland Counties PUMA,55611,27809,27802,45207,23428,21779,10404,4381,6023,14921,7112,7809,14123,6528,7595,798,584,214,37602,18709,18893,29258,15917,13341,8344,2792,5552,3088,1988,1100,1826,983,843,1262,1005,257
5,Ontario & Yates Counties PUMA,62050,30464,31586,52993,27081,25912,9057,3383,5674,21919,9732,12187,21098,9540,11558,821,192,629,35582,17859,17723,29000,15375,13625,6582,2484,4098,4549,2873,1676,2895,2166,729,1654,707,947
6,Monroe County (Central)--Greece & Gates Towns PUMA,53522,26165,27357,47853,23513,24340,5669,2652,3017,16872,7529,9343,16217,7296,8921,655,233,422,34508,17298,17210,30170,15308,14862,4338,1990,2348,2142,1338,804,1466,909,557,676,429,247
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,31417,14807,16610,29892,13989,15903,1525,818,707,17168,7370,9798,16440,7140,9300,728,230,498,13537,7168,6369,12740,6580,6160,797,588,209,712,269,443,712,269,443,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",77561,38899,38662,60548,31104,29444,17013,7795,9218,15047,6426,8621,14353,6338,8015,694,88,606,55641,28294,27347,43008,22569,20439,12633,5725,6908,6873,4179,2694,3187,2197,990,3686,1982,1704
9,NYC-Manhattan Community District 8--Upper East Side PUMA,75005,33772,41233,71327,32123,39204,3678,1649,2029,64719,27917,36802,62237,27148,35089,2482,769,1713,10286,5855,4431,9090,4975,4115,1196,880,316,0,0,0,0,0,0,0,0,0
