,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8660775021756397,0.917132764639523,0.8187034138666525,0.8146615763196075,0.8947708159471471,0.7201426611233022,0.7465806955842126,0.8215007090979415,0.5919973398359566
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.8260244693396226,0.8989613223942126,0.764909072437265,0.768372288902927,0.8721914210679895,0.49924357034795763,1.0,1.0,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.901972433460076,0.9767660173668153,0.8252707581227436,0.8012745262451786,0.9344602136820284,0.6535809018567639,0.6940509915014165,0.8456189151599444,0.3735294117647059
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.902001862197393,0.965220409580007,0.8438756622199528,0.8712903225806452,0.8391129032258065,1.0,0.5070921985815603,0.5533333333333333,0.45454545454545453
4,Madison & Cortland Counties PUMA,0.8571943483275664,0.9112878079201746,0.8106731027085009,0.8327120389107822,0.9170542635658915,0.7298021596910224,0.9883624272651704,0.983273596176822,1.0
5,Ontario & Yates Counties PUMA,0.8725804834018654,0.9715220949263502,0.7884383409111998,0.773802389932673,0.8651713869353101,0.6592245351978389,0.9141866512568622,0.9758320126782885,0.7481323372465315
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.8620001247738474,0.9069252077562326,0.825178794414803,0.8029906932970825,0.8677045423911578,0.7336654393184607,0.8606492478226445,0.9368070953436807,0.6703601108033241
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.8447909754479097,0.9729252501471454,0.7395455644186608,0.7999408983451537,0.8828108563012834,0.7269864789775884,1.0,1.0,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.8596940590537175,0.8927066450567261,0.833861762840837,0.804321500652974,0.8780442633577183,0.7267144319344934,0.6726893676164003,0.7190957190957191,0.5519399249061326
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.884140847022943,0.9425190194420964,0.8361845843065463,0.7806044792346162,0.8635581884196446,0.6711223203026482,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.8833792470156107,0.9436482537915681,0.8296314679240601,0.7727597777655537,0.8094468732180193,0.7223455661486222,0.4068965517241379,1.0,0.0
11,Erie County (Northwest) PUMA,0.8791845244990154,0.96100347739692,0.8076839591925331,0.8126148455194222,0.9124621144589053,0.7206763522941804,0.8675429726996967,1.0,0.6506666666666666
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.8518569844789357,0.9801980198019802,0.7691431175934367,0.7850413930916358,0.9698529411764706,0.6677554829678022,1.0,1.0,1.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1.0,1.0,#DIV/0!,1.0,1.0,1.0,1.0,1.0,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.8736122343945298,0.8994593014759609,0.8474400710269311,0.8296841892846333,0.8820098698968147,0.7869062901155327,0.8184417441029307,0.781055900621118,0.8503311258278146
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.891046286923714,0.9269178393100318,0.8665841201052469,0.8174741370480385,0.8994213960359473,0.7154028981062639,0.8080110497237569,0.8142414860681114,0.7988636363636363
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.8107347118345799,0.8251182965299685,0.7991419037025266,0.7929973066564063,0.8348623853211009,0.7076023391812866,0.562962962962963,0.2862903225806452,1.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.7985328323492574,0.7484276729559748,0.831697888789771,0.851302050572399,0.8781714285714286,0.8184107442641299,0.6589403973509934,0.6492753623188405,0.6718146718146718
18,Tompkins County PUMA,0.8354347567503271,0.8508206686930091,0.8207008964955175,0.8224491476570864,0.7672514619883041,0.8628261799515186,0.924219910846954,1.0,0.0
19,Dutchess County (Southwest) PUMA,0.849106628242075,0.9285540704738761,0.7774122807017544,0.8162038473471921,0.9117902181890972,0.6835232008891359,0.7442273534635879,1.0,0.5
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.7651026392961877,0.8270588235294117,0.7035087719298245,0.8787966444894417,0.8653576437587658,0.9006069802731411,1.0,1.0,#DIV/0!
21,Westchester County (Northwest) PUMA,0.8991209711176225,0.9297453494672205,0.8665963364342573,0.8038551951104842,0.8969500924214417,0.6579773111272025,0.8872870249017037,0.8,1.0
22,Albany County (Outside Albany City) PUMA,0.8710008993961198,0.9149567367119901,0.8234349919743178,0.8490100859170714,0.919511945042551,0.7824107704973606,0.8530323151837096,0.8569230769230769,0.8284789644012945
23,Monroe County (South) PUMA,0.8652358907115524,0.9324912429678378,0.7968370486317267,0.8069959197551854,0.9154572131017528,0.6817474127667369,0.7452229299363057,0.8534571723426213,0.509009009009009
24,Jefferson & Lewis Counties PUMA,0.8983035553149251,0.9317063166529943,0.8720592974540767,0.8115059319343013,0.9203694855868769,0.6817664178160192,0.802775984506133,0.8694736842105263,0.5836791147994468
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.7944279786603438,0.868199481865285,0.7518234524032168,0.7908849112213356,0.8693250707261215,0.7011405672009864,0.6646868250539957,0.7684117125110914,0.503448275862069
26,Erie County (Central) PUMA,0.8642512077294686,0.9309678310092503,0.8123859611462917,0.8378085023904898,0.9068518143117779,0.7659653008490218,0.7267964071856288,0.6890660592255126,0.7991266375545851
27,St. Lawrence County PUMA,0.9103271205781666,0.9640686449767608,0.8492482730597318,0.7587331349610729,0.8216078264568268,0.7008921583972453,0.7472335468841002,0.8436507936507937,0.4814004376367615
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.7466782982150046,0.7862821722139873,0.7073920598850421,0.9302325581395349,0.868421052631579,1.0,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.8583876830963327,0.9354872993941971,0.7803592556738733,0.7367684775005829,0.9251073635697078,0.500459981600736,1.0,1.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.8887179128488494,0.8960392840989856,0.8800792864222002,0.7368511368511369,0.8815152772017144,0.5002261420171868,0.6205385097056982,0.6408386508659982,0.576
31,Cayuga & Onondaga (South) Counties PUMA,0.8670271010128662,0.925392251040666,0.823452067893856,0.8322952792129662,0.9241703153753411,0.7164573165853269,0.7164040778498609,0.9201183431952663,0.3746898263027295
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.8269302103757088,0.9409132629646627,0.7290989660265879,0.7554552668121405,0.886391600360922,0.5552489652577449,0.0,0.0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,0.8906846525833545,0.9124525916561315,0.876011930123562,0.8150975733260624,0.8861753784632962,0.7297968977633045,0.8300813008130081,0.8821499013806706,0.766546329723225
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.848240998658826,0.9306330509058346,0.7661035572036808,0.827929794624901,0.9017056772908366,0.7571923122836337,0.703989703989704,0.7537037037037037,0.5907172995780591
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.8188976377952756,0.8798617113223854,0.7766292134831461,0.8216205321150228,0.8848766535573829,0.7398737101493916,0.6751740139211136,0.5147313691507799,1.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.8210743801652892,0.904777704047777,0.7616580310880829,0.8413814180929096,0.901981788966256,0.7809567406729229,0.5913770913770914,0.6207710464201416,0.45936395759717313
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.8380276933468422,0.9117766086604614,0.7640692640692641,0.8231263152214968,0.9471187110803598,0.6740731939163498,0.8723404255319149,0.8723404255319149,#DIV/0!
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.8885350318471338,1.0,0.6956521739130435,1.0,1.0,1.0,1.0,1.0,1.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1.0,1.0,1.0,0.753061224489796,0.7638888888888888,0.7485549132947977,0.8573913043478261,0.8573913043478261,#DIV/0!
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.881154246616094,0.9058359461919693,0.8574207352655125,0.8069085487077535,0.748046875,0.9098360655737705,1.0,1.0,1.0
41,Suffolk County (Central)--Islip Town (East) PUMA,0.8646483684768524,0.8788361897170187,0.8533488519733362,0.8852986217457887,0.9588540079244133,0.8110187750076947,0.6779661016949152,0.6779661016949152,#DIV/0!
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.8651719901719902,0.8659825870646766,0.8643810679611651,0.3856164383561644,0.3242857142857143,0.4421052631578947,0.6221198156682027,0.36923076923076925,1.0
