,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.05371999556279919,0.05152826405172374,0.05562417027790956,0.16075737743447763,0.13700608301261075,0.18591475771109486,0.42676615285010333,0.37413043329851653,0.5010892826158206
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.039969332992588806,0.0595154903331004,0.024683486656343928,0.2788550323176362,0.10429114611624117,0.5071022727272727,0.32575757575757575,0.0,1.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.03773584905660377,0.03935619005622313,0.036282748393475034,0.05779371440624341,0.0058344640434192675,0.11367284400992266,0.16946399566865186,0.019940179461615155,0.3471563981042654
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.06209731852488188,0.06977040816326531,0.054984036892515076,0.39372822299651566,0.38201246660730187,0.4260016353229763,0.59375,0.6227272727272727,0.5454545454545454
4,Madison & Cortland Counties PUMA,0.053481670129347895,0.08211473565804274,0.027404277116148033,0.22190309026115632,0.1492329894703084,0.29386545281321125,0.40867875647668395,0.505533199195171,0.23363636363636364
5,Ontario & Yates Counties PUMA,0.03745608832519732,0.01972872996300863,0.05161237384097809,0.18498117025462313,0.1390895346883924,0.2312249619138972,0.3635963948120466,0.24608423250957187,0.565035799522673
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0388217164532954,0.030947004914331253,0.04516750508402012,0.12570998029442448,0.1150422014105677,0.13643230679837304,0.31559290382819793,0.32062780269058294,0.3072139303482587
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.042404473438956196,0.031207598371777476,0.050826699326393145,0.05887567407845165,0.08203125,0.03281519861830743,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.04612215059480295,0.013694366635543105,0.07029346943510034,0.22704480508977193,0.2023397186682689,0.25260540461476577,0.5363014695184054,0.47427614261785117,0.6325167037861915
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.03835040714473339,0.027545939749973134,0.04654638334873105,0.11627454792922419,0.1502988898377455,0.0713157300835026,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.11649692750633836,0.10101983457801333,0.1343131817341468,0.6821282401091405,0.8054607508532423,0.6
11,Erie County (Northwest) PUMA,0.019508787015639274,0.011641720123544785,0.02600844047502208,0.169048047507648,0.11058770749214894,0.2233016445770592,0.3010452961672474,0.26555023923444976,0.35058430717863104
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0802654109589041,0.1299715909090909,0.0392578125,0.10339256865912763,0.12938816449348045,0.08586883029073698,0.04680851063829787,0.06547619047619048,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,#DIV/0!,0.43186180422264875,0.0,0.6338028169014085,0.02197802197802198,0.02197802197802198,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.030396174863387977,0.04100585797971139,0.02067792173799241,0.07448713774014978,0.026748971193415638,0.11127125972902854,0.09946396664681358,0.03354978354978355,0.18013245033112582
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.12206001622060016,0.1412720427977016,0.10874639571605108,0.16398161988595472,0.16626379400945876,0.16144127281235376,0.38756803208249785,0.3125,0.45346960731576114
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.035981504833963854,0.06548175865294668,0.011908396946564885,0.30582911897790793,0.21516114389468907,0.4343629343629344,0.3572778827977316,0.29343629343629346,0.4185185185185185
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.10010983838066845,0.16920543433511734,0.05755578093306288,0.14663805436337626,0.12686433063791555,0.16622174764192918,0.2454632282712512,0.3709677419354839,0.1566068515497553
18,Tompkins County PUMA,0.08862806468440271,0.03924646781789639,0.13158408115489661,0.24261275272161742,0.22744470314318976,0.2547897196261682,0.2436893203883495,0.28194993412384717,0.13653136531365315
19,Dutchess County (Southwest) PUMA,0.03195199507641809,0.028460255697609783,0.03494239741026373,0.11916537867078825,0.10820611803240335,0.1314495509080181,0.22727272727272727,0.2707774798927614,0.1765625
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.09151193633952255,0.09622960045019696,0.08730556949322629,0.08102108768035517,0.04365079365079365,0.12846347607052896,0.5102880658436214,0.5855855855855856,0.44696969696969696
