,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,0.10491378096586067,0.09833630696507754,0.11100863467117436,0.20764216028933533,0.1838606254187938,0.23197513366271186,0.35158531281711436,0.3291129729120487,0.37918781725888323
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.08121768430837158,0.06711943220753794,0.09396084503926556,0.18788598574821852,0.05072748721981911,0.397120575884823,0.0,0.0,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.06896551724137931,0.17484662576687116,0.0,0.1136890951276102,0.0,0.208067940552017,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.10634499175975096,0.08013533107781537,0.12992434124706495,0.23080116230801162,0.281354051054384,0.08072487644151564,0.6650717703349283,0.48905109489051096,1.0
4,Madison & Cortland Counties PUMA,0.0499412455934195,0.09229098805646037,0.0,0.19939671312669024,0.14442055892124292,0.26195241271959085,0.4807121661721068,0.50625,0.0
5,Ontario & Yates Counties PUMA,0.02462526766595289,0.0,0.04299065420560748,0.24837606837606838,0.19321054532322138,0.29795520934761444,0.06418918918918919,0.04878048780487805,0.07321428571428572
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.1771986970684039,0.0,0.2111801242236025,0.21592007734450533,0.18836387013821923,0.24361873990306945,0.22194513715710723,0.0,0.7206477732793523
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.31204644412191584,0.0,0.3536184210526316,0.25074037512339586,0.0,0.5669642857142857,0.0,#DIV/0!,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.10409491006505932,0.028873917228103944,0.15374841168996187,0.1963140484709377,0.2315909414613303,0.1645277207392197,0.647809442790302,0.5254365983295368,0.8036750483558994
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.08966861598440545,0.10493421052631578,0.07969924812030076,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.28205128205128205,0.18706047819971872,0.34674329501915707,#DIV/0!,#DIV/0!,#DIV/0!
11,Erie County (Northwest) PUMA,0.0935074100211715,0.0,0.20030234315948603,0.19316909294512877,0.2632532850022655,0.1440812440495081,1.0,#DIV/0!,1.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.2724023487362778,0.2628696604600219,0.28072692491630796,0.19180018850141375,0.18550474547023296,0.19937694704049844,#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,#DIV/0!,0.47368421052631576,0.0,0.7281553398058253,#DIV/0!,#DIV/0!,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.07845084409136048,0.0,0.18372093023255814,0.1889763779527559,0.08449197860962566,0.3254189944134078,1.0,#DIV/0!,1.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.15655471289274106,0.2,0.10896708286038592,0.11065515777557662,0.0773919957593427,0.1487553126897389,0.24198250728862974,0.4119106699751861,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.07300025886616619,0.10709914320685435,0.04800358905338717,0.4286447638603696,0.2607361963190184,0.7686335403726708,0.2927927927927928,1.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.10267314702308628,0.029281277728482696,0.14087759815242495,0.13180941071693633,0.13347627981774324,0.12974051896207583,0.4045307443365696,0.38197424892703863,0.41818181818181815
18,Tompkins County PUMA,0.06391039367484763,0.06439393939393939,0.06328154604016673,0.4081739586062353,0.6531468531468532,0.26141600335148724,0.6117021276595744,0.8394160583941606,0.0
19,Dutchess County (Southwest) PUMA,0.04381196034537896,0.0613540197461213,0.029256875365710942,0.21608489962920344,0.15588853838065195,0.27308937017674884,0.3948497854077253,0.0,0.6715328467153284
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.08808724832214765,0.14446529080675422,0.042488619119878605,0.10366168127900979,0.0,0.1930835734870317,0.0,#DIV/0!,0.0
21,Westchester County (Northwest) PUMA,0.18207185211021973,0.04,0.28073286052009455,0.2617550164719976,0.15366705471478465,0.3763109191856878,0.6431535269709544,0.49411764705882355,1.0
22,Albany County (Outside Albany City) PUMA,0.10489406147418681,0.14874915483434753,0.0702457264957265,0.13377638780297108,0.16602261342493202,0.09495088747199724,0.12578055307760927,0.09147609147609148,0.1515625
23,Monroe County (South) PUMA,0.06049213943950786,0.04350877192982456,0.07661558960692871,0.2615861618798956,0.20376266280752534,0.3363262252151141,0.5465393794749404,0.6657458563535912,0.45588235294117646
24,Jefferson & Lewis Counties PUMA,0.011508553654743391,0.0,0.019250780437044746,0.2284391279181941,0.1279044516829533,0.30880055545912166,0.06512820512820512,0.061855670103092786,0.07474747474747474
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.07199211045364892,0.1278538812785388,0.029513888888888888,0.2214540347844874,0.3055555555555556,0.15655502392344497,0.42433019551049966,0.18315508021390375,0.7093206951026856
26,Erie County (Central) PUMA,0.0,0.0,0.0,0.21897412619155696,0.2,0.2366345311130587,0.11818181818181818,0.29545454545454547,0.0
27,St. Lawrence County PUMA,0.06873727087576374,0.012039660056657223,0.213768115942029,0.2099737532808399,0.17278617710583152,0.24012006003001501,0.23946188340807176,0.24521739130434783,0.23333333333333334
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.21391035548686244,0.2503897723729342,0.17805700275819797,0.18830525272547077,0.251984126984127,0.12475247524752475,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.30173508252221753,0.4532739987285442,0.0,0.7136150234741784,0.0,1.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.10009427388613354,0.049253731343283584,0.15556698380046285,0.37294904071533985,0.39423854992717267,0.34831460674157305,0.41317365269461076,0.40327868852459015,0.42586750788643535
31,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,0.09506603538499875,0.11395713538944068,0.07785714285714286,0.5217391304347826,0.26037735849056604,0.8394495412844036
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.546875,0.7831325301204819,0.42197452229299365,0.04269662921348315,0.06402695871946082,0.0,#DIV/0!,#DIV/0!,#DIV/0!
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.20601669554260513,0.16124960555380247,0.25062893081761006,0.2145214521452145,0.1837968561064087,0.2401614530776993
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.08345848530358292,0.13215686274509805,0.0246328754144955,0.1617106977846227,0.1416868932038835,0.17453838678328473,0.0,0.0,#DIV/0!
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.11796136457048911,0.21730580137659783,0.046610169491525424,0.21156096419377488,0.2150313152400835,0.20873992363173527,0.4559748427672956,0.5773353751914242,0.37139807897545357
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.15826827537260468,0.0,0.2575057736720554,0.20719954648526076,0.0,0.3541666666666667,0.19022103148024114,0.17317845828933473,0.21978021978021978
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,0.1496470588235294,0.03172737955346651,0.3270477312905127,0.25028312570781425,0.16308470290771176,1.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,0.0,0.0,0.6763942931258107,0.654357459379616,0.6936416184971098,1.0,1.0,1.0
