,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,628649,318234,310415,523382,276477,246905,105267,41757,63510,189104,82547,106557,162987,72977,90010,26117,9570,16547,370645,196527,174118,308246,169810,138436,62399,26717,35682,68900,39160,29740,52149,33690,18459,16751,5470,11281
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6311,3503,2808,5175,2539,2636,1136,964,172,2187,1265,922,2187,1265,922,0,0,0,3603,2238,1365,2467,1274,1193,1136,964,172,521,0,521,521,0,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,4145,1898,2247,3560,1650,1910,585,248,337,1926,942,984,1832,942,890,94,0,94,1943,923,1020,1452,675,777,491,248,243,276,33,243,276,33,243,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4394,2817,1577,3975,2584,1391,419,233,186,2075,1101,974,1799,947,852,276,154,122,1884,1455,429,1741,1376,365,143,79,64,435,261,174,435,261,174,0,0,0
4,Madison & Cortland Counties PUMA,941,518,423,576,518,58,365,0,365,444,152,292,180,152,28,264,0,264,453,322,131,352,322,30,101,0,101,44,44,0,44,44,0,0,0,0
5,Ontario & Yates Counties PUMA,1595,915,680,1464,852,612,131,63,68,495,309,186,470,284,186,25,25,0,1032,606,426,994,568,426,38,38,0,68,0,68,0,0,0,68,0,68
6,Monroe County (Central)--Greece & Gates Towns PUMA,2408,1956,452,2408,1956,452,0,0,0,112,0,112,112,0,112,0,0,0,2151,1811,340,2151,1811,340,0,0,0,145,145,0,145,145,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1985,1200,785,1788,1200,588,197,0,197,494,235,259,371,235,136,123,0,123,809,669,140,735,669,66,74,0,74,682,296,386,682,296,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",963,520,443,699,309,390,264,211,53,75,75,0,75,75,0,0,0,0,888,445,443,624,234,390,264,211,53,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,5110,2748,2362,3771,1970,1801,1339,778,561,3237,1844,1393,3237,1844,1393,0,0,0,1873,904,969,534,126,408,1339,778,561,0,0,0,0,0,0,0,0,0
