,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,523382,276477,246905,54039.20000878899,58307.815384281515,49259.32931694376,162987,72977,90010,76886.92615361961,88079.89410362169,67812.05422730808,308246,169810,138436,45532.35297781642,50700.599917554915,39192.81692623306,52149,33690,18459,32913.56440200195,32160.717423567825,34287.60496234899
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,5175,2539,2636,62116.10512077295,64060.3481685703,60243.40667678301,2187,1265,922,93334.63374485596,94600.9675889328,91597.20173535791,2467,1274,1193,42279.2865828942,33735.47880690738,51403.185247275775,521,0,521,25000.0,0.0,25000.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3560,1650,1910,65533.90449438202,75499.39393939394,56924.97382198953,1832,942,890,65772.37991266376,72365.1804670913,58794.38202247191,1452,675,777,58569.21487603306,82537.77777777778,37747.104247104246,276,33,243,100591.30434782608,21000.0,111400.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3975,2584,1391,64051.9748427673,62094.58204334365,67688.13803019411,1799,947,852,84045.5808782657,94568.10982048574,72349.76525821596,1741,1376,365,52500.057438253876,48109.3023255814,69052.60273972603,435,261,174,27600.0,18000.0,42000.0
4,Madison & Cortland Counties PUMA,576,518,58,41605.555555555555,34117.37451737452,108482.75862068965,180,152,28,67666.66666666667,49000.0,169000.0,352,322,30,28829.545454545456,26670.80745341615,52000.0,44,44,0,37200.0,37200.0,0.0
5,Ontario & Yates Counties PUMA,1464,852,612,34747.083333333336,38369.04929577465,29704.738562091505,470,284,186,56010.425531914894,57320.07042253521,54010.75268817204,994,568,426,24692.98792756539,28893.538732394365,19092.25352112676,0,0,0,#DIV/0!,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2408,1956,452,39002.53322259136,40607.41308793456,32057.522123893807,112,0,112,28000.0,0.0,28000.0,2151,1811,340,40499.11668991167,41833.02043070127,33394.117647058825,145,145,0,25300.0,25300.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1788,1200,588,61670.9451901566,73914.875,36683.333333333336,371,235,136,98189.35309973046,98550.0,97566.17647058824,735,669,66,75011.97278911565,81544.0956651719,8800.0,682,296,386,27427.565982404692,37113.51351351351,20000.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",699,309,390,52400.57224606581,76077.66990291262,33641.02564102564,75,75,0,120000.0,120000.0,0.0,624,234,390,44275.64102564102,62000.0,33641.02564102564,0,0,0,#DIV/0!,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,3771,1970,1801,157252.02890479978,220704.3147208122,87845.58634092171,3237,1844,1393,174276.3673154155,231753.52494577007,98190.30940416368,534,126,408,54053.93258426966,59000.0,52526.470588235294,0,0,0,#DIV/0!,0.0,0.0
