,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,517149.0,244554.0,272595.0,398542.0,196356.0,202186.0,118607.0,48198.0,70409.0,110115.0,46543.0,63572.0,97455.0,41303.0,56152.0,12660.0,5240.0,7420.0,300982.0,143629.0,157353.0,230348.0,117358.0,112990.0,70634.0,26271.0,44363.0,106052.0,54382.0,51670.0,70739.0,37695.0,33044.0,35313.0,16687.0,18626.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,4644.0,2717.0,1927.0,3451.0,2149.0,1302.0,1193.0,568.0,625.0,889.0,399.0,490.0,889.0,399.0,490.0,0.0,0.0,0.0,2570.0,1979.0,591.0,2041.0,1750.0,291.0,529.0,229.0,300.0,1185.0,339.0,846.0,521.0,0.0,521.0,664.0,339.0,325.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1181.0,785.0,396.0,752.0,436.0,316.0,429.0,349.0,80.0,752.0,436.0,316.0,752.0,436.0,316.0,0.0,0.0,0.0,429.0,349.0,80.0,0.0,0.0,0.0,429.0,349.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4516.0,2750.0,1766.0,4172.0,2548.0,1624.0,344.0,202.0,142.0,1240.0,636.0,604.0,1162.0,636.0,526.0,78.0,0.0,78.0,2121.0,1431.0,690.0,1855.0,1229.0,626.0,266.0,202.0,64.0,1155.0,683.0,472.0,1155.0,683.0,472.0,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,192.0,192.0,0.0,93.0,93.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,192.0,0.0,93.0,93.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,1208.0,813.0,395.0,836.0,610.0,226.0,372.0,203.0,169.0,23.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,1051.0,790.0,261.0,813.0,587.0,226.0,238.0,203.0,35.0,134.0,0.0,134.0,0.0,0.0,0.0,134.0,0.0,134.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,618.0,159.0,459.0,347.0,159.0,188.0,271.0,0.0,271.0,112.0,0.0,112.0,112.0,0.0,112.0,0.0,0.0,0.0,319.0,159.0,160.0,235.0,159.0,76.0,84.0,0.0,84.0,187.0,0.0,187.0,0.0,0.0,0.0,187.0,0.0,187.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,618.0,232.0,386.0,618.0,232.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,232.0,386.0,618.0,232.0,386.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",677.0,234.0,443.0,677.0,234.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,234.0,443.0,677.0,234.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,4153.0,2429.0,1724.0,3984.0,2260.0,1724.0,169.0,169.0,0.0,2408.0,1525.0,883.0,2239.0,1356.0,883.0,169.0,169.0,0.0,1745.0,904.0,841.0,1745.0,904.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1098.0,711.0,387.0,1098.0,711.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,387.0,387.0,0.0,387.0,0.0,0.0,0.0,711.0,711.0,0.0,711.0,711.0,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,838.0,280.0,558.0,446.0,280.0,166.0,392.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,103.0,488.0,269.0,103.0,166.0,322.0,0.0,322.0,247.0,177.0,70.0,177.0,177.0,0.0,70.0,0.0,70.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3270.0,1910.0,1360.0,2470.0,1608.0,862.0,800.0,302.0,498.0,1467.0,923.0,544.0,1277.0,811.0,466.0,190.0,112.0,78.0,1322.0,987.0,335.0,1068.0,797.0,271.0,254.0,190.0,64.0,481.0,0.0,481.0,125.0,0.0,125.0,356.0,0.0,356.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,7492.0,2844.0,4648.0,4951.0,1876.0,3075.0,2541.0,968.0,1573.0,1068.0,297.0,771.0,712.0,0.0,712.0,356.0,297.0,59.0,4704.0,1866.0,2838.0,3135.0,1323.0,1812.0,1569.0,543.0,1026.0,1720.0,681.0,1039.0,1104.0,553.0,551.0,616.0,128.0,488.0
14,Rockland County (North)--New City & Congers PUMA,1842.0,1124.0,718.0,1495.0,1044.0,451.0,347.0,80.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762.0,1044.0,718.0,1495.0,1044.0,451.0,267.0,0.0,267.0,80.0,80.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",661.0,281.0,380.0,661.0,281.0,380.0,0.0,0.0,0.0,113.0,0.0,113.0,113.0,0.0,113.0,0.0,0.0,0.0,317.0,281.0,36.0,317.0,281.0,36.0,0.0,0.0,0.0,231.0,0.0,231.0,231.0,0.0,231.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7349.0,3779.0,3570.0,4893.0,2374.0,2519.0,2456.0,1405.0,1051.0,1850.0,692.0,1158.0,1850.0,692.0,1158.0,0.0,0.0,0.0,2904.0,1375.0,1529.0,1720.0,866.0,854.0,1184.0,509.0,675.0,2595.0,1712.0,883.0,1323.0,816.0,507.0,1272.0,896.0,376.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3819.0,1660.0,2159.0,2917.0,1037.0,1880.0,902.0,623.0,279.0,1157.0,92.0,1065.0,1110.0,92.0,1018.0,47.0,0.0,47.0,2221.0,1257.0,964.0,1677.0,945.0,732.0,544.0,312.0,232.0,441.0,311.0,130.0,130.0,0.0,130.0,311.0,311.0,0.0
18,Tompkins County PUMA,547.0,457.0,90.0,547.0,457.0,90.0,0.0,0.0,0.0,329.0,329.0,0.0,329.0,329.0,0.0,0.0,0.0,0.0,218.0,128.0,90.0,218.0,128.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,3248.0,1064.0,2184.0,3179.0,1064.0,2115.0,69.0,0.0,69.0,596.0,116.0,480.0,596.0,116.0,480.0,0.0,0.0,0.0,1770.0,948.0,822.0,1701.0,948.0,753.0,69.0,0.0,69.0,882.0,0.0,882.0,882.0,0.0,882.0,0.0,0.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,9007.0,4345.0,4662.0,5301.0,2503.0,2798.0,3706.0,1842.0,1864.0,2023.0,930.0,1093.0,1195.0,550.0,645.0,828.0,380.0,448.0,6434.0,3080.0,3354.0,3664.0,1618.0,2046.0,2770.0,1462.0,1308.0,550.0,335.0,215.0,442.0,335.0,107.0,108.0,0.0,108.0
21,Westchester County (Northwest) PUMA,3256.0,1762.0,1494.0,2242.0,1494.0,748.0,1014.0,268.0,746.0,250.0,0.0,250.0,250.0,0.0,250.0,0.0,0.0,0.0,2410.0,1361.0,1049.0,1571.0,1268.0,303.0,839.0,93.0,746.0,596.0,401.0,195.0,421.0,226.0,195.0,175.0,175.0,0.0
22,Albany County (Outside Albany City) PUMA,2233.0,1279.0,954.0,873.0,406.0,467.0,1360.0,873.0,487.0,385.0,140.0,245.0,245.0,0.0,245.0,140.0,140.0,0.0,1409.0,700.0,709.0,628.0,406.0,222.0,781.0,294.0,487.0,439.0,439.0,0.0,0.0,0.0,0.0,439.0,439.0,0.0
23,Monroe County (South) PUMA,560.0,214.0,346.0,560.0,214.0,346.0,0.0,0.0,0.0,204.0,0.0,204.0,204.0,0.0,204.0,0.0,0.0,0.0,356.0,214.0,142.0,356.0,214.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,804.0,572.0,232.0,416.0,285.0,131.0,388.0,287.0,101.0,120.0,19.0,101.0,0.0,0.0,0.0,120.0,19.0,101.0,684.0,553.0,131.0,416.0,285.0,131.0,268.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",214.0,214.0,0.0,86.0,86.0,0.0,128.0,128.0,0.0,86.0,86.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
