,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.472337971575266,0.48148510226914765,0.46548961882842804,0.3447723651704533,0.3703764087305631,0.319116349735346,0.18148755103214306,0.21056818025974738,0.1494615698297866
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.5935070873342478,0.6845849802371542,0.4685466377440347,0.27785093494864366,0.18626644736842105,0.441025641025641,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.7207876049063913,0.7404761904761905,0.6974612129760226,0.8528301886792453,0.7377911344853494,0.9494949494949495,1.0,1.0,1.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.4854771784232365,0.533724340175953,0.4225621414913958,0.22619481940897482,0.2032293986636971,0.2698412698412698,0.11562021439509954,0.0,0.24237560192616373
4,Madison & Cortland Counties PUMA,1.0,1.0,1.0,0.6521739130434783,0.5439429928741093,1.0,1.0,1.0,#DIV/0!
5,Ontario & Yates Counties PUMA,0.9476082004555809,0.9090909090909091,1.0,0.31262262916939176,0.2602996254681648,0.43383947939262474,0.3431372549019608,1.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,#DIV/0!,0.0,0.8652871621621622,0.9122032026504694,0.7127468581687613,0.4367469879518072,1.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,0.093841642228739,0.21621621621621623,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1.0,1.0,#DIV/0!,0.13093709884467267,0.10687022900763359,0.14313346228239845,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.35923363491218735,0.24242424242424243,0.49398280802292266,0.06233207952713595,0.0,0.12121212121212122,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1.0,1.0,1.0,0.8540173519426631,1.0,0.760519801980198,0.32606635071090045,0.32606635071090045,#DIV/0!
11,Erie County (Northwest) PUMA,1.0,#DIV/0!,1.0,0.43927893738140417,0.7418546365914787,0.2549618320610687,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.12737127371273713,0.09661016949152543,0.18195488721804512,0.5017908309455588,0.18832236842105263,0.7436548223350253,0.3654353562005277,#DIV/0!,0.3654353562005277
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.44298451431252933,0.6346863468634686,0.32473444613050073,0.3032906039381525,0.30827542640555905,0.29970461258804815,0.06083821541234791,0.0,0.10948905109489052
14,Rockland County (North)--New City & Congers PUMA,1.0,1.0,1.0,0.5126916975145426,0.5168903285515964,0.5070943861813695,0.7633136094674556,0.4805194805194805,1.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.4433497536945813,1.0,0.13740458015267176,0.427797833935018,0.4194214876033058,0.4857142857142857,0.125,1.0,0.0
