,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,0.046725755554143635,0.04071773636991028,0.05139496589037874,0.07899181982364814,0.086181270474079,0.07074382239051959,0.1751709626512362,0.18677697705291105,0.15888068144007453
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.18458933107535985,0.3164005805515239,0.0,0.04065040650406504,0.0,0.07272727272727272,0.0,#DIV/0!,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0,0.04048140043763676,0.050580997949419004,0.0,0.3958333333333333,1.0,0.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.1793478260869565,0.23515439429928742,0.0,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.4108527131782946,0.32673267326732675,0.5305164319248826,0.0,#DIV/0!,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.12411347517730496,0.0,0.2127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,#DIV/0!,0.0985352862849534,0.0,0.14313346228239845,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.04961832061068702,0.08395429706905116,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.06493506493506493,0.0,0.11948529411764706,0.0,0.0,0.0,0.0,0.0,#DIV/0!
11,Erie County (Northwest) PUMA,0.21362229102167182,#DIV/0!,0.21362229102167182,0.10221465076660988,0.23121387283236994,0.0,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.04690318701142514,0.0,0.11729323308270677,0.03547557840616967,0.05674342105263158,0.0,0.46965699208443273,#DIV/0!,0.46965699208443273
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0480178671133445,0.0,0.08365758754863813,0.09467660828853823,0.14826498422712933,0.052615289384091615,0.2665684830633284,0.0,0.49184782608695654
14,Rockland County (North)--New City & Congers PUMA,0.11307053941908714,0.0,0.2334047109207709,0.0957408081543502,0.0,0.2451071761416589,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,1.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.0,0.0,0.0,0.052043311212015365,0.0,0.1285591026747196,0.07309941520467836,0.0,0.1431297709923664
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.12801101169993118,0.0,0.14588235294117646,0.14351425942962281,0.2610878661087866,0.0,0.8141361256544503,1.0,0.0
18,Tompkins County PUMA,0.0,0.0,0.0,0.1963963963963964,0.0,0.25526932084309134,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.0,0.0,0.0,0.13907078266292486,0.20737073707370737,0.04967602591792657,0.0,0.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.04048370136698212,0.08608160983789827,0.0,0.04153882464007552,0.0,0.08608461726583516,0.0,0.0,0.0
21,Westchester County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
22,Albany County (Outside Albany City) PUMA,0.0,0.0,0.0,0.5017205781142464,0.4543010752688172,0.5514809590973202,0.0,0.0,#DIV/0!
23,Monroe County (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0,0.1636500754147813,0.0,0.6802507836990596,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.5266666666666666,0.7452830188679245,0.0,0.7590361445783133,0.7590361445783133,#DIV/0!
26,Erie County (Central) PUMA,0.3422459893048128,0.48120300751879697,0.0,0.2131979695431472,0.45080500894454384,0.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,0.0,0.0,0.0,0.6,0.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.04826325411334552,0.0,0.10846343467543139,0.19032153296524845,1.0,0.0,0.5078630897317299,0.611358574610245,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.14947856315179606,0.0,0.22434782608695653,#DIV/0!,#DIV/0!,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.03831319105168424,0.0709186101856259,0.0,0.16873260814571212,0.17216642754662842,0.1648764769065521,0.1691449814126394,0.1691449814126394,#DIV/0!
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.3282937365010799,0.4393063583815029,0.0,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.038776624795193886,0.07577374599786553,0.0,0.0,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,0.19175911251980982,0.0,0.24897119341563786,0.0,#DIV/0!,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,0.0,0.12406793703396851,0.13306451612903225,0.11238095238095239,0.0,0.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0,0.23666666666666666,0.0,0.5772357723577236,0.0,0.0,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,0.06810709253170502,0.11301636788776305,0.0,0.0,0.0,#DIV/0!
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.04383680555555555,0.10871905274488698,0.0,0.1137586471944658,0.10931622040274397,0.11813426329555361,0.2833123160992013,0.3653116531165312,0.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.2207856787667827,0.10805300713557595,0.32815533980582523,0.09652002626395273,0.13066666666666665,0.0,0.07792207792207792,0.07792207792207792,#DIV/0!
41,Suffolk County (Central)--Islip Town (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.5601436265709157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.32075471698113206,0.452991452991453,0.18760757314974183,0.049463369108726084,0.14382632293080055,0.0,0.2,0.24324324324324326,0.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.0,0.0,0.0,0.07504826254826255,0.0,0.14930388862217955,0.10318949343339587,0.12761020881670534,0.0
45,Saratoga County (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.26034858387799564,0.0,0.3682588597842835,0.1878048780487805,0.2006726457399103,0.1757607555089192,0.16236162361623616,0.0,0.3548387096774194
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.0,0.0,0.0,0.06160287081339713,0.0,0.1138121546961326,0.17313432835820897,0.23673469387755103,0.0
48,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,0.4952076677316294,0.6729559748427673,0.4346895074946467,0.0,0.0,#DIV/0!
49,Schenectady County--Schenectady City PUMA,0.0,0.0,#DIV/0!,0.058394160583941604,0.0,0.17959183673469387,#DIV/0!,#DIV/0!,#DIV/0!
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.02260327357755261,0.04873949579831933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.12203023758099352,0.0,0.2008888888888889,0.05534495830174375,0.026049766718507,0.10974729241877257,0.09635173058933583,0.10404040404040404,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.2502164502164502,0.0,0.46117021276595743,0.0,0.0,0.0,0.0,0.0,0.0
54,Columbia & Greene Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
55,Rensselaer County--Troy City PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
56,Erie County (West Central)--Buffalo City (West) PUMA,0.0,0.0,0.0,0.05808903365906623,0.08935281837160751,0.0,0.0,0.0,#DIV/0!
