,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,-2.520937226518873,-0.12394981249925281,-0.6166172467916671,-1.1701885713663556,-0.4721876179560494,-0.1915298137325267,-0.4371512134643105,-0.7903659289041479,-0.7030370672523025,-0.023089253881051732,-0.10381379245099137,-0.12387581208130664,0.1816506462581653,-0.2434407263513761,-0.23104394471467277,-0.17809285006764797,E,C,C-,D,C-,C,C-,D,C-,C,C,C,C,C,C,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,0.14960388248241174,#DIV/0!,#DIV/0!,#DIV/0!,1.480710231382152,0.22520669507500515,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,A-,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,#DIV/0!,1.8338473733334595,#DIV/0!,#DIV/0!,#DIV/0!,-0.07116948933257602,-0.8330971603917454,#DIV/0!,#DIV/0!,1.1556671222149264,#DIV/0!,#DIV/0!,0.7360415267796171,0.222940533971288,0.5445132182987613,#DIV/0!,#DIV!0,A,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,B-,B-,C,#DIV!0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,#DIV/0!,-0.10265413533576533,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33263819049641247,#DIV/0!,#DIV/0!,-0.034736436756447234,-1.5780244407066126,-1.5776755679058543,#DIV/0!,-1.3702674876430074,-0.23446620693365972,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,C,D-,D-,C,#DIV!0,D-,#DIV!0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,-0.10265413533576533,#DIV/0!,#DIV/0!,#DIV/0!,-0.1480757657250894,0.5790630455528504,#DIV/0!,-2.2414967166761492,-0.034736436756447234,#DIV/0!,#DIV/0!,#DIV/0!,-0.7706070611682302,0.11490862013886458,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,B-,#DIV!0,E,C,#DIV!0,#DIV!0,C,#DIV!0,D,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.1480757657250894,#DIV/0!,#DIV/0!,#DIV/0!,-2.6329480360949877,#DIV/0!,#DIV/0!,#DIV/0!,-0.06132853305209814,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,#DIV/0!,1.0117725839393041,0.7136028920574008,0.7196065223473128,0.8158781166630535,-0.5119930942216216,0.16050496285024057,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.06132853305209814,#DIV/0!,#DIV/0!,#DIV!0,B,B-,B-,B,C-,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0
