,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,-0.05077338416236011,0.030017829175114488,0.08893681328748436,-0.23085330596689865,0.11665513121252977,-0.19394166135229163,-0.12292093222901955,-0.05183993000506305,0.12679047969734927,-0.043781498138983584,0.20633683789446627,-0.032532635431975966,0.17092486308369653,-0.27517267806177437,-0.18067410197110645,-0.004015533275475468,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,-0.3218702690616248,#DIV/0!,#DIV/0!,#DIV/0!,-0.6466295013022024,0.6871220248667111,#DIV/0!,#DIV/0!,1.1126451060968225,0.6884412616602079,0.690570006576292,0.8315809394155029,0.014438410114793281,1.4829452568500543,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,#DIV!0,B,B-,B-,A-,B,C,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.30490265290482754,-1.685150868248122,0.4435183050819229,0.4478781997936978,#DIV/0!,0.05021354144371003,3.064858668592123,#DIV/0!,-1.270511448111338,0.04062520770356055,0.6884412616602079,0.690570006576292,0.6611749196898586,-0.29300474696633083,-0.09077870322232436,0.06093092818998941,B-,D-,B-,B-,#DIV!0,C,A,#DIV!0,D-,C,B-,B-,C,B-,C-,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,#DIV/0!,0.5569272629234217,#DIV/0!,#DIV/0!,0.731462842566309,-0.9026174101340608,-1.0130671594931386,#DIV/0!,0.4999126281728204,0.2014018765362423,-0.270612963876478,-0.2686529674608818,0.08085996979126492,-0.3250605929948026,-0.30904382703979394,-0.055885125267375525,#DIV!0,B-,#DIV!0,#DIV!0,B-,D,D,#DIV!0,B-,C,C-,C-,C-,C,C-,C
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.30490265290482754,1.1874994520970037,#DIV/0!,#DIV/0!,#DIV/0!,-0.0706903096015095,-0.8721329790175442,#DIV/0!,#DIV/0!,0.24606442827323877,#DIV/0!,#DIV/0!,#DIV/0!,-0.5810446955497947,-0.620035968860648,#DIV/0!,B-,B,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,0.5396463382112034,0.5439750689197872,#DIV/0!,-0.0706903096015095,#DIV/0!,#DIV/0!,0.4999126281728204,-0.6147245632213989,0.11987498244779923,0.12190368640218338,#DIV/0!,4.202258023596345,-0.5612975084350463,#DIV/0!,#DIV!0,#DIV!0,B-,B-,#DIV!0,C,#DIV!0,#DIV!0,B-,C-,C,C,C-,#DIV!0,A,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.30490265290482754,-0.7106919199795947,0.3672694224132449,0.3716540364534554,0.009864512508266199,-0.7129582184602893,-0.4598670702313667,-0.11854665491306524,#DIV/0!,6.042914649247751,0.1759992352216341,0.17803781440855923,#DIV/0!,2.465483551995162,0.03911643031560215,#DIV/0!,B-,C-,B-,B-,C,C-,C-,C,#DIV!0,A,C,C,C,#DIV!0,A,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,-6.004680732150146,0.013795308425913758,#DIV/0!,#DIV/0!,#DIV/0!,-0.8246242444591341,0.2284106452426696,#DIV/0!,#DIV/0!,0.8216280810360987,0.6884412616602079,0.690570006576292,#DIV/0!,-0.13851833820279352,-0.46273544490563445,#DIV/0!,E,C,#DIV!0,#DIV!0,#DIV!0,D,C,#DIV!0,#DIV!0,B,B-,B-,C-,#DIV!0,C,#DIV!0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4999126281728204,0.2644336616866244,0.6884412616602079,0.690570006576292,#DIV/0!,0.6036074225797686,0.6421735893337286,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,B-,B-,B-,B-,#DIV!0,B-,#DIV!0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.30490265290482754,-0.011001071985585753,0.5396463382112034,0.5439750689197872,0.731462842566309,0.18725327606688907,-0.17363905887858935,0.30322857825783445,-2.6052520260643344,0.43246849412468,0.541522861416936,0.5436257555947875,0.8315809394155029,-0.3587300672477528,-0.2520703649759355,-0.1238363439623023,B-,C,B-,B-,B-,C,C,B-,E,B-,B-,B-,C-,B,C-,C
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.30490265290482754,1.2896833832556778,0.12253338711392628,0.1269973427815142,0.3812602323899204,-0.18978779945382976,1.6955019832790892,0.5330130260387322,0.19421867242631213,0.0616855604542759,0.41114299564279716,0.41322294908772933,0.47683404930727286,-0.14705942887382797,0.6009717410323651,0.28728807701098924,B-,A-,C,C,B-,C,A-,B-,C,C,B-,B-,B-,B-,C,B-
