,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.21401523050639765,0.0185404407280446,0.028705648493618327,0.12896536139956633,-0.4689124242468329,-0.0640355685475518,-0.15770442735858797,-0.04291796271790654,-0.3682656134655682,0.008389113851889111,0.058305436674735596,0.17906727258919938,0.06031449237275094,-0.14743210275791072,0.10545599096189186,-0.014880772824716003,C,C,C,C,C-,C,C,C,C-,C,C,C,C,C,C,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,0.6265243933034671,#DIV/0!,#DIV/0!,-0.5405397047120568,-0.5410628124901943,0.3523683068391417,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.0281772978616681,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,C-,C-,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,#DIV/0!,-2.1378900983391875,#DIV/0!,#DIV/0!,#DIV/0!,-0.16127742312353485,-0.9276765548550192,#DIV/0!,0.4292925868196656,0.908194799212168,#DIV/0!,#DIV/0!,#DIV/0!,-0.1954573604035571,-0.4301540267491248,#DIV/0!,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,B-,B,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.19656532771480772,#DIV/0!,#DIV/0!,0.42304805628363756,0.3004837748727027,0.2986960190263661,#DIV/0!,-0.24418312388283867,-0.28854548798894386,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,B-,B-,B-,C-,#DIV!0,C,#DIV!0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,-0.23552092845217404,#DIV/0!,#DIV/0!,0.42304805628363756,#DIV/0!,#DIV/0!,#DIV/0!,-0.2547139982463404,-0.11832713009283063,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,C,#DIV!0,C-,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.7685536995314945,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.0281772978616681,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,E,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,#DIV/0!,-0.6342998174390626,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.0044801749497148,#DIV/0!,#DIV/0!,0.42304805628363756,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.018740150433811335,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.3720760765689435,#DIV/0!,#DIV/0!,0.42304805628363756,#DIV/0!,#DIV/0!,#DIV/0!,-0.13493799441524748,-0.6903922556931303,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D-,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
