,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.03632120128838484,-0.03465429642605928,-0.00956259949724774,-0.49821000319146513,0.21618650958746086,-0.43809741580946165,-0.2715544350363603,-0.1427958627263926,-0.12472545452154739,-0.05373348375003742,0.03171685995397717,-0.5323498743850226,0.19256992910558232,-0.4883422721734068,-0.11206977112695471,-0.1552762952710585,C,C,C,C-,C,C-,C-,C,C,C,C,C-,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.31722203844013575,0.5367131669703925,0.46093752231567786,0.4663214937786805,#DIV/0!,-0.5945805420565669,0.1301175378835167,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.150501291913396,#DIV/0!,#DIV/0!,B-,B-,B-,B-,#DIV!0,C-,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.31722203844013575,-0.5580126587720765,0.37422402995705184,0.37974426143897616,#DIV/0!,0.1494907097407217,-0.13512775120275075,#DIV/0!,-2.067712699361593,0.039327014839024774,0.7575597604838098,0.7617433243141124,0.6387731918738826,0.25010993863634795,0.3246420443603682,0.10063465359227898,B-,C-,B-,B-,#DIV!0,C,C,#DIV!0,E,C,B,B,B-,B-,B-,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.31722203844013575,0.2669093699431644,0.46093752231567786,0.4663214937786805,0.7834811972941303,-1.4065456777665066,-0.6735840860503678,0.030677408279273486,0.36049309491058684,0.30785661970473543,-0.08792619666847785,-0.08263663504859761,0.2976628572800943,0.03298967276540462,-0.776514464919688,0.00741784971772254,B-,B-,B-,B-,B,D-,C-,C,B-,B-,C,C,D,B-,C,C
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.31722203844013575,0.4655581931212976,0.46093752231567786,0.4663214937786805,#DIV/0!,0.3498330565912981,-0.08307101132661794,#DIV/0!,-3.308156990609354,0.5627755443960487,0.7575597604838098,0.7617433243141124,0.6387731918738826,-0.30800071459168576,-0.08553203218226202,-0.14011970233077833,B-,B-,B-,B-,#DIV!0,B-,C,#DIV!0,E,B-,B,B,C,B-,C-,C
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,0.46093752231567786,0.4663214937786805,#DIV/0!,0.6710621663174414,#DIV/0!,#DIV/0!,0.36049309491058684,-2.5501913016029927,-0.9580381288649231,-0.9516103557046223,#DIV/0!,1.1843003012164561,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,B-,B-,#DIV!0,B-,#DIV!0,#DIV!0,B-,E,D,D,#DIV!0,#DIV!0,B,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.31722203844013575,0.3261665891564722,0.46093752231567786,0.4663214937786805,0.7834811972941303,-1.0660616808487542,0.1249923050214917,0.20186563787969056,0.36049309491058684,0.6398871075662542,-0.29694498332256175,-0.2913819998746026,#DIV/0!,0.256833008844652,0.030207735566432442,#DIV/0!,B-,B-,B-,B-,B,D,C,C,B-,B-,C-,C-,C,#DIV!0,B-,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,-3.024291498580231,0.3287466046220783,#DIV/0!,#DIV/0!,#DIV/0!,-1.2459351119320405,0.3536890838303543,#DIV/0!,#DIV/0!,#DIV/0!,0.7575597604838098,0.7617433243141124,#DIV/0!,0.6948361950263665,#DIV/0!,#DIV/0!,E,B-,#DIV!0,#DIV!0,#DIV!0,D,B-,#DIV!0,#DIV!0,#DIV!0,B,B,#DIV!0,#DIV!0,B-,#DIV!0
