,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.016371906919498278,0.036208933334744245,-0.01182039283219125,-0.32519205537757584,0.12659264817437704,-0.24392323800406868,-0.2365094320680483,-0.09118166140760921,0.06878865507432033,0.06783527022214177,0.05589902775570886,-0.4093763808463589,0.07817081294788758,-0.4015689925858026,-0.06900064062378475,-0.08703603543655537,C,C,C,C-,C,C,C,C,C,C,C,C-,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.32963255032123284,0.4501061128889515,0.3996439675461624,0.402057971843532,-0.011644401969180315,-0.32764589723845355,-0.3416507949729662,0.12864278691703981,0.46467855056324897,1.7450737006624228,0.7066623473243749,0.7098393350761073,0.8911503774504154,1.2735923899659973,0.7195496969428732,0.9300780568550627,B-,B-,B-,B-,C,C-,C-,C,B-,A-,B-,B-,B-,B,A-,B
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.32963255032123284,-1.6562411076815198,0.36628092757625724,0.368709615267859,0.44923916744945774,0.009274678691639232,1.1654588274465847,0.14747923701021584,-1.2699262630259454,-0.19460654272951014,0.7066623473243749,0.7098393350761073,0.2942881559919425,0.04398992756758193,-0.044883983800995286,0.03505185377193657,B-,D-,B-,B-,B-,C,B,C,D-,C,B-,B-,C,B-,C,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.32963255032123284,0.4606046312181522,0.3996439675461624,0.402057971843532,0.44923916744945774,-0.7217855811424099,-1.216850620930501,0.014648869472232302,0.46467855056324897,0.7688539468635899,-0.12466886706111065,-0.12095343981650464,0.21172771706643492,0.0936941757350751,-0.3427100645526909,0.13580314554257752,B-,B-,B-,B-,B-,C-,D,C,B-,B,C,C,C-,C,C,C
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.32963255032123284,0.7099763959766354,0.3996439675461624,0.402057971843532,#DIV/0!,0.08629999680965998,-0.8597013424164823,#DIV/0!,-2.878913533456364,0.8886019557168504,0.7066623473243749,0.7098393350761073,0.8911503774504154,-0.36467951526727727,-0.43095189070475726,-0.06832727483723575,B-,B-,B-,B-,#DIV!0,C,D,#DIV!0,E,B,B-,B-,C-,B,C-,C
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,0.3996439675461624,0.402057971843532,#DIV/0!,0.2432854634939418,#DIV/0!,#DIV/0!,0.46467855056324897,-1.241072992813225,0.05055905033643071,0.05416098535393373,#DIV/0!,0.7537659905258751,-0.2839842000018535,#DIV/0!,#DIV!0,#DIV!0,B-,B-,#DIV!0,C,#DIV!0,#DIV!0,B-,D,C,C,C-,#DIV!0,B,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.32963255032123284,-0.3723962279656794,0.2895609138647032,0.29202336677098073,0.17020504759585076,-0.5524902270711406,-0.20199997424331478,-0.006494935818195324,0.46467855056324897,1.2439720579541973,-0.5329226045892923,-0.5289427581437773,#DIV/0!,0.5224376090777372,0.22914890341107505,#DIV/0!,B-,C-,B-,B-,C,C-,C,C,B-,B,C-,C-,C,#DIV!0,B-,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,-5.268967434046728,0.4926235806701549,0.3996439675461624,0.402057971843532,#DIV/0!,-0.647143793458319,0.08343315249852896,#DIV/0!,0.46467855056324897,1.1724402023346832,0.7066623473243749,0.7098393350761073,#DIV/0!,0.34688726407193826,-0.335199342038545,#DIV/0!,E,B-,B-,B-,#DIV!0,C-,C,#DIV!0,B-,B,B-,B-,C-,#DIV!0,B-,#DIV!0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.46467855056324897,0.866170566572359,0.7066623473243749,0.7098393350761073,#DIV/0!,0.6549771271008171,0.02432736112289746,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,B,B-,B-,C,#DIV!0,B-,#DIV!0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.32963255032123284,0.271583239953703,0.3996439675461624,0.402057971843532,0.44923916744945774,-0.4644694111180589,-0.008816695911572907,0.19698154144063657,-0.4891583226765609,0.8056581235652066,0.48025053628059144,0.48357416722171637,0.8911503774504154,0.10227007120850974,-0.047680476527206986,0.31800921093181017,B-,B-,B-,B-,B-,C-,C,C,C-,B,B-,B-,C,B,C,B-
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.32963255032123284,0.7345039373517148,-0.054760418916380275,-0.052146426885481004,0.10789037868380634,0.11196581094357429,1.8437127982964328,0.4315426613992714,0.1831137367792275,0.2925934019482955,0.46671956763271977,0.47005196235868846,0.4004568901451047,0.620573839998972,0.9102763643016548,0.47768368045209464,B-,B-,C,C,C,C,A,B-,C,B-,B-,B-,B,B-,B-,B-
14,Rockland County (North)--New City & Congers PUMA,0.32963255032123284,0.5838423709206887,0.3996439675461624,0.402057971843532,#DIV/0!,0.1149155583382886,-0.6556702174849068,#DIV/0!,0.2622177032871463,0.5167872380997885,0.027123068653210604,0.030740182768856646,0.7444541666297487,-0.5541910187749446,-0.12694316082773352,0.12859831140515326,B-,B-,B-,B-,#DIV!0,C,C-,#DIV!0,B-,B-,C,C,C,B-,C-,C
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.32963255032123284,0.5134612509324663,0.3996439675461624,0.402057971843532,#DIV/0!,0.21990731597769372,-1.9416700669314664,#DIV/0!,0.46467855056324897,0.8794674804224757,-2.2657111133887873,-2.2606089684540653,#DIV/0!,0.5645181830171782,-0.46473852097343343,#DIV/0!,B-,B-,B-,B-,#DIV!0,C,E,#DIV!0,B-,B,E,E,C-,#DIV!0,B-,#DIV!0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.32963255032123284,0.931422758443615,0.1450768436323918,0.14760288536526903,-0.13335435692618378,-0.2810926993373183,-0.5985417575493167,0.0772494605642414,0.2658861342262068,-0.14350445769696887,0.014666725614441671,0.01829190749767877,0.32132925865081496,-0.8678577242379941,-0.6609842660931422,-0.15031034600556614,B-,B,C,C,C,C-,C-,C,B-,C,C,C,C-,B-,D,C
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.32963255032123284,0.07172592369268485,-0.317835477726448,-0.31510570383620273,-0.6276478954946362,-0.7217855811424099,-1.3410008862239793,-0.4174310100585369,-0.20768193079828767,0.005052808394599062,-0.1047567589963198,-0.10105422849513315,0.5659087486200773,-0.7613588113733276,-0.6225210415180406,-0.17520160202377605,B-,C,C-,C-,C-,C-,D-,C-,C,C,C,C,C-,B-,D,C
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
19,Dutchess County (Southwest) PUMA,0.32963255032123284,0.7288184178729475,-3.3464567737398925,-3.3423940745374066,0.44923916744945774,-0.36199642379145325,-0.6769268342804684,-0.8885834243865117,-2.2450759755198066,0.6026572905219566,0.09029155599717248,0.09386775692719224,0.36297524169934275,-0.49647512418934214,-0.2512222302999334,-0.2632830692662026,B-,B-,E,E,B-,C-,C-,D,E,B-,C,C,C-,B-,C-,C-
