,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,-0.00861362973676143,0.08875992652344253,0.030171397894821945,0.008126498736482706,0.13163706762898533,-0.5504974253318092,-0.29711363880272035,-0.08536140044107977,0.10011403621161592,0.06282766144801569,0.07445622779051819,-0.1351580489082423,0.16764318653962618,-0.482787634814856,0.042916410720553695,-0.024284023001824084,C,C,C,C,C,C-,C-,C,C,C,C,C,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.40326889440511693,1.1817888643359085,0.5484267708366031,0.5485814799206816,0.27824795275802056,1.9331721868312786,-1.3298323754590846,0.5090933962326464,0.5059507458408543,0.21487952909022678,0.828192322525426,0.8296013251578341,0.39925735454123235,2.042392599323219,-1.2508324961323136,0.509920197192354,B-,B,B-,B-,B-,A,D-,B-,B-,C,B,B,D-,B-,A,B-
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,-1.6835783658406633,0.41889499640835076,0.3585586414006509,0.3587127900174582,0.27824795275802056,-0.3021242390889698,-1.3721007390393947,-0.27762699476922104,0.1355602504035795,-0.3769956177317183,-0.9242750436156948,-0.9227886151857758,-1.185060012853018,0.35648476333422197,-0.08378609028143195,-0.42869433798997675,D-,B-,B-,B-,B-,C-,D-,C-,C,C-,D,D,C,D,B-,C-
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.40326889440511693,-0.056920869893974047,0.5484267708366031,0.5485814799206816,0.19084745346738471,1.4528111496051272,-0.7053578205357728,0.3402367225435952,0.37939479252540254,0.42341549501351905,0.5128460948249813,0.5142690297756988,0.37991086956113046,0.6077753263513301,-0.166892556003669,0.3786741502926276,B-,C,B-,B-,C,A-,C-,B-,B-,B-,B-,B-,C,B-,B-,B-
4,Madison & Cortland Counties PUMA,0.40326889440511693,-2.3193952178579376,0.5484267708366031,0.5485814799206816,#DIV/0!,0.5793008382630617,0.48998014947652724,#DIV/0!,-0.6783363114110685,-0.2885694548060012,0.5487796961208057,0.5502010434883295,-1.067920607324744,0.3111040145837979,-0.9573550567092938,-0.22601381086545347,B-,E,B-,B-,#DIV!0,B-,B-,#DIV!0,C-,C-,B-,B-,D,D,B-,C
5,Ontario & Yates Counties PUMA,0.40326889440511693,0.5404591404922726,0.5484267708366031,0.5485814799206816,0.27824795275802056,0.5900942836572589,-0.9636881191250152,0.27791291470641977,-1.8080075225321781,0.9592937159920946,-0.43353194214601365,-0.4320671952473679,0.15830089778240466,-0.8023655388250486,-0.9888057124713807,-0.4781690424924986,B-,B-,B-,B-,B-,B-,D,B-,E,B,C-,C-,D,C,D,C-
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.40326889440511693,0.9702870899594779,-2.7981117435360634,-2.797966913020415,0.27824795275802056,-2.5001567806101854,-1.85366725409312,-1.1854426791624526,0.5059507458408543,0.9314304732848645,0.42007630958307945,0.4215033431976271,0.030861704364470093,0.6985839722036948,0.07570256646035986,0.44058701641927855,B-,B,E,E,B-,E,E,D,B-,B,B-,B-,C,C,B-,B-
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,-0.9866606748434527,-0.4219503428874608,0.5484267708366031,0.5485814799206816,#DIV/0!,0.32996695235566104,0.0826123835267053,#DIV/0!,0.5059507458408543,0.4382667826108745,1.245251733315574,1.2466423098373944,#DIV/0!,0.7152080252434253,0.5809519031402959,#DIV/0!,D,C-,B-,B-,#DIV!0,B-,C,#DIV!0,B-,B-,B,B,B-,#DIV!0,B-,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.40326889440511693,0.9167092242761411,0.0668569929799616,0.06701028052952497,#DIV/0!,0.8635136704315711,3.876646357165234,#DIV/0!,0.001220388187671458,-0.5650518227164884,0.2609974973728733,0.2624315592517644,0.9066204874533014,-1.262269479412077,0.7092305482840694,0.04473988263158779,B-,B,C,C,#DIV!0,B,A,#DIV!0,C,C-,B-,B-,B-,B,D-,C
9,NYC-Manhattan Community District 8--Upper East Side PUMA,-0.027029711717440574,0.7035936434887111,0.1872466507812941,0.18740029370626038,0.17433790933672094,0.13762549772919266,0.4597143814509917,0.2604126663965329,0.5059507458408543,-2.7005064686633786,-0.7660340834797457,-0.7645546462970101,#DIV/0!,-1.1523399694809109,0.06705824412286931,#DIV/0!,C,B-,C,C,C,C,B-,B-,B-,E,D,D,C,#DIV!0,D,#DIV!0
