,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,548090,117122,51823,65299,307012,159480,147532,123956,77783,46173
1,Westchester County (Southwest)--Yonkers City PUMA,13277,2913,1375,1538,7558,4095,3463,2806,1695,1111
2,St. Lawrence County PUMA,233,63,23,40,131,81,50,39,30,9
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",11220,2126,758,1368,7253,3801,3452,1841,1126,715
4,Erie County (Central) PUMA,235,51,36,15,130,83,47,54,54,0
5,Monroe County (South) PUMA,592,246,109,137,250,104,146,96,70,26
6,Onondaga County (North) PUMA,333,163,17,146,161,89,72,9,0,9
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",9895,1210,538,672,6830,3565,3265,1855,1077,778
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",654,51,27,24,368,223,145,235,235,0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,2703,287,107,180,1837,787,1050,579,224,355
10,Suffolk County (Northwest)--Smithtown Town PUMA,700,222,118,104,418,338,80,60,60,0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3336,760,238,522,2031,1021,1010,545,345,200
12,Dutchess County (Southwest) PUMA,3532,646,310,336,2006,1089,917,880,602,278
13,Ulster County (East) PUMA,1232,324,130,194,673,443,230,235,135,100
14,Orange County (Northwest) PUMA,2569,363,90,273,1733,1028,705,473,378,95
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",6101,1264,477,787,3473,1914,1559,1364,1087,277
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",2155,1802,1008,794,329,192,137,24,0,24
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2581,424,192,232,1111,572,539,1046,737,309
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",6439,870,333,537,3557,1837,1720,2012,1199,813
19,Monroe County (Central)--Greece & Gates Towns PUMA,468,221,103,118,212,108,104,35,22,13
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,6645,1585,481,1104,3146,1718,1428,1914,1283,631
21,Orange County (Northeast)--Greater Newburgh City PUMA,3522,549,123,426,1959,914,1045,1014,659,355
22,Suffolk County (East) PUMA,6617,838,657,181,4469,2424,2045,1310,917,393
23,Tompkins County PUMA,527,309,238,71,216,113,103,2,2,0
24,Monroe County (Central)--Rochester City (East) PUMA,730,77,13,64,451,236,215,202,117,85
25,Ontario & Yates Counties PUMA,285,0,0,0,125,85,40,160,98,62
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",12036,1979,833,1146,7254,4001,3253,2803,1503,1300
27,Chautauqua County PUMA,260,7,0,7,206,20,186,47,47,0
28,Genesee & Orleans Counties PUMA,372,16,16,0,160,79,81,196,183,13
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1680,477,305,172,721,260,461,482,332,150
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,142,12,12,0,75,29,46,55,16,39
31,Westchester County (Central)--White Plains City PUMA,8213,2282,743,1539,4120,2150,1970,1811,1360,451
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2312,615,286,329,1165,599,566,532,232,300
33,Cattaraugus & Allegany Counties PUMA,35,0,0,0,21,10,11,14,14,0
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4861,1220,622,598,2433,1317,1116,1208,505,703
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,3975,682,404,278,1644,782,862,1649,1269,380
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9520,2298,1156,1142,4614,2330,2284,2608,1530,1078
37,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,2920,493,171,322,1646,852,794,781,500,281
38,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2368,1220,468,752,742,326,416,406,161,245
39,Livingston & Wyoming Counties PUMA,269,21,21,0,77,9,68,171,152,19
40,Albany County (Outside Albany City) PUMA,419,115,55,60,242,117,125,62,32,30
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,3143,763,279,484,1785,989,796,595,226,369
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2574,390,195,195,1209,618,591,975,724,251
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3218,966,252,714,1742,1003,739,510,257,253
44,Erie County (South) PUMA,286,102,17,85,156,87,69,28,28,0
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,4041,2553,1076,1477,1099,465,634,389,237,152
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",6723,1182,494,688,3689,1946,1743,1852,1195,657
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,3175,918,452,466,1466,459,1007,791,432,359
48,Dutchess County (North & East) PUMA,1556,104,42,62,943,595,348,509,400,109
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,732,159,55,104,359,235,124,214,176,38
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,10411,1327,762,565,4599,2684,1915,4485,2895,1590
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",9747,1995,862,1133,5638,2911,2727,2114,1278,836
52,Warren & Washington Counties PUMA,54,10,0,10,34,5,29,10,10,0
53,Oswego County PUMA,133,33,24,9,100,62,38,0,0,0
54,Erie County (Northeast) PUMA,203,108,108,0,95,50,45,0,0,0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,59,13,13,0,26,5,21,20,20,0
56,Saratoga County (South & Central) PUMA,329,139,93,46,173,86,87,17,17,0
57,Columbia & Greene Counties PUMA,423,77,35,42,204,175,29,142,126,16
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6741,2231,1005,1226,3549,1765,1784,961,512,449
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,5336,1952,988,964,3202,1696,1506,182,88,94
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,5780,1248,566,682,3404,1537,1867,1128,591,537
61,Erie County (North Central) PUMA,379,317,65,252,62,32,30,0,0,0
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3268,367,192,175,1655,635,1020,1246,606,640
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,2242,344,91,253,1529,1042,487,369,200,169
64,Madison & Cortland Counties PUMA,90,37,0,37,50,0,50,3,0,3
65,Westchester County (Northwest) PUMA,7421,1288,510,778,4454,2573,1881,1679,1143,536
66,NYC-Brooklyn Community District 4--Bushwick PUMA,10157,1809,821,988,5344,3055,2289,3004,1851,1153
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1606,546,153,393,630,423,207,430,226,204
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",25239,5888,2550,3338,14531,6840,7691,4820,2977,1843
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2303,871,381,490,1073,498,575,359,112,247
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2890,431,187,244,1330,612,718,1129,679,450
71,Suffolk County (Central)--Islip Town (East) PUMA,879,234,105,129,537,169,368,108,34,74
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,3648,619,343,276,1917,965,952,1112,582,530
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",11960,1987,763,1224,7572,3822,3750,2401,1201,1200
74,Erie County (West Central)--Buffalo City (East) PUMA,295,46,0,46,188,59,129,61,48,13
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1521,454,167,287,759,279,480,308,169,139
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,167,30,0,30,112,87,25,25,13,12
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2318,1848,905,943,399,122,277,71,52,19
78,Jefferson & Lewis Counties PUMA,947,194,130,64,595,197,398,158,152,6
79,Fulton & Montgomery Counties PUMA,331,22,22,0,165,92,73,144,137,7
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",8549,2357,977,1380,4580,2092,2488,1612,1001,611
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1964,812,185,627,936,228,708,216,122,94
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,26813,3312,1601,1711,17263,9079,8184,6238,4385,1853
83,Monroe County (North & West) PUMA,180,58,58,0,91,41,50,31,31,0
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10867,1133,471,662,7070,3649,3421,2664,1393,1271
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",80,48,34,14,32,18,14,0,0,0
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1800,230,106,124,906,405,501,664,396,268
87,NYC-Manhattan Community District 8--Upper East Side PUMA,4665,2889,932,1957,1601,904,697,175,126,49
88,"Chenango, Delaware & Broome (East) Counties PUMA",182,24,12,12,132,84,48,26,26,0
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",9806,1793,698,1095,6101,2883,3218,1912,1277,635
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2897,826,283,543,1777,904,873,294,223,71
91,Monroe County (Central)--Rochester City (West) PUMA,519,111,54,57,366,129,237,42,0,42
92,Erie County (Northwest) PUMA,43,0,0,0,26,26,0,17,17,0
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,17194,2247,1332,915,10143,6357,3786,4804,3410,1394
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",234,100,0,100,53,6,47,81,81,0
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,13513,1273,762,511,7855,4197,3658,4385,2849,1536
96,Rensselaer County--Troy City PUMA,397,120,61,59,174,119,55,103,103,0
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",3879,984,490,494,2396,1212,1184,499,223,276
98,Erie County (West Central)--Buffalo City (West) PUMA,744,348,239,109,279,103,176,117,56,61
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,5278,614,244,370,3361,1621,1740,1303,890,413
100,Cayuga & Onondaga (South) Counties PUMA,328,81,56,25,153,132,21,94,42,52
101,Sullivan & Ulster (West) Counties PUMA,1192,178,94,84,681,419,262,333,333,0
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,257,156,76,80,101,66,35,0,0,0
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1733,475,188,287,877,336,541,381,170,211
104,Rockland County (North)--New City & Congers PUMA,3320,518,204,314,1769,994,775,1033,587,446
105,Saratoga County (Outer) PUMA,250,168,68,100,66,29,37,16,16,0
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,8081,865,421,444,4303,2297,2006,2913,2013,900
107,Putnam County PUMA,2483,676,211,465,1243,935,308,564,328,236
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3766,556,314,242,2031,1231,800,1179,981,198
109,Orange County (Southeast) PUMA,1975,488,199,289,1159,698,461,328,225,103
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,435,203,110,93,162,62,100,70,61,9
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",3469,512,268,244,1766,793,973,1191,891,300
112,Monroe County (East) PUMA,423,172,93,79,251,78,173,0,0,0
113,NYC-Manhattan Community District 10--Central Harlem PUMA,3998,1184,430,754,2159,722,1437,655,183,472
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,3393,660,328,332,2210,1228,982,523,261,262
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2201,446,157,289,1513,757,756,242,154,88
116,Wayne & Seneca Counties PUMA,387,183,117,66,166,56,110,38,38,0
117,Schenectady County--Schenectady City PUMA,500,199,31,168,195,107,88,106,57,49
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1729,258,72,186,1106,516,590,365,289,76
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",4430,2405,1808,597,1394,611,783,631,371,260
120,Westchester County (Northeast) PUMA,4083,1089,341,748,1515,738,777,1479,1188,291
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,2788,790,393,397,1514,764,750,484,309,175
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,9244,1994,827,1167,5600,3104,2496,1650,983,667
