,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,22.539575014261267,19.518614649734314,26.054325482376804,57.663826297775245,57.6840332680304,57.64031640370397,19.796598687963492,22.797352082235285,16.30535811391922
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,21.346595256312163,15.817307692307692,27.593699076588813,65.77403723539913,77.78846153846153,52.19989136338946,12.879367508288702,6.394230769230768,20.206409560021726
2,"Chenango, Delaware & Broome (East) Counties PUMA",5.594405594405594,5.594405594405594,#DIV/0!,94.4055944055944,94.4055944055944,#DIV/0!,0.0,0.0,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,13.3477438530127,8.678258193568242,19.93918331885317,62.70377375484103,65.68702877365749,58.49261511728932,23.948482392146268,25.634713032774275,21.568201563857514
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15.403752461905256,11.469933184855234,18.828776420399457,54.79423655022286,56.369710467706014,53.422532480124104,29.80201098787188,32.16035634743875,27.748691099476442
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",19.39695902413882,12.522918958562524,25.456602553741714,59.78867794862984,61.84451778511184,57.97640213350574,20.814363027231337,25.63256325632563,16.566995312752546
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",46.666666666666664,#DIV/0!,46.666666666666664,53.333333333333336,#DIV/0!,53.333333333333336,0.0,#DIV/0!,0.0
8,Erie County (Northwest) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,40.98468271334792,36.54042988741044,44.30428134556575,46.67396061269147,42.93756397134084,49.464831804281346,12.341356673960613,20.52200614124872,6.230886850152905
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",98.74791318864776,100.0,96.74620390455532,1.2520868113522539,0.0,3.2537960954446854,0.0,0.0,0.0
11,Saratoga County (South & Central) PUMA,82.50539956803455,100.0,0.0,17.49460043196544,0.0,100.0,0.0,0.0,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,41.65464165464166,60.0828729281768,31.808118081180815,44.44444444444444,0.0,68.19188191881919,13.9009139009139,39.9171270718232,0.0
13,Columbia & Greene Counties PUMA,26.153846153846157,43.75,0.0,50.32967032967033,16.911764705882355,100.0,23.516483516483515,39.338235294117645,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,22.338015405527866,9.878682842287695,35.99240265906933,69.37018577254192,90.1213171577123,46.628679962013294,8.291798821930222,0.0,17.37891737891738
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,14.357517482517482,8.142758142758142,24.970414201183434,41.89248251748251,43.000693000693005,40.0,43.75,48.85654885654886,35.02958579881657
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,34.904923157072155,37.55482456140351,32.50620347394541,43.08413649387862,29.385964912280706,55.483870967741936,22.010940349049232,33.05921052631579,12.009925558312656
17,Putnam County PUMA,9.33452434122376,3.349282296650718,20.618556701030926,67.39615899955336,80.31442241968558,43.04123711340206,23.269316659222866,16.336295283663706,36.340206185567006
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,13.667117726657645,16.570327552986512,10.43602573266619,67.11772665764548,66.92357096981374,67.33380986418871,19.215155615696887,16.506101477199746,22.230164403145103
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,8.68111289459604,7.302631578947369,10.83676268861454,76.91724629926877,75.29239766081871,79.45816186556928,14.401640806135187,17.40497076023392,9.705075445816187
20,Rockland County (North)--New City & Congers PUMA,21.8520782396088,30.88142041851617,13.451327433628318,55.56234718826406,39.44197844007609,70.56047197640119,22.58557457212714,29.676601141407737,15.988200589970504
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",20.683519905107868,27.26307808946171,14.389324049898464,49.26977537252576,43.45716451857468,54.83028720626631,30.046704722366375,29.279757391963606,30.780388743835218
