,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,337442,65706,29126,36580,202282,109705,92577,69454,42746,26708
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,2479,400,83,317,1707,1095,612,372,0,372
2,"Chenango, Delaware & Broome (East) Counties PUMA",129,8,8,0,121,121,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,6115,667,405,262,4066,2473,1593,1382,852,530
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3286,686,314,372,1746,1018,728,854,369,485
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3866,209,0,209,2279,1530,749,1378,932,446
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,122,0,0,0,0,0,0,122,122,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,1954,250,0,250,1353,460,893,351,188,163
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,0,0,0,0,0,0,0
11,Saratoga County (South & Central) PUMA,81,0,0,0,81,0,81,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,871,381,315,66,310,0,310,180,180,0
13,Columbia & Greene Counties PUMA,129,0,0,0,84,20,64,45,45,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,224,154,0,154,70,0,70,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,3480,106,106,0,1678,1191,487,1696,1298,398
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1920,768,454,314,556,241,315,596,469,127
17,Putnam County PUMA,1300,0,0,0,1134,960,174,166,166,0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1223,404,258,146,594,243,351,225,0,225
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,16758,1700,872,828,13199,8164,5035,1859,1380,479
20,Rockland County (North)--New City & Congers PUMA,2662,500,272,228,1503,527,976,659,468,191
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",11294,2133,1393,740,5737,2094,3643,3424,1502,1922
22,Orange County (Northwest) PUMA,2357,1077,267,810,924,385,539,356,356,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1199,374,0,374,825,455,370,0,0,0
24,Dutchess County (Southwest) PUMA,1048,79,0,79,875,718,157,94,0,94
25,Westchester County (Northwest) PUMA,5299,1471,645,826,2140,1598,542,1688,949,739
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,531,247,0,247,209,209,0,75,0,75
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3501,972,275,697,1331,621,710,1198,547,651
28,Saratoga County (Outer) PUMA,0,0,0,0,0,0,0,0,0,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,7806,2007,1276,731,4287,2567,1720,1512,906,606
30,Erie County (South) PUMA,391,133,0,133,258,258,0,0,0,0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",4605,353,0,353,3295,1719,1576,957,423,534
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1547,397,312,85,1029,192,837,121,0,121
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1009,0,0,0,500,295,205,509,152,357
34,St. Lawrence County PUMA,236,44,32,12,192,192,0,0,0,0
35,Genesee & Orleans Counties PUMA,160,0,0,0,0,0,0,160,160,0
36,Monroe County (Central)--Rochester City (West) PUMA,256,0,0,0,256,0,256,0,0,0
37,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0
38,Warren & Washington Counties PUMA,23,0,0,0,23,23,0,0,0,0
39,Erie County (North Central) PUMA,0,0,0,0,0,0,0,0,0,0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",348,0,0,0,142,70,72,206,206,0
41,Dutchess County (North & East) PUMA,824,0,0,0,0,0,0,824,655,169
42,Tompkins County PUMA,468,468,468,0,0,0,0,0,0,0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",1015,335,87,248,515,0,515,165,165,0
44,Onondaga County (Central)--Syracuse City PUMA,1120,404,369,35,652,508,144,64,64,0
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,900,298,74,224,475,350,125,127,79,48
