,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,19.471790707736442,16.040577826486835,23.469027684213902,59.945709188542025,60.41789433683782,59.3956308343759,20.58250010372153,23.54152783667535,17.135341481410194
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,16.135538523598225,7.045840407470289,24.36587240584166,68.85841064945542,92.9541595925297,47.04073789392775,15.00605082694635,0.0,28.593389700230592
2,"Chenango, Delaware & Broome (East) Counties PUMA",6.2015503875969,6.2015503875969,#DIV/0!,93.7984496124031,93.7984496124031,#DIV/0!,0.0,0.0,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10.907604251839738,10.857908847184987,10.985324947589097,66.49223221586263,66.30026809651474,66.79245283018868,22.60016353229763,22.841823056300267,22.22222222222222
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",20.87644552647596,18.459729570840683,23.470031545741325,53.13451004260499,59.847148736037624,45.93059936908517,25.98904443091905,21.693121693121693,30.5993690851735
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",5.406104500775996,0.0,14.886039886039887,58.94981893429902,62.144597887896026,53.34757834757835,35.64407656492499,37.85540211210398,31.76638176638177
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8,Erie County (Northwest) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,12.794268167860798,0.0,19.142419601837673,69.24257932446264,70.98765432098766,68.37672281776418,17.96315250767656,29.01234567901235,12.480857580398162
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11,Saratoga County (South & Central) PUMA,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0,0.0,#DIV/0!,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,43.74282433983927,63.63636363636363,17.5531914893617,35.59127439724455,0.0,82.4468085106383,20.66590126291619,36.36363636363637,0.0
13,Columbia & Greene Counties PUMA,0.0,0.0,0.0,65.11627906976744,30.76923076923077,100.0,34.883720930232556,69.23076923076923,0.0
