,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,398970,202937,96102,106835,163514,82291,81223,32519,17789,14730
1,Westchester County (Southwest)--Yonkers City PUMA,5353,2128,1028,1100,2491,1176,1315,734,388,346
2,St. Lawrence County PUMA,1061,422,158,264,466,308,158,173,129,44
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4848,1509,588,921,2454,1239,1215,885,505,380
4,Erie County (Central) PUMA,1380,321,98,223,856,467,389,203,96,107
5,Monroe County (South) PUMA,2216,1363,662,701,737,470,267,116,54,62
6,Onondaga County (North) PUMA,1451,597,321,276,761,263,498,93,68,25
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",387,64,60,4,184,90,94,139,119,20
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",741,243,50,193,377,200,177,121,99,22
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,2481,895,401,494,1333,695,638,253,124,129
10,Suffolk County (Northwest)--Smithtown Town PUMA,1452,774,426,348,604,349,255,74,29,45
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",726,192,120,72,472,277,195,62,38,24
12,Dutchess County (Southwest) PUMA,1636,721,287,434,716,344,372,199,56,143
13,Ulster County (East) PUMA,939,400,128,272,489,377,112,50,50,0
14,Orange County (Northwest) PUMA,881,288,145,143,448,209,239,145,116,29
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",3568,1203,620,583,1960,1112,848,405,165,240
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",7055,6028,3022,3006,624,233,391,403,201,202
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",7681,2623,1187,1436,4050,2132,1918,1008,650,358
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",4318,2034,977,1057,2027,1188,839,257,146,111
19,Monroe County (Central)--Greece & Gates Towns PUMA,1784,368,207,161,1180,713,467,236,147,89
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4766,1930,986,944,2201,1233,968,635,255,380
21,Orange County (Northeast)--Greater Newburgh City PUMA,829,329,167,162,393,212,181,107,67,40
22,Suffolk County (East) PUMA,3071,1074,605,469,1865,719,1146,132,64,68
23,Tompkins County PUMA,1041,804,397,407,237,135,102,0,0,0
24,Monroe County (Central)--Rochester City (East) PUMA,452,115,80,35,315,207,108,22,22,0
25,Ontario & Yates Counties PUMA,667,456,328,128,194,31,163,17,0,17
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1037,244,225,19,390,272,118,403,156,247
27,Chautauqua County PUMA,322,131,80,51,172,95,77,19,19,0
28,Genesee & Orleans Counties PUMA,119,6,0,6,99,51,48,14,14,0
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",21739,12615,5754,6861,8055,3994,4061,1069,677,392
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,1324,568,303,265,558,260,298,198,125,73
31,Westchester County (Central)--White Plains City PUMA,4302,3170,1563,1607,984,418,566,148,88,60
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,5833,3024,1391,1633,2389,1079,1310,420,183,237
33,Cattaraugus & Allegany Counties PUMA,262,130,26,104,106,61,45,26,14,12
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7243,3375,1634,1741,3260,1537,1723,608,336,272
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,1076,568,267,301,391,148,243,117,72,45
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2271,1656,778,878,559,379,180,56,56,0
