,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,51.291694042995964,47.310913172271704,55.25401594645744,41.0051821154382,44.130338967415256,37.89451668358576,7.703123841565833,8.558747860313035,6.851467369956793
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,27.91327913279133,26.794258373205743,28.7396937573616,67.54742547425474,62.51993620414673,71.26030624263839,4.539295392953929,10.685805422647528,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",19.209558823529413,28.95204262877442,8.761904761904763,80.79044117647058,71.04795737122558,91.23809523809524,0.0,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,100.0,#DIV/0!,100.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,25.0,0.0,31.94029850746269,75.0,100.0,68.05970149253731,0.0,0.0,0.0
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",38.282603316010885,27.23381487426431,47.790055248618785,55.01113585746103,67.95077581594435,43.87661141804789,6.706260826528087,4.815409309791333,8.333333333333332
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",33.05171240644137,27.047504509921826,38.407896148481925,60.58063052846451,65.7726999398677,55.94893251797017,6.367657065094126,7.179795550210463,5.643171333547903
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",47.01195219123506,0.0,53.39366515837104,52.98804780876494,100.0,46.60633484162896,0.0,0.0,0.0
8,Erie County (Northwest) PUMA,72.19101123595506,100.0,0.0,27.808988764044944,0.0,100.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,88.3312595050463,77.37871884213348,100.0,11.668740494953685,22.621281157866523,0.0,0.0,0.0,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",81.53183023872678,84.6311475409836,80.04901960784314,10.908488063660478,4.30327868852459,14.068627450980392,7.5596816976127315,11.065573770491802,5.88235294117647
