,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,7438493,2923300,1333412,1589888,3952567,2012532,1940035,562626,312821,249805
1,Westchester County (Southwest)--Yonkers City PUMA,61296,23475,9882,13593,32692,16801,15891,5129,2214,2915
2,St. Lawrence County PUMA,52251,12250,5666,6584,34724,18336,16388,5277,3175,2102
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",41655,17192,8717,8475,21973,11435,10538,2490,1254,1236
4,Erie County (Central) PUMA,76083,19621,8669,10952,52636,26868,25768,3826,1999,1827
5,Monroe County (South) PUMA,76714,44066,21154,22912,30576,15502,15074,2072,1219,853
6,Onondaga County (North) PUMA,65590,24937,12010,12927,38455,18905,19550,2198,1411,787
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",55682,9556,3459,6097,34315,15431,18884,11811,5856,5955
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",89917,19373,8034,11339,60838,33560,27278,9706,6910,2796
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,45692,15269,6920,8349,28396,14552,13844,2027,1166,861
10,Suffolk County (Northwest)--Smithtown Town PUMA,54098,28218,13189,15029,24963,12833,12130,917,609,308
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",34700,9311,3230,6081,20950,9995,10955,4439,1989,2450
12,Dutchess County (Southwest) PUMA,73611,25141,11475,13666,43037,22562,20475,5433,2912,2521
13,Ulster County (East) PUMA,71756,22578,10221,12357,44317,23127,21190,4861,2839,2022
14,Orange County (Northwest) PUMA,57013,14962,6148,8814,37303,19578,17725,4748,2949,1799
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",38237,9473,3366,6107,23152,11484,11668,5612,3065,2547
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",74548,65694,33200,32494,8207,4572,3635,647,419,228
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",38758,12312,6332,5980,21617,10654,10963,4829,3245,1584
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",62287,19576,8179,11397,36500,18930,17570,6211,2988,3223
19,Monroe County (Central)--Greece & Gates Towns PUMA,61332,18480,7966,10514,39775,19332,20443,3077,1747,1330
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,62885,32825,14924,17901,26713,13638,13075,3347,1922,1425
21,Orange County (Northeast)--Greater Newburgh City PUMA,52336,15985,6965,9020,33216,16849,16367,3135,1602,1533
22,Suffolk County (East) PUMA,56083,22713,10631,12082,30786,15502,15284,2584,1654,930
23,Tompkins County PUMA,40215,19862,9419,10443,18241,8708,9533,2112,1360,752
24,Monroe County (Central)--Rochester City (East) PUMA,54397,15752,7999,7753,30273,14115,16158,8372,4491,3881
25,Ontario & Yates Counties PUMA,65820,21077,9515,11562,38952,19489,19463,5791,3447,2344
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",28354,5496,2068,3428,16591,8411,8180,6267,3556,2711
27,Chautauqua County PUMA,64960,13689,5960,7729,44796,22774,22022,6475,3863,2612
28,Genesee & Orleans Counties PUMA,52177,10102,4203,5899,37587,19546,18041,4488,2628,1860
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",29161,11571,5443,6128,15458,7905,7553,2132,1210,922
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,53105,16336,7784,8552,32320,16375,15945,4449,2149,2300
31,Westchester County (Central)--White Plains City PUMA,59329,40665,18544,22121,17239,9598,7641,1425,863,562
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,35305,26924,12797,14127,7760,3939,3821,621,332,289
33,Cattaraugus & Allegany Counties PUMA,60649,11907,5167,6740,42671,21650,21021,6071,3497,2574
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,67184,38167,18967,19200,23053,12032,11021,5964,3265,2699
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,43352,26199,12291,13908,16281,8524,7757,872,416,456
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",40374,23714,11152,12562,13636,6503,7133,3024,1637,1387
37,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,35499,18868,8525,10343,14988,8245,6743,1643,991,652
38,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",59832,46429,21959,24470,11101,5943,5158,2302,1245,1057
39,Livingston & Wyoming Counties PUMA,53716,10833,4711,6122,37803,21036,16767,5080,3261,1819
40,Albany County (Outside Albany City) PUMA,93708,38904,18194,20710,50941,25463,25478,3863,2216,1647
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,62038,35924,18963,16961,19476,9721,9755,6638,3675,2963
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,41437,27062,12958,14104,13528,7212,6316,847,403,444
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",29541,16082,7703,8379,12847,6701,6146,612,381,231
44,Erie County (South) PUMA,88983,30710,13724,16986,54742,28777,25965,3531,2148,1383
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,86847,71080,31959,39121,13909,7502,6407,1858,1039,819
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",55838,13085,4765,8320,36932,18342,18590,5821,3248,2573
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,55718,19194,7939,11255,28063,13839,14224,8461,4169,4292
48,Dutchess County (North & East) PUMA,59940,21383,9625,11758,34556,18080,16476,4001,2802,1199
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,72225,19413,9100,10313,45742,23565,22177,7070,4416,2654
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,31609,16526,7253,9273,11284,6471,4813,3799,2179,1620
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",44950,4499,1595,2904,26013,12731,13282,14438,7719,6719
52,Warren & Washington Counties PUMA,66826,15323,6120,9203,45623,23783,21840,5880,4147,1733
53,Oswego County PUMA,61480,11227,4723,6504,43205,22298,20907,7048,4194,2854
54,Erie County (Northeast) PUMA,56788,21535,9831,11704,33197,17126,16071,2056,1590,466
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,58423,12827,5069,7758,40922,21584,19338,4674,2729,1945
56,Saratoga County (South & Central) PUMA,54427,25998,12245,13753,26563,13712,12851,1866,949,917
57,Columbia & Greene Counties PUMA,54454,13527,5961,7566,35674,18205,17469,5253,3491,1762
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",32279,15455,6681,8774,15329,8288,7041,1495,704,791
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,26775,18102,8381,9721,8005,4615,3390,668,437,231
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,30407,8852,3739,5113,18418,9718,8700,3137,1699,1438
61,Erie County (North Central) PUMA,50907,28709,13543,15166,21058,10176,10882,1140,656,484
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,36978,5661,1906,3755,23027,9090,13937,8290,3508,4782
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,46583,14440,6144,8296,29313,14677,14636,2830,1679,1151
64,Madison & Cortland Counties PUMA,57955,16048,6982,9066,37580,19573,18007,4327,2574,1753
65,Westchester County (Northwest) PUMA,53872,29125,13367,15758,22382,12217,10165,2365,1651,714
66,NYC-Brooklyn Community District 4--Bushwick PUMA,41107,15667,7503,8164,18302,9368,8934,7138,3607,3531
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",40546,22389,10677,11712,16521,8445,8076,1636,755,881
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",55714,30694,14459,16235,20242,11965,8277,4778,2946,1832
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,64176,43273,20268,23005,16768,8311,8457,4135,2020,2115
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",38109,12088,5508,6580,20342,9874,10468,5679,2635,3044
71,Suffolk County (Central)--Islip Town (East) PUMA,47563,19112,8620,10492,26931,13810,13121,1520,978,542
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,36597,17997,7526,10471,15262,7602,7660,3338,1958,1380
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",28498,5464,1649,3815,16191,7033,9158,6843,3538,3305
74,Erie County (West Central)--Buffalo City (East) PUMA,66903,11264,4780,6484,46718,21552,25166,8921,3887,5034
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,37606,19944,9176,10768,16808,8955,7853,854,488,366
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,54392,12532,5875,6657,37856,18818,19038,4004,2001,2003
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",70029,60054,27911,32143,9196,5359,3837,779,199,580
78,Jefferson & Lewis Counties PUMA,69565,13683,6253,7430,50196,27055,23141,5686,3498,2188
79,Fulton & Montgomery Counties PUMA,52738,9218,3808,5410,36727,18734,17993,6793,4022,2771
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",31127,14969,6793,8176,13226,6884,6342,2932,1236,1696
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,49815,24561,10998,13563,20152,9790,10362,5102,2253,2849
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,22177,9295,5138,4157,10656,5994,4662,2226,1423,803
83,Monroe County (North & West) PUMA,52082,19080,8277,10803,31247,16329,14918,1755,1019,736
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,40868,6539,2115,4424,28037,13045,14992,6292,2527,3765
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",51646,9362,3949,5413,37684,19369,18315,4600,2589,2011
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,17737,4778,2024,2754,8996,4390,4606,3963,2107,1856
87,NYC-Manhattan Community District 8--Upper East Side PUMA,99095,85399,36475,48924,12341,5408,6933,1355,825,530
88,"Chenango, Delaware & Broome (East) Counties PUMA",54141,10514,4376,6138,37586,19259,18327,6041,3532,2509
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",49274,15267,7423,7844,29758,15293,14465,4249,2100,2149
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,48769,18109,7360,10749,27129,13509,13620,3531,2106,1425
91,Monroe County (Central)--Rochester City (West) PUMA,45129,8595,4175,4420,29593,13663,15930,6941,3788,3153
92,Erie County (Northwest) PUMA,56017,20271,8813,11458,33901,17330,16571,1845,1015,830
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,15468,5235,2891,2344,8306,4634,3672,1927,916,1011
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",52692,13073,5717,7356,35524,18160,17364,4095,2325,1770
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,32005,6965,2861,4104,20966,10966,10000,4074,2205,1869
96,Rensselaer County--Troy City PUMA,81178,25148,11335,13813,51208,25465,25743,4822,2811,2011
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",49770,15741,6536,9205,30842,15806,15036,3187,1848,1339
98,Erie County (West Central)--Buffalo City (West) PUMA,54472,21104,10510,10594,27597,14310,13287,5771,2814,2957
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,56264,16873,7772,9101,36761,19015,17746,2630,1620,1010
100,Cayuga & Onondaga (South) Counties PUMA,59086,16655,7451,9204,36719,19407,17312,5712,3881,1831
101,Sullivan & Ulster (West) Counties PUMA,52139,13017,5708,7309,33926,18527,15399,5196,3022,2174
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,51842,14416,5969,8447,33734,18025,15709,3692,2435,1257
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",24393,8119,2531,5588,14443,6944,7499,1831,1035,796
104,Rockland County (North)--New City & Congers PUMA,38380,17991,7856,10135,18066,9473,8593,2323,1256,1067
105,Saratoga County (Outer) PUMA,61001,19908,9213,10695,37786,19235,18551,3307,2061,1246
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,36581,11075,4370,6705,22524,10714,11810,2982,1700,1282
107,Putnam County PUMA,47451,20624,9134,11490,25392,13429,11963,1435,910,525
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,32186,11382,5194,6188,17421,8911,8510,3383,1708,1675
109,Orange County (Southeast) PUMA,51805,18821,8653,10168,29909,15130,14779,3075,1750,1325
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,78031,31833,14842,16991,43360,21473,21887,2838,1557,1281
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",27773,9022,4300,4722,15487,7515,7972,3264,1989,1275
112,Monroe County (East) PUMA,63947,29028,13623,15405,32368,15160,17208,2551,1268,1283
113,NYC-Manhattan Community District 10--Central Harlem PUMA,56751,22675,9962,12713,27352,13078,14274,6724,3348,3376
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,41391,24147,11725,12422,16536,8442,8094,708,340,368
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,52639,23838,10957,12881,27919,14615,13304,882,484,398
116,Wayne & Seneca Counties PUMA,65157,13458,5867,7591,45776,23572,22204,5923,3757,2166
117,Schenectady County--Schenectady City PUMA,72234,23789,10781,13008,43142,21482,21660,5303,3293,2010
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",28556,12289,5593,6696,14318,7585,6733,1949,1362,587
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",73182,59547,32560,26987,12189,7828,4361,1446,687,759
120,Westchester County (Northeast) PUMA,56521,38530,17899,20631,16598,7884,8714,1393,539,854
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,42834,21995,9644,12351,19910,10261,9649,929,535,394
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,29853,17543,9157,8386,10751,6185,4566,1559,904,655
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",71053,23854,10598,13256,44555,22085,22470,2644,1613,1031
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,50181,15770,7207,8563,32105,17199,14906,2306,1315,991
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,28950,9714,4443,5271,15826,8120,7706,3410,1949,1461
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,42298,23738,11715,12023,17679,8733,8946,881,389,492
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",44084,5328,1950,3378,26100,10993,15107,12656,5947,6709
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,48709,24111,10749,13362,23046,11590,11456,1552,1029,523
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,59195,35440,18054,17386,20023,10996,9027,3732,1762,1970
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,41754,20201,9551,10650,19904,10015,9889,1649,1058,591
131,Westchester County (Southeast) PUMA,38104,26017,12348,13669,11216,5834,5382,871,652,219
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",46397,14003,5202,8801,28809,14616,14193,3585,2021,1564
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,60364,15739,6518,9221,40239,20344,19895,4386,2430,1956
134,Onondaga County (Central)--Syracuse City PUMA,59031,15395,7111,8284,34675,16436,18239,8961,4628,4333
135,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,41718,12174,5504,6670,26925,13914,13011,2619,1337,1282
136,Suffolk County (Southwest)--Islip Town (South) PUMA,48319,19626,8489,11137,27072,14322,12750,1621,1047,574
137,Niagara County (North & East) PUMA,54627,14631,6610,8021,37091,18829,18262,2905,1633,1272
138,NYC-Manhattan Community District 11--East Harlem PUMA,44904,16673,7128,9545,20211,8870,11341,8020,4143,3877
