,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,39.29962695400802,36.44431932633006,42.06355589608564,53.136663568816964,55.0057738061887,51.32737064677671,7.5637094771750135,8.54990686748124,6.609073457137657
1,Westchester County (Southwest)--Yonkers City PUMA,38.29776820673453,34.19732152126518,41.95499861106825,53.33463847559384,58.140983493096165,49.04781011759623,8.367593317671625,7.661694985638648,8.997191271335534
2,St. Lawrence County PUMA,23.44452737746646,20.848511609081207,26.258275504506663,66.45614438001186,67.46881554255437,65.3585387253729,10.099328242521674,11.682672848364426,8.383185770120443
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",41.272356259752726,40.722227412874894,41.85391871203516,52.749969991597645,53.419601980753065,52.04207615190873,5.9776737486496225,5.858170606372045,6.104005136056101
4,Erie County (Central) PUMA,25.788941024933298,23.095161977834614,28.412068384050638,69.18234033884048,71.57928388746802,66.84826315926013,5.028718636226227,5.325554134697357,4.739668456689237
5,Monroe County (South) PUMA,57.44192715801548,55.85214521452146,58.992250057931464,39.85713168391688,40.92937293729373,38.81150390071835,2.7009411580676277,3.2184818481848185,2.1962460413501894
6,Onondaga County (North) PUMA,38.01951516999543,37.15275629524222,38.86183261183261,58.629364232352486,58.48233619996288,58.77224627224628,3.351120597652081,4.364907504794902,2.3659211159211155
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",17.161739880033046,13.97801664915542,19.70843030773209,61.626737545346785,62.357552735795686,61.04215153866046,21.211522574620165,23.664430615048897,19.249418153607447
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",21.545425225485726,16.563582384957943,27.38029121290416,67.66017549517889,69.19016988289626,65.86820563591142,10.794399279335387,14.246247732145804,6.751503151184411
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,33.417228398844436,30.568071384397914,36.21497354038345,62.146546441390186,64.28129693435815,60.05031664787022,4.436225159765385,5.150631681243926,3.7347098117463347
10,Suffolk County (Northwest)--Smithtown Town PUMA,52.16089319383342,49.52498967368856,54.716568973677504,46.144034899626604,48.18820171980023,44.16208541158481,1.695071906539983,2.286808606511209,1.1213456147376852
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",26.832853025936597,21.230445642171684,31.207020424920458,60.37463976945246,65.69606940975417,56.219850148824804,12.792507204610951,13.073484948074142,12.573129426254749
12,Dutchess County (Southwest) PUMA,34.15386287375528,31.056320874719205,37.275653264960994,58.46544674029697,61.06254567106011,55.84801702034804,7.380690385947752,7.8811334542206835,6.876329714690961
13,Ulster County (East) PUMA,31.464964602263223,28.244949843866586,34.74092608732323,61.76068900161658,63.90969132561417,59.57434844949253,6.774346396120184,7.845358830519247,5.684725463184233
14,Orange County (Northwest) PUMA,26.243137530037007,21.440278988666087,31.10311242854118,65.42893725992317,68.27550130775937,62.548521420001414,8.327925210039815,10.284219703574541,6.348366151457407
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",24.77443314067526,18.788724532514653,30.0511760653479,60.54868321259514,64.1027072285794,57.415608699931106,14.676883646729607,17.108568238905946,12.533215234720993
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",88.12308847990556,86.93147600219947,89.3748109029898,11.009014326340075,11.971406875965542,9.998074648623374,0.8678971937543596,1.0971171218349873,0.6271144483868306
