,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,884689,221664,94446,127218,502885,249293,253592,160140,87602,72538
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,3779,1238,324,914,2130,1118,1012,411,312,99
2,"Chenango, Delaware & Broome (East) Counties PUMA",650,152,137,15,423,27,396,75,34,41
3,Cayuga & Onondaga (South) Counties PUMA,1152,432,0,432,275,275,0,445,404,41
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,13755,1698,272,1426,9434,4438,4996,2623,1035,1588
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",14020,3950,1854,2096,7820,4315,3505,2250,1265,985
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",19777,5225,2650,2575,12358,6486,5872,2194,1336,858
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1052,0,0,0,1009,306,703,43,29,14
8,Erie County (Northwest) PUMA,1409,338,0,338,1036,453,583,35,0,35
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,9014,3240,1722,1518,4315,2295,2020,1459,1039,420
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3158,2678,1030,1648,186,186,0,294,148,146
11,Saratoga County (South & Central) PUMA,1612,316,114,202,921,645,276,375,201,174
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,5752,1477,604,873,4049,1405,2644,226,125,101
13,Columbia & Greene Counties PUMA,2035,430,247,183,936,571,365,669,461,208
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7563,1001,432,569,6472,2934,3538,90,90,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1068,439,32,407,601,330,271,28,28,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,4949,1047,765,282,3058,1205,1853,844,273,571
17,Putnam County PUMA,3975,1084,414,670,2574,679,1895,317,238,79
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1619,1084,416,668,402,342,60,133,133,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,11916,2521,1614,907,7099,3846,3253,2296,1608,688
20,Rockland County (North)--New City & Congers PUMA,5436,2837,1262,1575,1988,1180,808,611,444,167
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",23002,2467,813,1654,14410,7497,6913,6125,3235,2890
