,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,25.05558450483729,21.895901386605956,28.06188623309246,56.84313922745733,57.7948769071338,55.93760201875821,18.101276267705373,20.309221706260246,16.000511748149325
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,32.7599894151892,18.47206385404789,45.135802469135804,56.364117491399846,63.740022805017105,49.97530864197531,10.875893093410955,17.787913340935006,4.888888888888889
2,"Chenango, Delaware & Broome (East) Counties PUMA",23.384615384615383,69.1919191919192,3.3185840707964607,65.07692307692308,13.636363636363635,87.61061946902655,11.538461538461538,17.17171717171717,9.070796460176991
3,Cayuga & Onondaga (South) Counties PUMA,37.5,0.0,91.33192389006342,23.87152777777778,40.500736377025035,0.0,38.62847222222222,59.499263622974965,8.668076109936575
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,12.344601962922573,4.734551784160139,17.802746566791512,68.58596873864049,77.24978241949522,62.372034956304624,19.069429298436933,18.01566579634465,19.82521847690387
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",28.17403708987161,24.93946731234867,31.82508351047677,55.777460770328105,58.044121603443635,53.21894928636502,16.048502139800284,17.016411084207693,14.955967203158213
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",26.419578298022955,25.30557677616501,27.6732939279957,62.486727006118215,61.936592818945755,63.1058570660935,11.093694695858826,12.757830404889228,9.2208490059108
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,95.91254752851711,91.34328358208955,98.04741980474198,4.08745247148289,8.656716417910449,1.9525801952580195
8,Erie County (Northwest) PUMA,23.988644428672817,0.0,35.35564853556485,73.52732434350602,100.0,60.98326359832637,2.48403122782115,0.0,3.6610878661087867
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,35.944086975815395,34.05854430379747,38.35270338554826,47.869980031062795,45.39161392405063,51.03587670540677,16.18593299312181,20.5498417721519,10.611419909044972
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",84.80050664977834,75.51319648093842,91.86176142697882,5.889803673210893,13.636363636363635,0.0,9.309689677010766,10.850439882697946,8.138238573021182
11,Saratoga County (South & Central) PUMA,19.602977667493796,11.875,30.981595092024538,57.13399503722084,67.1875,42.331288343558285,23.26302729528536,20.9375,26.68711656441718
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,25.678025034770513,28.30365510777882,24.129353233830848,70.39290681502086,65.83880037488285,73.07904919845218,3.929068150208623,5.857544517338332,2.7915975677169707
13,Columbia & Greene Counties PUMA,21.13022113022113,19.311962470680218,24.206349206349206,45.995085995085994,44.644253322908526,48.28042328042328,32.874692874692876,36.04378420641126,27.513227513227513
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,13.235488562739652,12.5,13.854394935476016,85.57450747058046,84.89583333333334,86.14560506452398,1.190003966679889,2.604166666666667,0.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,41.10486891385768,8.205128205128204,60.02949852507374,56.27340823970037,84.61538461538461,39.97050147492625,2.6217228464419478,7.179487179487179,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,21.155789048292583,34.10610789121712,10.42128603104213,61.790260658718935,53.72269282211324,68.47745750184775,17.053950292988482,12.171199286669639,21.101256467110126
17,Putnam County PUMA,27.270440251572325,31.104432757325316,25.34039334341906,64.75471698113208,51.014274981217135,71.67170953101362,7.974842767295598,17.881292261457553,2.987897125567322
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,66.95491043854231,46.68911335578002,91.75824175824175,24.830142063001855,38.38383838383838,8.241758241758241,8.214947498455837,14.927048260381593,0.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,21.156428331654915,22.835314091680814,18.70874587458746,59.57536085934877,54.41426146010186,67.09983498349835,19.268210808996308,22.75042444821732,14.19141914191419
20,Rockland County (North)--New City & Congers PUMA,52.189109639440765,43.728343728343724,61.76470588235294,36.5710080941869,40.88704088704089,31.68627450980392,11.239882266372332,15.384615384615385,6.549019607843137
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10.725154334405703,7.04200952793417,14.436588984900062,62.646726371619856,64.93720225205718,60.33865758924675,26.62811929397444,28.02078822000866,25.22475342585319
22,Orange County (Northwest) PUMA,32.25806451612903,18.59052247873633,44.47461308715721,45.763440860215056,49.027946537059535,42.845506380667935,21.978494623655916,32.38153098420413,12.67988053217486
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,32.536764705882355,35.742604452577005,29.765357237015554,49.03846153846153,47.026532479414456,50.77774848404957,18.42477375565611,17.23086306800854,19.45689427893488
24,Dutchess County (Southwest) PUMA,25.590277777777775,35.71582811487799,13.893739087054128,63.87731481481481,49.70848628805874,80.24444998752807,10.532407407407407,14.57568559706327,5.86181092541781
25,Westchester County (Northwest) PUMA,32.60192966075319,16.86046511627907,43.16172646905876,51.07376283846872,42.906976744186046,56.552262090483616,16.32430750077809,40.23255813953489,0.2860114404576183
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,45.80284115368058,36.973590292648105,59.219088937093275,54.19715884631942,63.026409707351895,40.780911062906725,0.0,0.0,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,51.962303124193134,45.6198347107438,57.555879494655,37.8001549186677,42.561983471074385,33.60058309037901,10.237541957139168,11.818181818181818,8.843537414965986
28,Saratoga County (Outer) PUMA,41.33964817320704,34.70437017994858,48.714285714285715,48.57916102841678,46.1439588688946,51.28571428571429,10.081190798376184,19.151670951156813,0.0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,18.26746506986028,15.211891208096143,21.38364779874214,57.061876247505,59.66160657811511,54.410578938880825,24.67065868263473,25.126502213788743,24.205773262377036
30,Erie County (South) PUMA,6.770833333333333,16.945996275605214,0.0,82.51488095238095,56.23836126629422,100.0,10.714285714285714,26.81564245810056,0.0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",27.663003663003664,23.112244897959183,33.80378657487091,60.38095238095238,62.95918367346939,56.901893287435456,11.956043956043956,13.928571428571429,9.294320137693632
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,32.336034351409374,35.101404056162245,30.128284966994645,53.45245515617425,45.47581903276131,59.82065014323079,14.211510492416371,19.422776911076443,10.051064889774567
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,20.62937062937063,7.680444170265269,30.639008106819265,74.75793437331899,92.31955582973474,61.182641869337154,4.612694997310382,0.0,8.178350023843587
34,St. Lawrence County PUMA,1.20817843866171,0.0,10.4,55.111524163568774,51.31440588853838,84.0,43.68029739776952,48.68559411146162,5.6000000000000005
35,Genesee & Orleans Counties PUMA,3.9260969976905313,0.0,12.454212454212454,69.28406466512702,92.91736930860034,17.94871794871795,26.78983833718245,7.082630691399664,69.59706959706959
36,Monroe County (Central)--Rochester City (West) PUMA,21.60234132065118,33.63636363636363,7.288746495794954,54.49057984269252,35.25252525252525,77.37284741690029,23.9070788366563,31.11111111111111,15.338406087304765
