,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,7174912,2922110,1324817,1597293,3744715,1927135,1817580,508087,290061,218026
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,49086,19040,7974,11066,28792,14790,14002,1254,733,521
2,"Chenango, Delaware & Broome (East) Counties PUMA",49676,10654,5160,5494,32842,15822,17020,6180,3674,2506
3,Cayuga & Onondaga (South) Counties PUMA,57191,16184,6990,9194,35474,18593,16881,5533,3893,1640
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,40671,6620,1639,4981,28417,12630,15787,5634,2165,3469
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",59025,19583,8144,11439,33076,18505,14571,6366,2848,3518
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",53217,19340,10252,9088,30433,15844,14589,3444,1674,1770
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",50124,12134,5173,6961,33994,17514,16480,3996,2363,1633
8,Erie County (Northwest) PUMA,55463,21288,9234,12054,32980,16563,16417,1195,433,762
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,79672,65482,30111,35371,12709,6449,6260,1481,1055,426
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",62970,54357,24832,29525,7997,5347,2650,616,401,215
11,Saratoga County (South & Central) PUMA,51136,26477,12265,14212,23380,13671,9709,1279,946,333
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,42149,22603,10527,12076,18703,8637,10066,843,658,185
13,Columbia & Greene Counties PUMA,51091,11973,5208,6765,32495,17050,15445,6623,3967,2656
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,44975,16695,7557,9138,27133,13639,13494,1147,975,172
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,41349,28232,13468,14764,12408,7599,4809,709,346,363
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,47340,19388,8055,11333,25436,13294,12142,2516,1437,1079
17,Putnam County PUMA,46298,22827,10211,12616,22395,11463,10932,1076,942,134
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,32011,23109,10785,12324,7815,4738,3077,1087,497,590
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,23581,11854,6955,4899,8776,4408,4368,2951,2004,947
20,Rockland County (North)--New City & Congers PUMA,34441,17422,7214,10208,15069,8631,6438,1950,1247,703
