,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,40.72677128304849,37.40294007955363,43.96744858582636,52.19178994808578,54.40790307658385,50.031118398832454,7.081438768865736,8.189156843862515,6.001433015341192
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,38.78906409159434,33.93624718049112,43.24514439798351,58.656235993969766,62.94420564327361,54.718824494900154,2.554699914435888,3.119547176235264,2.036031107116339
2,"Chenango, Delaware & Broome (East) Counties PUMA",21.446976407118125,20.9279688513952,21.958433253397285,66.11240840647396,64.17099286177806,68.02557953637091,12.440615186407923,14.901038286826736,10.015987210231815
3,Cayuga & Onondaga (South) Counties PUMA,28.298158801209983,23.714208169358123,33.17337182031391,62.027242048574074,63.07843669425973,60.90925491611041,9.674599150215943,13.20735513638214,5.917373263575681
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16.276954095055444,9.973226238286479,20.55122333622148,69.87042364338227,76.85286600949252,65.13594916862648,13.852622261562292,13.173907752221007,14.312827495152039
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",33.17746717492588,27.609587415669388,38.73950149011108,56.03727234222787,62.73519340949927,49.34638309401247,10.785260482846251,9.65521917483134,11.914115415876456
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",36.341770486874495,36.91753691033489,35.71344362793257,57.18661330026119,57.05437522506301,57.33092309506033,6.47161621286431,6.028087864602089,6.955633277007113
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",24.207964248663316,20.650698602794414,27.761824998005903,67.81980687894023,69.91616766467065,65.72545266012602,7.972228872396457,9.43313373253493,6.51272234186807
8,Erie County (Northwest) PUMA,38.382344986747924,35.203964925657644,41.23422159887798,59.463065467068134,63.14525352649638,56.15913522389081,2.154589546183942,1.6507815478459777,2.6066431772312115
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,82.18947685510594,80.05051176392396,84.1025275221723,15.951651772266292,17.144756081350526,14.88456142853746,1.858871372627774,2.8047321547255084,1.0129110492902489
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",86.32205812291568,81.20340091563114,91.1546773695585,12.699698269016993,17.48528449967299,8.181537511577647,0.9782436080673337,1.3113145846958796,0.6637851188638468
11,Saratoga County (South & Central) PUMA,51.777612640800996,45.625325496614835,58.59652016162282,45.7212140175219,50.85559110185254,40.030510431269064,2.5011733416770965,3.519083401532624,1.3729694071081058
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,53.626420555647826,53.107658157602664,54.086979889819496,44.373531993641606,43.57279790132176,45.08442692703901,2.0000474507105745,3.319543941075573,0.828593183141488
13,Columbia & Greene Counties PUMA,23.434655810220978,19.858913250714966,27.20582321241856,63.60219999608542,65.01429933269782,62.11292527949811,12.963144193693605,15.126787416587225,10.681251508083326
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,37.12062256809339,34.0850660773082,40.071917207507454,60.32907170650361,61.51729737043886,59.17382915278021,2.550305725403002,4.397636552252943,0.7542536397123312
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,68.277346489637,62.89637136319058,74.0569823434992,30.007980845969673,35.48778779246252,24.122191011235955,1.7146726643933348,1.6158408443468921,1.8208266452648476
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,40.954795099281796,35.3506539102958,46.15541256007168,53.73046049852134,58.34284209602387,49.45019141484076,5.314744402196873,6.30650399368033,4.394396025087563
17,Putnam County PUMA,49.30450559419413,45.149451715599575,53.27252765813698,48.37141993174651,50.68535550053059,46.161641753230306,2.3240744740593544,4.165192783869827,0.5658305886327168
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,72.19080940926557,67.32209737827716,77.06835094740792,24.413482865265067,29.57553058676654,19.24207366643737,3.3957077254693697,3.1023720349563044,3.6895753861547123
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,50.26928459352868,52.03112141841849,47.9635794008224,37.21640303634282,32.976733747288094,42.76483258272959,12.514312370128494,14.99214483429341,9.271588016448012
20,Rockland County (North)--New City & Congers PUMA,50.58505850585059,42.206880411888605,58.83912617441928,43.753084985917944,50.497308682424524,37.108767075912155,5.661856508231469,7.295810905686871,4.052106749668568
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",13.629933708706627,7.5635005939921935,19.465607313887677,66.34121987074585,72.81212875487923,60.11645624727906,20.028846420547527,19.624370651128586,20.417936438833262
22,Orange County (Northwest) PUMA,25.17802856785908,19.89229215752272,30.356995630307527,68.3567234414692,74.55822955233928,62.280484788523374,6.46524799067172,5.549478290138,7.362519581169098
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,68.66844093406593,67.8024559212678,69.47179699351813,25.485061813186817,27.39273927392739,23.715349606950763,5.846497252747253,4.804804804804805,6.812853399531099
24,Dutchess County (Southwest) PUMA,34.17765487021228,31.70967910799351,36.750620787513306,59.003647148410884,60.660629220541274,57.27617540317079,6.8186979813768325,7.629691671465215,5.973203809315906
25,Westchester County (Northwest) PUMA,56.090944322438965,50.847264869782784,61.06516110471807,40.21813350065514,43.14416770916259,37.442462600690455,3.6909221769058997,6.008567421054627,1.4923762945914845
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,49.79037531844897,48.757674399439615,50.77007270737237,48.8676255240617,49.50760229098851,48.260495661011646,1.341999157489318,1.734723309571882,0.9694316316159799
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,52.48138337748013,48.49328944036465,55.885622529644266,41.58295433721492,44.861266866837894,38.78458498023715,5.9356622853049466,6.645443692797453,5.329792490118577
28,Saratoga County (Outer) PUMA,32.287849221836176,28.252823995108294,36.210888610763455,59.925753176907335,60.61210697390017,59.2584480600751,7.7863976012564855,11.135069030991536,4.5306633291614515
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,34.21865104496517,28.325215436493068,40.817182649551135,52.43825205826472,59.647808167853135,44.366138098833794,13.343096896770106,12.026976395653802,14.816679251615069
30,Erie County (South) PUMA,35.909712722298224,31.33350552985653,40.372329463488356,62.18437710125437,65.83699250945124,58.62242678207507,1.905910176447402,2.8295019606922303,1.0052437544365826
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",25.264130769648972,18.72751885515374,31.02707495055582,66.78023232634422,70.72133049700251,63.30559912705449,7.9556369040068144,10.551150647843743,5.667325922389688
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,57.16359313224032,56.09118392025493,58.268998624406954,32.71033205230999,32.79679712394803,32.6212065916173,10.126074815449694,11.112018955797042,9.109794783975744
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,29.850904092206832,26.15109201575367,33.43745661529918,67.47206654682599,70.6265664160401,64.41413300013883,2.6770293609671847,3.22234156820623,2.148410384561988
34,St. Lawrence County PUMA,24.351158680672768,17.75315840621963,31.24137371113096,65.98026172084434,69.65986394557822,62.1376958675002,9.668579598482893,12.586977648202138,6.62093042136884
35,Genesee & Orleans Counties PUMA,21.988338192419825,15.685895453139498,28.359258969749078,71.24781341107872,76.48468914321064,65.95403736418353,6.763848396501458,7.829415403649861,5.68670366606738
36,Monroe County (Central)--Rochester City (West) PUMA,19.836598229421735,19.563950665242302,20.093244355059877,63.67489169335091,59.133728270370014,67.94953834902641,16.48851007722735,21.302321064387687,11.957217295913704
37,Wayne & Seneca Counties PUMA,20.77681677464654,16.211189913317572,25.458129989334537,68.16455494207385,68.1418439716312,68.18784137552115,11.058628283279608,15.646966115051223,6.354028635144307
38,Warren & Washington Counties PUMA,23.133880328196916,16.377914260396615,29.99317490848173,69.27233263034745,74.2414520121001,64.22721350127195,7.593787041455642,9.380633727503284,5.779611590246324
39,Erie County (North Central) PUMA,54.26146147768481,51.94273164963257,56.39917455125959,43.63566378314864,45.236084128727086,42.16018377915353,2.1028747391665483,2.8211842216403413,1.4406416695868862
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",20.090531263385778,14.370518014602334,26.654567152304708,68.8894291436576,70.20170288363629,67.38352145591965,11.020039592956621,15.427779101761379,5.9619113917756446
41,Dutchess County (North & East) PUMA,32.70240930102255,27.73891966759003,37.779824312836496,57.944039781482005,59.20706371191136,56.65202606970813,9.353550917495447,13.054016620498615,5.5681496174553695
