,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,387291,78116,31206,46910,238386,118370,120016,70789,38484,32305
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,1275,537,260,277,646,163,483,92,92,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",243,0,0,0,202,18,184,41,0,41
3,Cayuga & Onondaga (South) Counties PUMA,376,0,0,0,210,210,0,166,166,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5866,144,0,144,4782,1960,2822,940,334,606
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",7545,2042,1039,1003,4188,1958,2230,1315,575,740
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",11707,2315,987,1328,8024,3722,4302,1368,855,513
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",852,0,0,0,823,198,625,29,29,0
8,Erie County (Northwest) PUMA,702,94,0,94,608,453,155,0,0,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2878,637,172,465,1583,731,852,658,238,420
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",489,195,0,195,0,0,0,294,148,146
11,Saratoga County (South & Central) PUMA,666,230,114,116,235,195,40,201,201,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,3043,819,290,529,2099,826,1273,125,125,0
13,Columbia & Greene Counties PUMA,1056,167,99,68,889,549,340,0,0,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6088,781,291,490,5307,2613,2694,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,264,130,0,130,134,112,22,0,0,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2562,322,266,56,1770,664,1106,470,207,263
17,Putnam County PUMA,2408,865,414,451,1543,424,1119,0,0,0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,628,153,52,101,342,342,0,133,133,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,2292,349,264,85,1486,521,965,457,332,125
20,Rockland County (North)--New City & Congers PUMA,2344,931,487,444,1413,873,540,0,0,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",11565,570,119,451,8163,4443,3720,2832,1358,1474
22,Orange County (Northwest) PUMA,3476,1386,149,1237,1542,399,1143,548,201,347
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3267,534,444,90,2124,985,1139,609,392,217
24,Dutchess County (Southwest) PUMA,5424,1285,728,557,3975,1449,2526,164,52,112
25,Westchester County (Northwest) PUMA,2592,1113,198,915,1039,414,625,440,440,0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,810,336,101,235,474,389,85,0,0,0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1785,374,120,254,1002,457,545,409,276,133
28,Saratoga County (Outer) PUMA,471,270,270,0,201,201,0,0,0,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,5324,670,269,401,3603,1980,1623,1051,444,607
30,Erie County (South) PUMA,300,0,0,0,300,82,218,0,0,0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2348,527,98,429,1275,568,707,546,546,0
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,6669,1628,1174,454,3462,1595,1867,1579,945,634
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2996,563,249,314,2433,1125,1308,0,0,0
34,St. Lawrence County PUMA,362,0,0,0,153,153,0,209,209,0
35,Genesee & Orleans Counties PUMA,431,34,0,34,305,305,0,92,0,92
36,Monroe County (Central)--Rochester City (West) PUMA,2187,211,81,130,1514,371,1143,462,211,251
37,Wayne & Seneca Counties PUMA,494,166,30,136,307,107,200,21,21,0
38,Warren & Washington Counties PUMA,622,0,0,0,362,33,329,260,260,0
39,Erie County (North Central) PUMA,679,304,0,304,375,41,334,0,0,0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",691,70,70,0,326,34,292,295,94,201
41,Dutchess County (North & East) PUMA,2128,556,34,522,1488,503,985,84,84,0
42,Tompkins County PUMA,216,0,0,0,16,0,16,200,0,200
