,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,20.16984644621228,16.593640327555033,23.545532572742196,61.55216620060885,62.94267786876529,60.23962134406794,18.277987353178876,20.463681803679677,16.214846083189865
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,42.11764705882353,50.48543689320388,36.44736842105264,50.66666666666667,31.650485436893206,63.55263157894737,7.215686274509804,17.864077669902912,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,83.1275720164609,100.0,81.77777777777779,16.872427983539097,0.0,18.22222222222222
3,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,#DIV/0!,55.85106382978723,55.85106382978723,#DIV/0!,44.148936170212764,44.148936170212764,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2.4548244118649847,0.0,4.031354983202688,81.52062734401636,85.44027898866608,79.003359462486,16.024548244118648,14.559721011333915,16.96528555431131
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",27.064280980781973,29.08734602463606,25.24540649383338,55.50695825049702,54.815229563269874,56.128869871633526,17.42876076872101,16.097424412094067,18.6257236345331
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",19.774493892542925,17.73903666427031,21.61810190460687,68.54018963013581,66.8943206326384,70.03092951326714,11.685316477321262,15.366642703091301,8.350968582125997
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,96.59624413145539,87.22466960352423,100.0,3.403755868544601,12.77533039647577,0.0
8,Erie County (Northwest) PUMA,13.390313390313391,0.0,37.75100401606426,86.6096866096866,100.0,62.24899598393574,0.0,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,22.13342599027102,15.074496056091146,26.770293609671846,55.00347463516331,64.06660823838737,49.05008635578584,22.86309937456567,20.858895705521473,24.179620034542314
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",39.87730061349693,0.0,57.18475073313783,0.0,0.0,0.0,60.122699386503065,100.0,42.81524926686217
11,Saratoga County (South & Central) PUMA,34.53453453453454,22.35294117647059,74.35897435897436,35.28528528528528,38.23529411764706,25.64102564102564,30.180180180180184,39.411764705882355,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,26.914229378902398,23.3682514101531,29.356270810210876,68.97798225435426,66.55922643029814,70.64372918978913,4.107788366743345,10.07252215954875,0.0
13,Columbia & Greene Counties PUMA,15.81439393939394,15.277777777777779,16.666666666666664,84.18560606060606,84.72222222222221,83.33333333333334,0.0,0.0,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,12.828515111695138,10.020661157024794,15.389447236180903,87.17148488830486,89.97933884297521,84.61055276381909,0.0,0.0,0.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,49.24242424242424,0.0,85.52631578947368,50.75757575757576,100.0,14.473684210526317,0.0,0.0,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,12.568306010928962,23.394898856640282,3.929824561403509,69.08665105386417,58.39929639401935,77.6140350877193,18.34504293520687,18.20580474934037,18.45614035087719
17,Putnam County PUMA,35.921926910299,49.40334128878281,28.726114649681527,64.078073089701,50.59665871121718,71.27388535031847,0.0,0.0,0.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,24.363057324840764,9.867172675521822,100.0,54.45859872611465,64.89563567362428,0.0,21.17834394904459,25.23719165085389,0.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,15.226876090750435,23.634735899731425,7.234042553191489,64.83420593368237,46.64279319606088,82.12765957446808,19.93891797556719,29.722470904207697,10.638297872340425
20,Rockland County (North)--New City & Congers PUMA,39.718430034129696,35.80882352941177,45.1219512195122,60.281569965870304,64.19117647058825,54.87804878048781,0.0,0.0,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4.9286640726329445,2.010135135135135,7.989371124889283,70.58365758754864,75.05067567567568,65.89902568644818,24.487678339818416,22.93918918918919,26.111603188662535
22,Orange County (Northwest) PUMA,39.87341772151899,19.893190921228303,45.36120278694536,44.361334867663984,53.271028037383175,41.914191419141915,15.765247410817032,26.83578104138852,12.724605793912724
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,16.345270890725434,24.382207578253706,6.224066390041494,65.0137741046832,54.09115870400879,78.76901798063624,18.640955004591365,21.526633717737507,15.006915629322268
24,Dutchess County (Southwest) PUMA,23.691002949852507,32.66038582323912,17.433489827856025,73.28539823008849,65.00672947510094,79.06103286384976,3.023598820058997,2.332884701659937,3.5054773082942097
25,Westchester County (Northwest) PUMA,42.93981481481482,18.8212927756654,59.41558441558441,40.08487654320987,39.353612167300376,40.58441558441558,16.97530864197531,41.825095057034225,0.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,41.48148148148148,20.612244897959183,73.4375,58.51851851851851,79.38775510204081,26.5625,0.0,0.0,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,20.952380952380953,14.06799531066823,27.253218884120173,56.134453781512605,53.575615474794844,58.47639484978541,22.913165266106443,32.35638921453693,14.27038626609442
28,Saratoga County (Outer) PUMA,57.324840764331206,57.324840764331206,#DIV/0!,42.675159235668794,42.675159235668794,#DIV/0!,0.0,0.0,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,12.584522915101429,9.988860007426661,15.24135309768149,67.67468069120962,73.52395098403268,61.68757126567846,19.740796393688957,16.48718900854066,23.071075636640064
30,Erie County (South) PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",22.444633730834752,8.085808580858085,37.764084507042256,54.3015332197615,46.864686468646866,62.23591549295775,23.253833049403745,45.04950495049505,0.0
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,24.411455990403358,31.610123855681206,15.363790186125211,51.911830859199284,42.945611200861606,63.18104906937394,23.67671315039736,25.44426494345719,21.455160744500844
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,18.791722296395193,18.12227074235808,19.35881627620222,81.20827770360481,81.87772925764192,80.64118372379778,0.0,0.0,0.0
