,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,44.97076607988904,41.809067369264476,48.10265143219629,50.25193544428104,52.505272723599504,48.019846094593674,4.777298475829923,5.685659907136026,3.877502473210038
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,37.56543604983427,33.42730182999665,41.36132538569425,60.43662132815179,64.41301543313106,56.789095371669006,1.9979426220139442,2.1596827368722824,1.8495792426367463
2,"Chenango, Delaware & Broome (East) Counties PUMA",21.99514782680209,21.192872463289884,22.792489956546692,65.61741847937826,64.12308199967002,67.10256620480446,12.387433693819647,14.684045537040092,10.104943838648849
3,Cayuga & Onondaga (South) Counties PUMA,29.54345999439828,26.299874622022273,32.87059802549457,63.366632433946414,63.66251198465963,63.06313121761168,7.089907571655307,10.037613393318091,4.066270756893747
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,99.32960893854748,100.0,98.63636363636363,0.6703910614525139,0.0,1.3636363636363635
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",41.01477618426771,34.78767922069012,47.97851937092443,53.07112849485731,58.06407354050902,47.487533563482934,5.914095320874982,7.148247238800851,4.533947065592636
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",41.43592850651318,43.80591267255169,38.95604736222181,53.51105725537716,51.82771491202085,55.27245676027525,5.053014238109664,4.366372415427454,5.771495877502945
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",24.501922404753582,20.585221917134543,28.44528800132035,67.41986553446965,69.94795295274784,64.87456676019146,8.078212060776774,9.466825130117618,6.680145238488199
8,Erie County (Northwest) PUMA,39.56793197226797,36.725882062669626,42.04545454545455,58.29279503581415,61.81429393864627,55.22297103527387,2.1392729919178763,1.4598239986841022,2.7315744192715803
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,89.66106088096727,88.50982532751091,90.59131633356306,9.945568481558846,10.630458515283843,9.392143349414198,0.3933706374738897,0.8597161572052401,0.016540317022742935
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",87.55463494355973,85.17400224519027,89.85031169509874,12.084299342480332,14.357604614253086,9.892119899958939,0.3610657139599407,0.4683931405566524,0.2575684049423271
11,Saratoga County (South & Central) PUMA,53.20091015312711,47.95053719845935,58.57036238494071,44.64670069491421,49.02898844516521,40.16502197528817,2.152389151958674,3.0204743563754306,1.2646156397711252
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,57.30337078651685,55.52246214941673,59.07602989315052,40.786826384374905,41.17026557458426,40.405163362361805,1.909802829108243,3.307272275999007,0.5188067444876783
13,Columbia & Greene Counties PUMA,24.59747492724189,21.05240787180686,28.039118593711315,63.16241284730219,65.47796149105282,60.91441776017166,12.240112225455915,13.469630637140305,11.046463646117026
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,39.19596516435504,32.854814443329985,44.76888325712082,58.109257250095304,61.88565697091274,54.790369676601834,2.6947775855496583,5.259528585757272,0.44074706627734006
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,69.92598880547524,64.65965861781848,75.40176397381094,28.5990927660026,34.33597002497918,22.634056598668902,1.4749184285221637,1.0043713572023314,1.964179427520156
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,42.93074461738706,36.059557512844705,50.29206919793305,53.51700200661641,59.431687113348005,47.180408896877104,3.5522533759965293,4.508755373807277,2.527521905189845
17,Putnam County PUMA,50.34887447915383,45.85148563316854,54.9130650769995,48.47999211025913,52.3275735474081,44.575260804769,1.1711334105870461,1.8209408194233687,0.5116741182314953
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,73.54074696937846,69.90277380611954,77.03724062113508,23.09929227103917,27.101801544180727,19.252439191974716,3.35996075958237,2.9954246496997428,3.7103201868902023
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,74.08068057080132,81.64052455644124,65.4310091203295,20.95225027442371,14.476729236307534,28.36128273021477,4.967069154774972,3.882746207251221,6.207708149455722
20,Rockland County (North)--New City & Congers PUMA,53.386198886619404,47.71602902374671,58.74153103340861,42.37654691817854,45.72064643799472,39.21812942917218,4.23725419520205,6.563324538258575,2.040339537419204
