,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,147298,19428,8599,10829,79804,32088,47716,48066,25208,22858
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,60,0,0,0,60,0,60,0,0,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",34,0,0,0,0,0,0,34,34,0
3,Cayuga & Onondaga (South) Counties PUMA,89,0,0,0,0,0,0,89,89,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3246,520,0,520,1534,920,614,1192,436,756
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1787,356,219,137,1167,452,715,264,264,0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1729,542,542,0,827,310,517,360,360,0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,707,244,0,244,428,0,428,35,0,35
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2671,132,132,0,1738,1122,616,801,801,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",175,175,0,175,0,0,0,0,0,0
11,Saratoga County (South & Central) PUMA,382,0,0,0,236,0,236,146,0,146
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,860,123,123,0,737,121,616,0,0,0
13,Columbia & Greene Counties PUMA,494,0,0,0,19,19,0,475,267,208
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,636,79,0,79,557,0,557,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,302,21,21,0,281,141,140,0,0,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,770,0,0,0,462,52,410,308,0,308
17,Putnam County PUMA,226,0,0,0,147,0,147,79,0,79
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,391,391,225,166,0,0,0,0,0,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,1051,0,0,0,842,632,210,209,0,209
20,Rockland County (North)--New City & Congers PUMA,411,211,211,0,153,0,153,47,47,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",5335,219,0,219,2703,905,1798,2413,1519,894
22,Orange County (Northwest) PUMA,1283,128,0,128,290,182,108,865,865,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,687,127,0,127,244,71,173,316,0,316
24,Dutchess County (Southwest) PUMA,219,0,0,0,219,0,219,0,0,0
25,Westchester County (Northwest) PUMA,1071,70,0,70,566,45,521,435,435,0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,139,0,0,0,139,139,0,0,0,0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1075,511,0,511,486,96,390,78,78,0
28,Saratoga County (Outer) PUMA,51,0,0,0,51,51,0,0,0,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2122,0,0,0,1283,278,1005,839,550,289
30,Erie County (South) PUMA,364,0,0,0,220,220,0,144,144,0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",698,0,0,0,553,287,266,145,0,145
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1618,255,255,0,1351,490,861,12,0,12
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2608,643,0,643,1965,1003,962,0,0,0
34,St. Lawrence County PUMA,590,0,0,0,363,282,81,227,227,0
35,Genesee & Orleans Counties PUMA,292,0,0,0,194,194,0,98,0,98
36,Monroe County (Central)--Rochester City (West) PUMA,2133,523,471,52,985,473,512,625,625,0
37,Wayne & Seneca Counties PUMA,205,0,0,0,149,0,149,56,56,0
38,Warren & Washington Counties PUMA,376,0,0,0,155,155,0,221,221,0
39,Erie County (North Central) PUMA,504,193,0,193,311,164,147,0,0,0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",582,169,133,36,390,390,0,23,23,0
41,Dutchess County (North & East) PUMA,546,472,309,163,74,74,0,0,0,0
42,Tompkins County PUMA,156,0,0,0,118,118,0,38,38,0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",739,362,143,219,125,125,0,252,252,0
44,Onondaga County (Central)--Syracuse City PUMA,1904,344,196,148,1012,194,818,548,162,386
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,303,111,111,0,192,125,67,0,0,0
46,Suffolk County (Northwest)--Smithtown Town PUMA,0,0,0,0,0,0,0,0,0,0
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,207,0,0,0,0,0,0,207,60,147
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,1101,220,149,71,783,334,449,98,0,98
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,0,0,0,0,0,0,0,0,0,0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,140,0,0,0,140,140,0,0,0,0
51,Erie County (West Central)--Buffalo City (West) PUMA,2676,262,0,262,1468,249,1219,946,460,486
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",169,38,0,38,0,0,0,131,43,88
53,Monroe County (North & West) PUMA,267,0,0,0,267,140,127,0,0,0
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,453,0,0,0,131,66,65,322,265,57
55,Cattaraugus & Allegany Counties PUMA,154,0,0,0,154,76,78,0,0,0
