,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,13.224599404303463,10.711630144775402,15.430692435684115,52.98359449014784,50.98776771785564,54.73569691539741,33.7918061055487,38.30060213736897,29.83361064891847
1,Westchester County (Southwest)--Yonkers City PUMA,16.019223067681217,11.9960668633235,18.783783783783782,61.313576291549865,72.17305801376598,53.851351351351354,22.66720064076892,15.83087512291052,27.364864864864863
2,St. Lawrence County PUMA,0.0,0.0,0.0,49.107142857142854,43.56435643564357,100.0,50.89285714285714,56.43564356435643,0.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",12.16931216931217,6.699751861042183,18.413597733711047,66.005291005291,70.22332506203473,61.18980169971672,21.825396825396826,23.076923076923077,20.396600566572236
4,Erie County (Central) PUMA,21.052631578947366,26.88679245283019,15.048543689320388,64.5933014354067,51.886792452830186,77.66990291262135,14.354066985645932,21.22641509433962,7.281553398058252
5,Monroe County (South) PUMA,46.99140401146132,52.18855218855219,17.307692307692307,33.2378223495702,24.579124579124578,82.6923076923077,19.770773638968482,23.232323232323232,0.0
6,Onondaga County (North) PUMA,58.57142857142858,84.21052631578947,49.01960784313725,41.42857142857143,15.789473684210526,50.98039215686274,0.0,0.0,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",9.088273662849689,8.784213876511776,9.342560553633218,56.58791129149152,50.70019096117123,61.511844556827256,34.32381504565879,40.515595162317,29.145594889539527
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",8.274894810659186,6.083086053412463,46.15384615384615,41.09396914446003,40.35608308605341,53.84615384615385,50.63113604488079,53.560830860534125,0.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,31.65829145728643,38.18181818181819,0.0,48.24120603015075,37.57575757575757,100.0,20.100502512562816,24.242424242424242,0.0
10,Suffolk County (Northwest)--Smithtown Town PUMA,23.008849557522122,22.5,23.58490566037736,76.99115044247787,77.5,76.41509433962264,0.0,0.0,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",19.278996865203762,8.647450110864744,28.754940711462453,48.22361546499477,50.332594235033255,46.34387351778656,32.49738766980146,41.019955654102,24.90118577075099
12,Dutchess County (Southwest) PUMA,9.180790960451978,3.040540540540541,13.592233009708737,57.06214689265536,75.67567567567568,43.689320388349515,33.75706214689266,21.283783783783782,42.71844660194174
13,Ulster County (East) PUMA,17.597087378640776,15.282392026578073,23.873873873873876,44.90291262135923,42.691029900332225,50.9009009009009,37.5,42.0265780730897,25.225225225225223
14,Orange County (Northwest) PUMA,5.425709515859766,4.020752269779507,7.962529274004685,53.67278797996661,47.60051880674448,64.63700234192038,40.90150250417362,48.378728923476004,27.400468384074944
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",11.319340329835082,11.631663974151857,11.048951048951048,58.80809595202399,60.33925686591276,57.48251748251748,29.87256371814093,28.029079159935378,31.46853146853147
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",64.07035175879398,26.666666666666668,100.0,18.090452261306535,36.92307692307693,0.0,17.839195979899497,36.41025641025641,0.0
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",23.32695984703633,4.10958904109589,37.17105263157895,58.31739961759082,75.34246575342466,46.05263157894737,18.35564053537285,20.54794520547945,16.776315789473685
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",9.5523765574527,7.514450867052023,12.133891213389122,61.42131979695431,56.15194054500413,68.09623430962343,29.02630364559299,36.33360858794385,19.769874476987447
19,Monroe County (Central)--Greece & Gates Towns PUMA,19.799498746867165,5.147058823529411,51.181102362204726,34.83709273182957,28.308823529411764,48.818897637795274,45.363408521303256,66.54411764705883,0.0
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,42.04398447606727,48.39857651245551,38.41463414634146,48.64165588615783,42.704626334519574,52.03252032520326,9.314359637774903,8.896797153024911,9.552845528455284
21,Orange County (Northeast)--Greater Newburgh City PUMA,10.95360824742268,2.214022140221402,20.56833558863329,56.572164948453604,63.22263222632226,49.25575101488498,32.47422680412371,34.563345633456336,30.17591339648173
22,Suffolk County (East) PUMA,0.0,0.0,#DIV/0!,53.06122448979592,53.06122448979592,#DIV/0!,46.93877551020408,46.93877551020408,#DIV/0!
23,Tompkins County PUMA,10.759493670886076,0.0,28.8135593220339,31.0126582278481,49.494949494949495,0.0,58.22784810126582,50.505050505050505,71.1864406779661
24,Monroe County (Central)--Rochester City (East) PUMA,5.339615233608167,2.1266540642722114,7.622565480188046,53.6317235963879,47.731568998109644,57.82404298186703,41.02866117000393,50.14177693761815,34.553391537944925
25,Ontario & Yates Counties PUMA,18.370883882149048,0.0,29.608938547486037,65.8578856152513,84.93150684931507,54.18994413407822,15.771230502599654,15.068493150684931,16.201117318435752
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",7.724580454096743,6.070460704607046,9.107385591300408,48.51924975320829,51.76151761517615,45.80879021295877,43.75616979269496,42.168021680216796,45.083824195740824
27,Chautauqua County PUMA,1.8052869116698904,0.821917808219178,2.679658952496955,52.54674403610574,44.38356164383562,59.80511571254568,45.64796905222437,54.794520547945204,37.51522533495737
28,Genesee & Orleans Counties PUMA,0.0,0.0,0.0,74.07407407407408,65.0,83.84615384615385,25.925925925925924,35.0,16.153846153846153
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",17.71058315334773,6.726457399103139,27.916666666666668,48.16414686825054,42.152466367713004,53.75,34.12526997840173,51.12107623318386,18.333333333333332
