,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,72992,6360,2112,4248,39548,14165,25383,27084,14010,13074
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0,0,0,0,0,0,0,0,0,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,0,0,0,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,89,0,0,0,0,0,0,89,89,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,917,117,0,117,410,410,0,390,124,266
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",707,0,0,0,707,172,535,0,0,0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",540,0,0,0,339,78,261,201,201,0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,380,244,0,244,101,0,101,35,0,35
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,968,0,0,0,167,0,167,801,801,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,0,0,0,0,0,0,0
11,Saratoga County (South & Central) PUMA,146,0,0,0,0,0,0,146,0,146
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,478,0,0,0,478,121,357,0,0,0
13,Columbia & Greene Counties PUMA,19,0,0,0,19,19,0,0,0,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,486,0,0,0,486,0,486,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,140,0,0,0,140,0,140,0,0,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,586,0,0,0,410,0,410,176,0,176
17,Putnam County PUMA,79,0,0,0,0,0,0,79,0,79
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0,0,0,0,0,0,0,0,0,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,356,0,0,0,147,0,147,209,0,209
20,Rockland County (North)--New City & Congers PUMA,0,0,0,0,0,0,0,0,0,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4199,169,0,169,2135,740,1395,1895,1187,708
22,Orange County (Northwest) PUMA,615,0,0,0,0,0,0,615,615,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,380,0,0,0,64,0,64,316,0,316
