,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,10.522384147620047,8.088747099767982,12.528691660290741,52.95397357936674,50.214617169373554,55.21231828615149,36.52364227301321,41.69663573085847,32.25899005355777
1,Westchester County (Southwest)--Yonkers City PUMA,19.37321937321937,12.5,24.623115577889447,62.39316239316239,64.47368421052632,60.80402010050251,18.233618233618234,23.026315789473685,14.572864321608039
2,St. Lawrence County PUMA,0.0,0.0,#DIV/0!,7.792207792207792,7.792207792207792,#DIV/0!,92.20779220779221,92.20779220779221,#DIV/0!
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2.734375,0.0,5.323193916349809,68.1640625,69.07630522088354,67.30038022813687,29.1015625,30.923694779116467,27.376425855513308
4,Erie County (Central) PUMA,28.35820895522388,38.0,16.101694915254235,61.56716417910447,54.0,71.1864406779661,10.074626865671641,8.0,12.711864406779661
5,Monroe County (South) PUMA,35.87786259541985,41.5929203539823,0.0,38.16793893129771,28.31858407079646,100.0,25.954198473282442,30.08849557522124,0.0
6,Onondaga County (North) PUMA,46.2962962962963,0.0,49.01960784313725,53.70370370370371,100.0,50.98039215686274,0.0,0.0,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",7.855731225296443,10.09557945041816,6.276326874473462,64.25395256916995,49.7610513739546,74.47346251053075,27.8903162055336,40.14336917562724,19.250210614995787
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",2.610966057441253,0.0,32.25806451612903,52.219321148825074,50.85227272727273,67.74193548387096,45.16971279373368,49.14772727272727,0.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,22.388059701492537,22.388059701492537,#DIV/0!,73.13432835820896,73.13432835820896,#DIV/0!,4.477611940298507,4.477611940298507,#DIV/0!
10,Suffolk County (Northwest)--Smithtown Town PUMA,5.113636363636364,0.0,10.843373493975903,94.88636363636364,100.0,89.1566265060241,0.0,0.0,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",22.364864864864863,9.090909090909092,31.542857142857144,48.986486486486484,49.256198347107436,48.8,28.64864864864865,41.65289256198347,19.657142857142855
12,Dutchess County (Southwest) PUMA,0.0,0.0,0.0,73.68421052631578,78.77358490566037,53.70370370370371,26.31578947368421,21.22641509433962,46.2962962962963
13,Ulster County (East) PUMA,34.81481481481482,32.54716981132076,43.103448275862064,15.555555555555555,19.81132075471698,0.0,49.629629629629626,47.64150943396226,56.896551724137936
14,Orange County (Northwest) PUMA,0.0,0.0,0.0,44.962406015037594,38.62660944206009,59.798994974874375,55.037593984962406,61.37339055793991,40.20100502512563
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",9.945054945054945,10.49317943336831,9.342560553633218,57.96703296703297,61.07030430220357,54.55594002306805,32.08791208791209,28.436516264428125,36.10149942329873
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",43.84615384615385,31.132075471698112,100.0,43.07692307692308,52.83018867924528,0.0,13.076923076923078,16.037735849056602,0.0
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",23.239436619718308,0.0,39.44223107569721,57.04225352112676,74.28571428571429,45.0199203187251,19.718309859154928,25.71428571428571,15.53784860557769
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",10.751104565537556,10.76923076923077,10.734463276836157,65.68483063328424,47.07692307692308,82.7683615819209,23.5640648011782,42.15384615384615,6.497175141242938
19,Monroe County (Central)--Greece & Gates Towns PUMA,22.340425531914892,9.722222222222223,63.63636363636363,17.02127659574468,11.11111111111111,36.36363636363637,60.63829787234043,79.16666666666666,0.0
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,33.064516129032256,100.0,25.56053811659193,47.983870967741936,0.0,53.36322869955157,18.951612903225808,0.0,21.076233183856502
21,Orange County (Northeast)--Greater Newburgh City PUMA,6.188118811881188,0.0,12.285012285012286,59.15841584158416,67.08229426433915,51.35135135135135,34.65346534653465,32.917705735660846,36.36363636363637
22,Suffolk County (East) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!
23,Tompkins County PUMA,0.0,0.0,#DIV/0!,73.07692307692307,73.07692307692307,#DIV/0!,26.923076923076923,26.923076923076923,#DIV/0!
24,Monroe County (Central)--Rochester City (East) PUMA,3.58337314859054,1.3774104683195594,4.754937820043892,53.7505972288581,49.03581267217631,56.2545720555962,42.66602962255136,49.586776859504134,38.99049012435991
25,Ontario & Yates Counties PUMA,9.05511811023622,0.0,21.100917431192663,82.28346456692913,91.0344827586207,70.64220183486239,8.661417322834646,8.96551724137931,8.256880733944955
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",6.14853195164076,6.044776119402985,6.237942122186495,47.53022452504318,55.44776119402985,40.70739549839229,46.32124352331606,38.50746268656716,53.054662379421224
27,Chautauqua County PUMA,1.3793103448275863,3.1088082901554404,0.0,63.44827586206897,41.968911917098445,80.57851239669421,35.172413793103445,54.92227979274611,19.421487603305785
28,Genesee & Orleans Counties PUMA,0.0,0.0,0.0,80.48780487804879,48.38709677419355,100.0,19.51219512195122,51.61290322580645,0.0
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.0,0.0,0.0,70.06369426751591,61.47540983606557,100.0,29.936305732484076,38.52459016393443,0.0
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,0.0,49.629629629629626,77.5,37.89473684210527,50.37037037037037,22.5,62.10526315789474
31,Westchester County (Central)--White Plains City PUMA,16.317991631799163,8.982035928143713,33.33333333333333,83.68200836820083,91.01796407185628,66.66666666666666,0.0,0.0,0.0
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0,0.0,#DIV/0!,0.0
33,Cattaraugus & Allegany Counties PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.1402524544179523,0.0,0.36231884057971014,69.28471248246845,64.30205949656751,77.17391304347827,30.575035063113603,35.6979405034325,22.463768115942027
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,22.875816993464053,0.0,27.131782945736433,24.836601307189543,100.0,10.852713178294573,52.28758169934641,0.0,62.01550387596899
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",5.797101449275362,0.0,8.727272727272728,50.0,43.884892086330936,53.090909090909086,44.20289855072464,56.11510791366906,38.18181818181819
37,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,19.43661971830986,13.953488372093023,22.566371681415927,53.80281690140845,20.155038759689923,73.00884955752213,26.76056338028169,65.89147286821705,4.424778761061947
38,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",20.827943078913325,13.4375,26.048565121412803,54.463130659767145,56.56250000000001,52.980132450331126,24.708926261319533,30.0,20.97130242825607
39,Livingston & Wyoming Counties PUMA,8.421052631578947,8.421052631578947,#DIV/0!,74.21052631578947,74.21052631578947,#DIV/0!,17.36842105263158,17.36842105263158,#DIV/0!
40,Albany County (Outside Albany City) PUMA,0.0,0.0,0.0,80.0,0.0,100.0,20.0,100.0,0.0
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,5.612019443216969,0.0,8.230719377835385,67.74193548387096,55.41666666666667,73.49319507453014,26.64604507291206,44.583333333333336,18.276085547634477
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",48.78048780487805,48.78048780487805,#DIV/0!,51.21951219512195,51.21951219512195,#DIV/0!,0.0,0.0,#DIV/0!
44,Erie County (South) PUMA,0.0,0.0,#DIV/0!,49.0,49.0,#DIV/0!,51.0,51.0,#DIV/0!
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,3.338632750397456,0.0,5.49738219895288,67.40858505564388,25.506072874493928,94.50261780104712,29.252782193958666,74.49392712550608,0.0
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",1.3043478260869565,0.0,2.571428571428571,55.94202898550724,55.00000000000001,56.85714285714286,42.7536231884058,45.0,40.57142857142857
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,3.5902851108764517,4.1558441558441555,3.202846975088968,40.33790918690602,38.701298701298704,41.45907473309609,56.071805702217524,57.14285714285714,55.33807829181495
48,Dutchess County (North & East) PUMA,13.684210526315791,0.0,30.952380952380953,61.05263157894737,54.71698113207547,69.04761904761905,25.263157894736842,45.28301886792453,0.0
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,16.458333333333332,0.0,26.421404682274247,23.958333333333336,27.071823204419886,22.073578595317723,59.583333333333336,72.92817679558011,51.50501672240802
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,24.576271186440678,26.490066225165563,22.810590631364562,47.24576271186441,41.280353200883,52.74949083503056,28.177966101694917,32.22958057395143,24.43991853360489
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",5.253387785409318,0.6510416666666667,8.692831657476484,46.61221459068127,47.87326388888889,45.66980214077198,48.134397623909415,51.47569444444444,45.63736620175154
52,Warren & Washington Counties PUMA,0.0,0.0,#DIV/0!,65.64885496183206,65.64885496183206,#DIV/0!,34.35114503816794,34.35114503816794,#DIV/0!
53,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
54,Erie County (Northeast) PUMA,0.0,0.0,0.0,49.572649572649574,16.901408450704224,100.0,50.427350427350426,83.09859154929578,0.0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.0,0.0,0.0,78.18181818181819,40.0,100.0,21.818181818181817,60.0,0.0
56,Saratoga County (South & Central) PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0
57,Columbia & Greene Counties PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",24.738675958188153,38.79781420765027,0.0,54.35540069686411,61.20218579234973,42.30769230769231,20.905923344947734,0.0,57.692307692307686
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,41.17647058823529,#DIV/0!,41.17647058823529,58.82352941176471,#DIV/0!,58.82352941176471,0.0,#DIV/0!,0.0
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,17.49622926093514,45.490196078431374,0.0,65.61085972850678,36.470588235294116,83.82352941176471,16.89291101055807,18.03921568627451,16.176470588235293
61,Erie County (North Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0,46.35258358662614,24.47761194029851,69.04024767801857,53.64741641337386,75.5223880597015,30.959752321981426
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7.211538461538461,0.0,11.538461538461538,86.53846153846155,83.33333333333334,88.46153846153845,6.25,16.666666666666664,0.0
64,Madison & Cortland Counties PUMA,4.0,0.0,8.0,0.0,0.0,0.0,96.0,100.0,92.0
65,Westchester County (Northwest) PUMA,12.112676056338028,0.0,55.12820512820513,78.0281690140845,87.36462093862815,44.871794871794876,9.859154929577464,12.63537906137184,0.0
66,NYC-Brooklyn Community District 4--Bushwick PUMA,11.957730812013349,17.92573623559539,7.374631268436578,38.765294771968854,42.50960307298335,35.88987217305801,49.2769744160178,39.56466069142125,56.7354965585054
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",53.672316384180796,100.0,44.5945945945946,18.64406779661017,0.0,22.2972972972973,27.683615819209038,0.0,33.108108108108105
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",38.220918866080154,14.75095785440613,62.6746506986028,38.80742913000977,48.85057471264368,28.343313373253494,22.971652003910066,36.39846743295019,8.982035928143713
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,14.410905550146055,19.866071428571427,10.189982728842832,24.537487828627068,21.205357142857142,27.11571675302245,61.051606621226874,58.92857142857143,62.69430051813472
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",18.471337579617835,24.242424242424242,6.030150753768844,47.77070063694268,35.8974358974359,73.36683417085426,33.75796178343949,39.86013986013986,20.603015075376884
71,Suffolk County (Central)--Islip Town (East) PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5.679513184584178,0.0,11.023622047244094,53.54969574036511,46.02510460251046,60.629921259842526,40.77079107505071,53.97489539748954,28.346456692913385
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",14.801041279285979,20.168067226890756,10.540360240160107,39.12235031610264,30.084033613445378,46.29753168779186,46.07660840461138,49.747899159663866,43.162108072048035
74,Erie County (West Central)--Buffalo City (East) PUMA,14.677804295942721,21.122112211221122,11.02803738317757,54.77326968973747,38.943894389438945,63.73831775700934,30.54892601431981,39.93399339933993,25.233644859813083
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,0.0,0.0,64.81481481481481,51.28205128205128,100.0,35.18518518518518,48.717948717948715,0.0
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",51.11111111111111,59.0,46.470588235294116,15.185185185185185,41.0,0.0,33.7037037037037,0.0,53.529411764705884
78,Jefferson & Lewis Counties PUMA,0.0,0.0,#DIV/0!,81.21827411167513,81.21827411167513,#DIV/0!,18.781725888324875,18.781725888324875,#DIV/0!
79,Fulton & Montgomery Counties PUMA,4.956268221574344,2.047244094488189,9.644670050761421,29.44606413994169,27.716535433070867,32.233502538071065,65.59766763848397,70.23622047244095,58.121827411167516
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",18.62845445240532,19.18158567774936,18.25938566552901,38.17809621289662,54.47570332480819,27.303754266211605,43.19344933469805,26.342710997442452,54.436860068259385
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,11.220196353436185,0.0,16.666666666666664,41.23422159887798,63.0901287553648,30.625000000000004,47.54558204768583,36.9098712446352,52.708333333333336
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,32.84132841328413,61.98347107438017,9.333333333333334,34.31734317343174,16.528925619834713,48.66666666666667,32.84132841328413,21.487603305785125,42.0
83,Monroe County (North & West) PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5.232558139534884,0.0,10.297482837528605,54.76744186046511,74.23167848699764,35.92677345537758,40.0,25.768321513002363,53.775743707093824
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",9.090909090909092,0.0,28.57142857142857,33.33333333333333,48.888888888888886,0.0,57.57575757575758,51.11111111111111,71.42857142857143
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,9.022556390977442,0.0,15.748031496062993,50.225563909774436,36.971830985915496,60.10498687664042,40.75187969924812,63.02816901408451,24.146981627296586
87,NYC-Manhattan Community District 8--Upper East Side PUMA,68.87417218543047,100.0,58.03571428571429,0.0,0.0,0.0,31.125827814569533,0.0,41.964285714285715
88,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!,0.0,0.0,#DIV/0!
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",10.421836228287841,0.0,19.444444444444446,56.575682382134,50.80213903743316,61.57407407407407,33.002481389578165,49.19786096256685,18.98148148148148
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,7.854406130268199,13.294797687861271,5.157593123209169,46.16858237547893,28.32369942196532,55.014326647564474,45.97701149425287,58.38150289017341,39.82808022922636
91,Monroe County (Central)--Rochester City (West) PUMA,7.518796992481203,0.0,15.936254980079681,69.3609022556391,66.90391459074732,72.11155378486056,23.1203007518797,33.096085409252666,11.952191235059761
92,Erie County (Northwest) PUMA,27.1523178807947,0.0,32.28346456692913,68.21192052980133,100.0,62.20472440944882,4.635761589403973,0.0,5.511811023622047
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,35.74468085106383,0.0,59.154929577464785,45.1063829787234,51.61290322580645,40.845070422535215,19.148936170212767,48.38709677419355,0.0
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,91.66666666666666,100.0,0.0,8.333333333333332,0.0,100.0
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,7.01219512195122,2.850877192982456,16.5,65.2439024390244,72.36842105263158,49.0,27.743902439024392,24.780701754385966,34.5
96,Rensselaer County--Troy City PUMA,0.0,0.0,0.0,96.63865546218487,91.11111111111111,100.0,3.361344537815126,8.88888888888889,0.0
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",17.8343949044586,0.0,28.426395939086298,73.88535031847134,77.77777777777779,71.57360406091371,8.280254777070063,22.22222222222222,0.0
98,Erie County (West Central)--Buffalo City (West) PUMA,4.680073126142596,3.2200357781753133,5.6895485466914035,47.12979890310786,43.917710196779964,49.35064935064935,48.19012797074954,52.86225402504472,44.959802102659246
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0,0.0,#DIV/0!,0.0
100,Cayuga & Onondaga (South) Counties PUMA,55.12820512820513,0.0,100.0,0.0,0.0,0.0,44.871794871794876,100.0,0.0
101,Sullivan & Ulster (West) Counties PUMA,13.505747126436782,16.479400749063668,3.7037037037037033,52.29885057471264,59.925093632958806,27.160493827160494,34.195402298850574,23.595505617977526,69.1358024691358
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,#DIV/0!,26.31578947368421,26.31578947368421,#DIV/0!,73.68421052631578,73.68421052631578,#DIV/0!
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",14.285714285714285,6.179775280898876,30.681818181818183,75.18796992481202,93.82022471910112,37.5,10.526315789473683,0.0,31.818181818181817
104,Rockland County (North)--New City & Congers PUMA,25.815217391304344,0.0,67.37588652482269,44.02173913043478,64.31718061674009,11.347517730496454,30.16304347826087,35.68281938325991,21.27659574468085
105,Saratoga County (Outer) PUMA,100.0,#DIV/0!,100.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.0,0.0,0.0,78.68852459016394,37.03703703703704,90.52631578947368,21.311475409836063,62.96296296296296,9.473684210526317
107,Putnam County PUMA,50.81967213114754,0.0,67.3913043478261,0.0,0.0,0.0,49.18032786885246,100.0,32.608695652173914
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,19.106699751861044,5.729166666666666,31.27962085308057,43.17617866004963,53.125,34.12322274881517,37.71712158808933,41.14583333333333,34.59715639810427
109,Orange County (Southeast) PUMA,29.47976878612717,0.0,43.22033898305085,62.42774566473989,74.54545454545455,56.779661016949156,8.092485549132949,25.454545454545453,0.0
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,84.7457627118644,30.76923076923077,100.0,15.254237288135593,69.23076923076923,0.0
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0,75.81395348837209,100.0,59.68992248062015,24.186046511627907,0.0,40.310077519379846
112,Monroe County (East) PUMA,2.168021680216802,0.0,2.9850746268656714,40.921409214092144,31.683168316831683,44.40298507462687,56.91056910569105,68.31683168316832,52.61194029850746
113,NYC-Manhattan Community District 10--Central Harlem PUMA,12.863534675615213,0.0,22.115384615384613,56.711409395973156,52.67379679144385,59.61538461538461,30.42505592841163,47.32620320855615,18.269230769230766
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!,0.0,0.0,#DIV/0!
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0
116,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,85.33333333333334,78.43137254901961,100.0,14.666666666666666,21.568627450980394,0.0
117,Schenectady County--Schenectady City PUMA,4.553415061295972,6.516290726817042,0.0,49.38704028021016,38.095238095238095,75.5813953488372,46.05954465849387,55.388471177944865,24.418604651162788
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0,37.362637362637365,40.963855421686745,0.0,62.637362637362635,59.036144578313255,100.0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",13.013698630136986,0.0,24.675324675324674,76.02739726027397,100.0,54.54545454545454,10.95890410958904,0.0,20.77922077922078
120,Westchester County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,11.548556430446194,0.0,15.33101045296167,82.1522309711286,100.0,76.30662020905923,6.299212598425196,0.0,8.362369337979095
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,7.4074074074074066,19.047619047619047,0.0,88.27160493827161,69.84126984126983,100.0,4.320987654320987,11.11111111111111,0.0
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",51.724137931034484,100.0,0.0,48.275862068965516,0.0,100.0,0.0,0.0,0.0
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!,0.0,0.0,#DIV/0!
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10.986267166042447,10.638297872340425,11.175337186897881,66.04244694132333,59.21985815602837,69.7495183044316,22.971285892634207,30.141843971631204,19.07514450867052
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,0.0,0.0,73.80952380952381,0.0,100.0,26.190476190476193,100.0,0.0
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4.290752351097179,4.218009478672986,4.342017368069472,49.137931034482754,42.74881516587678,53.64061456245825,46.57131661442006,53.03317535545023,42.017368069472276
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0,0.0,#DIV/0!,0.0
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,24.56813819577735,22.0532319391635,27.131782945736433,55.66218809980806,55.893536121673,55.42635658914728,19.769673704414586,22.0532319391635,17.441860465116278
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,7.923497267759563,9.539473684210527,0.0,9.836065573770492,6.578947368421052,25.806451612903224,82.24043715846994,83.88157894736842,74.19354838709677
131,Westchester County (Southeast) PUMA,0.0,0.0,0.0,80.5668016194332,63.90977443609023,100.0,19.4331983805668,36.09022556390977,0.0
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",19.57134799774394,12.967914438502673,24.390243902439025,67.23068245910886,67.37967914438502,67.1219512195122,13.19796954314721,19.6524064171123,8.487804878048781
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,32.55813953488372,59.57446808510638,0.0,67.44186046511628,40.42553191489361,100.0,0.0,0.0,0.0
