,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,68713,11965,5982,5983,37282,16682,20600,19466,9927,9539
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,60,0,0,0,60,0,60,0,0,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",34,0,0,0,0,0,0,34,34,0
3,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2184,258,0,258,1124,510,614,802,312,490
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",991,356,219,137,371,233,138,264,264,0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1189,542,542,0,488,232,256,159,159,0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,327,0,0,0,327,0,327,0,0,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,1703,132,132,0,1571,1122,449,0,0,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",175,175,0,175,0,0,0,0,0,0
11,Saratoga County (South & Central) PUMA,236,0,0,0,236,0,236,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,285,123,123,0,162,0,162,0,0,0
13,Columbia & Greene Counties PUMA,475,0,0,0,0,0,0,475,267,208
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,71,0,0,0,71,0,71,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,162,21,21,0,141,141,0,0,0,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,184,0,0,0,52,52,0,132,0,132
17,Putnam County PUMA,147,0,0,0,147,0,147,0,0,0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,391,391,225,166,0,0,0,0,0,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,695,0,0,0,695,632,63,0,0,0
20,Rockland County (North)--New City & Congers PUMA,281,81,81,0,153,0,153,47,47,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1046,50,0,50,478,165,313,518,332,186
22,Orange County (Northwest) PUMA,668,128,0,128,290,182,108,250,250,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,236,127,0,127,109,0,109,0,0,0
24,Dutchess County (Southwest) PUMA,0,0,0,0,0,0,0,0,0,0
25,Westchester County (Northwest) PUMA,880,70,0,70,375,45,330,435,435,0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,139,0,0,0,139,139,0,0,0,0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,685,511,0,511,96,96,0,78,78,0
28,Saratoga County (Outer) PUMA,51,0,0,0,51,51,0,0,0,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,1167,0,0,0,737,110,627,430,193,237
30,Erie County (South) PUMA,73,0,0,0,73,73,0,0,0,0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",145,0,0,0,92,0,92,53,0,53
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1052,255,255,0,785,242,543,12,0,12
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2448,643,0,643,1805,910,895,0,0,0
34,St. Lawrence County PUMA,363,0,0,0,363,282,81,0,0,0
35,Genesee & Orleans Counties PUMA,292,0,0,0,194,194,0,98,0,98
36,Monroe County (Central)--Rochester City (West) PUMA,1017,471,471,0,412,119,293,134,134,0
37,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0
38,Warren & Washington Counties PUMA,221,0,0,0,0,0,0,221,221,0
39,Erie County (North Central) PUMA,504,193,0,193,311,164,147,0,0,0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",301,169,133,36,109,109,0,23,23,0
41,Dutchess County (North & East) PUMA,401,401,309,92,0,0,0,0,0,0
42,Tompkins County PUMA,0,0,0,0,0,0,0,0,0,0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",739,362,143,219,125,125,0,252,252,0
44,Onondaga County (Central)--Syracuse City PUMA,1300,344,196,148,689,194,495,267,162,105
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,236,111,111,0,125,125,0,0,0,0
46,Suffolk County (Northwest)--Smithtown Town PUMA,0,0,0,0,0,0,0,0,0,0
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,147,0,0,0,0,0,0,147,0,147
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,543,220,149,71,225,225,0,98,0,98
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,0,0,0,0,0,0,0,0,0,0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,140,0,0,0,140,140,0,0,0,0
51,Erie County (West Central)--Buffalo City (West) PUMA,742,68,0,68,362,123,239,312,242,70
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,0,0,0,0,0,0,0
53,Monroe County (North & West) PUMA,0,0,0,0,0,0,0,0,0,0
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,151,0,0,0,131,66,65,20,0,20
55,Cattaraugus & Allegany Counties PUMA,76,0,0,0,76,76,0,0,0,0
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0,0,0,0,0,0,0,0,0,0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,108,108,108,0,0,0,0,0,0,0
59,Jefferson & Lewis Counties PUMA,634,107,0,107,241,73,168,286,156,130
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,239,0,0,0,84,84,0,155,0,155
61,Schenectady County--Schenectady City PUMA,1253,0,0,0,1253,694,559,0,0,0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,953,42,0,42,697,58,639,214,49,165
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,169,169,169,0,0,0,0,0,0,0
64,Fulton & Montgomery Counties PUMA,854,0,0,0,782,436,346,72,0,72
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,799,0,0,0,66,0,66,733,52,681
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0,0,0,0,0,0,0,0,0,0
67,Oswego County PUMA,730,0,0,0,730,730,0,0,0,0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",1351,896,790,106,421,0,421,34,0,34
69,Monroe County (Central)--Rochester City (East) PUMA,4396,482,0,482,2626,1328,1298,1288,497,791
70,Westchester County (Northeast) PUMA,385,199,93,106,186,88,98,0,0,0
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",831,96,0,96,308,68,240,427,96,331
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",340,0,0,0,340,144,196,0,0,0
73,Onondaga County (North) PUMA,0,0,0,0,0,0,0,0,0,0
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,76,0,0,0,76,0,76,0,0,0
75,Monroe County (South) PUMA,0,0,0,0,0,0,0,0,0,0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",290,149,0,149,14,14,0,127,90,37
77,Rensselaer County--Troy City PUMA,432,0,0,0,22,22,0,410,204,206
78,Suffolk County (Central)--Islip Town (East) PUMA,85,85,0,85,0,0,0,0,0,0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,137,137,137,0,0,0,0,0,0,0
80,Ontario & Yates Counties PUMA,89,0,0,0,89,51,38,0,0,0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0,0,0,0,0,0,0,0,0,0
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,102,0,0,0,102,0,102,0,0,0
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",437,0,0,0,226,0,226,211,134,77
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0,0,0,0,0,0,0,0,0,0
85,Chautauqua County PUMA,692,0,0,0,557,88,469,135,135,0
86,Orange County (Southeast) PUMA,47,0,0,0,47,47,0,0,0,0
87,Monroe County (East) PUMA,1492,82,0,82,803,351,452,607,191,416
88,Broome (Outer West) & Tioga Counties PUMA,413,0,0,0,0,0,0,413,413,0
89,Suffolk County (East) PUMA,0,0,0,0,0,0,0,0,0,0
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",650,0,0,0,360,0,360,290,0,290
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,481,0,0,0,157,10,147,324,324,0
92,Albany County (Outside Albany City) PUMA,232,0,0,0,0,0,0,232,0,232
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1206,0,0,0,479,145,334,727,503,224
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",156,0,0,0,0,0,0,156,0,156
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,181,108,108,0,0,0,0,73,73,0
96,Erie County (West Central)--Buffalo City (East) PUMA,409,0,0,0,200,137,63,209,209,0
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,158,95,95,0,58,0,58,5,0,5
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",449,126,126,0,323,218,105,0,0,0
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",566,139,40,99,158,39,119,269,0,269
100,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0
